UpTrend,NoTrend,DownTrend,Trend,Time
1,0,0,1,1407301200
1,0,0,1,1407302100
1,0,0,1,1407303000
1,0,0,1,1407303900
1,0,0,1,1407304800
1,0,0,1,1407305700
1,0,0,1,1407306600
1,0,0,1,1407307500
0,1,0,0,1407308400
1,0,0,1,1407309300
1,0,0,1,1407310200
1,0,0,1,1407311100
1,0,0,1,1407312000
1,0,0,1,1407312900
0,1,0,0,1407313800
0,1,0,0,1407314700
0,0,1,-1,1407315600
0,0,1,-1,1407316500
0,0,1,-1,1407317400
0,0,1,-1,1407318300
0,0,1,-1,1407319200
0,0,1,-1,1407320100
0,0,1,-1,1407321000
0,1,0,0,1407321900
0,0,1,-1,1407322800
0,1,0,0,1407323700
0,1,0,0,1407324600
0,1,0,0,1407325500
0,1,0,0,1407326400
0,1,0,0,1407327300
0,1,0,0,1407328200
0,1,0,0,1407329100
0,1,0,0,1407330000
0,1,0,0,1407330900
1,0,0,1,1407331800
1,0,0,1,1407332700
0,1,0,0,1407333600
1,0,0,1,1407334500
0,1,0,0,1407335400
1,0,0,1,1407336300
1,0,0,1,1407337200
1,0,0,1,1407338100
1,0,0,1,1407339000
1,0,0,1,1407339900
1,0,0,1,1407340800
0,1,0,0,1407341700
1,0,0,1,1407342600
0,1,0,0,1407343500
0,1,0,0,1407344400
0,1,0,0,1407345300
0,1,0,0,1407346200
0,1,0,0,1407347100
0,1,0,0,1407348000
1,0,0,1,1407348900
1,0,0,1,1407349800
0,1,0,0,1407350700
1,0,0,1,1407351600
1,0,0,1,1407352500
1,0,0,1,1407353400
0,1,0,0,1407354300
1,0,0,1,1407355200
1,0,0,1,1407356100
1,0,0,1,1407357000
1,0,0,1,1407357900
1,0,0,1,1407358800
1,0,0,1,1407359700
1,0,0,1,1407360600
0,1,0,0,1407361500
0,1,0,0,1407362400
0,1,0,0,1407363300
0,1,0,0,1407364200
0,1,0,0,1407365100
0,1,0,0,1407366000
0,1,0,0,1407366900
0,1,0,0,1407367800
0,1,0,0,1407368700
0,1,0,0,1407369600
0,1,0,0,1407370500
1,0,0,1,1407371400
0,1,0,0,1407372300
0,1,0,0,1407373200
0,0,1,-1,1407374100
0,0,1,-1,1407375000
0,0,1,-1,1407375900
0,0,1,-1,1407376800
0,0,1,-1,1407377700
0,0,1,-1,1407378600
0,0,1,-1,1407379500
0,0,1,-1,1407380400
0,0,1,-1,1407381300
0,0,1,-1,1407382200
0,0,1,-1,1407383100
0,0,1,-1,1407384000
0,0,1,-1,1407384900
0,0,1,-1,1407385800
0,0,1,-1,1407386700
0,0,1,-1,1407387600
0,1,0,0,1407388500
0,0,1,-1,1407389400
0,0,1,-1,1407390300
0,0,1,-1,1407391200
