UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406512800
1,0,0,1,1406513700
0,1,0,0,1406514600
0,1,0,0,1406515500
1,0,0,1,1406516400
0,1,0,0,1406517300
0,1,0,0,1406518200
0,1,0,0,1406519100
0,1,0,0,1406520000
0,1,0,0,1406520900
1,0,0,1,1406521800
1,0,0,1,1406522700
0,1,0,0,1406523600
0,1,0,0,1406524500
1,0,0,1,1406525400
0,1,0,0,1406526300
0,1,0,0,1406527200
0,1,0,0,1406528100
1,0,0,1,1406529000
0,1,0,0,1406529900
0,1,0,0,1406530800
1,0,0,1,1406531700
1,0,0,1,1406532600
1,0,0,1,1406533500
1,0,0,1,1406534400
0,1,0,0,1406535300
1,0,0,1,1406536200
0,1,0,0,1406537100
0,1,0,0,1406538000
0,1,0,0,1406538900
0,1,0,0,1406539800
0,1,0,0,1406540700
0,1,0,0,1406541600
0,1,0,0,1406542500
0,0,1,-1,1406543400
0,0,1,-1,1406544300
0,0,1,-1,1406545200
0,0,1,-1,1406546100
0,1,0,0,1406547000
0,1,0,0,1406547900
0,1,0,0,1406548800
1,0,0,1,1406549700
1,0,0,1,1406550600
1,0,0,1,1406551500
1,0,0,1,1406552400
1,0,0,1,1406553300
1,0,0,1,1406554200
0,1,0,0,1406555100
0,1,0,0,1406556000
0,1,0,0,1406556900
0,1,0,0,1406557800
0,1,0,0,1406558700
0,1,0,0,1406559600
0,1,0,0,1406560500
0,1,0,0,1406561400
1,0,0,1,1406562300
0,1,0,0,1406563200
1,0,0,1,1406564100
1,0,0,1,1406565000
1,0,0,1,1406565900
1,0,0,1,1406566800
1,0,0,1,1406567700
1,0,0,1,1406568600
1,0,0,1,1406569500
1,0,0,1,1406570400
1,0,0,1,1406571300
1,0,0,1,1406572200
1,0,0,1,1406573100
1,0,0,1,1406574000
1,0,0,1,1406574900
1,0,0,1,1406575800
1,0,0,1,1406576700
1,0,0,1,1406577600
1,0,0,1,1406578500
0,1,0,0,1406579400
0,1,0,0,1406580300
0,1,0,0,1406581200
0,0,1,-1,1406582100
0,0,1,-1,1406583000
0,0,1,-1,1406583900
0,1,0,0,1406584800
1,0,0,1,1406585700
0,1,0,0,1406586600
0,1,0,0,1406587500
