UpTrend,NoTrend,DownTrend,Trend,Time
0,0,1,-1,1406318400
0,0,1,-1,1406494800
0,1,0,0,1406498400
0,0,1,-1,1406502000
0,0,1,-1,1406505600
0,0,1,-1,1406509200
0,0,1,-1,1406512800
0,0,1,-1,1406516400
0,0,1,-1,1406520000
0,0,1,-1,1406523600
0,0,1,-1,1406527200
0,0,1,-1,1406530800
0,1,0,0,1406534400
0,1,0,0,1406538000
0,1,0,0,1406541600
1,0,0,1,1406545200
1,0,0,1,1406548800
1,0,0,1,1406552400
0,1,0,0,1406556000
1,0,0,1,1406559600
1,0,0,1,1406563200
1,0,0,1,1406566800
0,1,0,0,1406570400
1,0,0,1,1406574000
1,0,0,1,1406577600
0,1,0,0,1406581200
0,1,0,0,1406584800
1,0,0,1,1406588400
1,0,0,1,1406592000
0,1,0,0,1406595600
0,1,0,0,1406599200
0,1,0,0,1406602800
0,0,1,-1,1406606400
0,0,1,-1,1406610000
0,1,0,0,1406613600
0,1,0,0,1406617200
0,1,0,0,1406620800
0,1,0,0,1406624400
0,1,0,0,1406628000
0,0,1,-1,1406631600
0,0,1,-1,1406635200
0,0,1,-1,1406638800
0,0,1,-1,1406642400
0,0,1,-1,1406646000
0,0,1,-1,1406649600
0,1,0,0,1406653200
0,1,0,0,1406656800
0,0,1,-1,1406660400
0,1,0,0,1406664000
0,1,0,0,1406667600
0,1,0,0,1406671200
0,1,0,0,1406674800
0,1,0,0,1406678400
0,1,0,0,1406682000
0,0,1,-1,1406685600
0,1,0,0,1406689200
0,1,0,0,1406692800
0,1,0,0,1406696400
0,0,1,-1,1406700000
0,0,1,-1,1406703600
0,0,1,-1,1406707200
0,0,1,-1,1406710800
0,0,1,-1,1406714400
0,0,1,-1,1406718000
0,0,1,-1,1406721600
0,0,1,-1,1406725200
0,0,1,-1,1406728800
0,0,1,-1,1406732400
0,0,1,-1,1406736000
0,0,1,-1,1406739600
0,0,1,-1,1406743200
0,1,0,0,1406746800
0,1,0,0,1406750400
0,1,0,0,1406754000
0,0,1,-1,1406757600
0,0,1,-1,1406761200
0,0,1,-1,1406764800
0,0,1,-1,1406768400
0,1,0,0,1406772000
0,0,1,-1,1406775600
0,0,1,-1,1406779200
0,1,0,0,1406782800
0,0,1,-1,1406786400
0,0,1,-1,1406790000
0,0,1,-1,1406793600
0,0,1,-1,1406797200
0,0,1,-1,1406800800
0,0,1,-1,1406804400
0,0,1,-1,1406808000
0,0,1,-1,1406811600
0,0,1,-1,1406815200
0,1,0,0,1406818800
0,1,0,0,1406822400
0,1,0,0,1406826000
0,0,1,-1,1406829600
0,1,0,0,1406833200
0,1,0,0,1406836800
0,1,0,0,1406840400
0,1,0,0,1406844000
0,1,0,0,1406847600
0,1,0,0,1406851200
0,1,0,0,1406854800
0,0,1,-1,1406858400
0,1,0,0,1406862000
