UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406782800
0,0,1,-1,1406783700
0,0,1,-1,1406784600
0,0,1,-1,1406785500
0,0,1,-1,1406786400
0,1,0,0,1406787300
0,1,0,0,1406788200
0,1,0,0,1406789100
0,1,0,0,1406790000
1,0,0,1,1406790900
1,0,0,1,1406791800
1,0,0,1,1406792700
1,0,0,1,1406793600
1,0,0,1,1406794500
1,0,0,1,1406795400
0,1,0,0,1406796300
0,1,0,0,1406797200
0,1,0,0,1406798100
0,0,1,-1,1406799000
0,0,1,-1,1406799900
0,0,1,-1,1406800800
0,0,1,-1,1406801700
0,1,0,0,1406802600
0,1,0,0,1406803500
0,0,1,-1,1406804400
0,0,1,-1,1406805300
0,1,0,0,1406806200
0,1,0,0,1406807100
0,0,1,-1,1406808000
0,1,0,0,1406808900
0,1,0,0,1406809800
0,1,0,0,1406810700
0,1,0,0,1406811600
1,0,0,1,1406812500
1,0,0,1,1406813400
0,1,0,0,1406814300
0,1,0,0,1406815200
0,1,0,0,1406816100
0,0,1,-1,1406817000
0,0,1,-1,1406817900
0,0,1,-1,1406818800
0,0,1,-1,1406819700
0,0,1,-1,1406820600
0,0,1,-1,1406821500
0,0,1,-1,1406822400
0,1,0,0,1406823300
0,1,0,0,1406824200
0,1,0,0,1406825100
0,1,0,0,1406826000
0,1,0,0,1406826900
0,1,0,0,1406827800
0,1,0,0,1406828700
0,1,0,0,1406829600
0,1,0,0,1406830500
0,1,0,0,1406831400
0,1,0,0,1406832300
0,1,0,0,1406833200
0,1,0,0,1406834100
0,1,0,0,1406835000
1,0,0,1,1406835900
0,1,0,0,1406836800
0,1,0,0,1406837700
0,1,0,0,1406838600
0,1,0,0,1406839500
0,1,0,0,1406840400
0,1,0,0,1406841300
0,0,1,-1,1406842200
0,0,1,-1,1406843100
0,0,1,-1,1406844000
0,0,1,-1,1406844900
0,1,0,0,1406845800
0,0,1,-1,1406846700
0,0,1,-1,1406847600
0,1,0,0,1406848500
0,1,0,0,1406849400
0,1,0,0,1406850300
0,0,1,-1,1406851200
0,1,0,0,1406852100
0,1,0,0,1406853000
0,1,0,0,1406853900
1,0,0,1,1406854800
1,0,0,1,1406855700
1,0,0,1,1406856600
0,1,0,0,1406857500
1,0,0,1,1406858400
