Date,Time,Time Zone,Currency,Description,Importance,Actual,Forecast,Previous
Sun Feb 26,21:45,GMT,nzd,NZD Trade Balance (New Zealand dollars),Medium,-199M,167M,306M
Sun Feb 26,21:45,GMT,nzd,NZD Exports (New Zealand dollars),Low,3.74B,3.70B,4.29B
Sun Feb 26,21:45,GMT,nzd,NZD Imports (New Zealand dollars),Low,3.94B,3.51B,3.99B
Sun Feb 26,21:45,GMT,nzd,NZD Balance (YTD) (New Zealand dollars),Medium,646M,1300M,853M
Mon Feb 27,00:01,GMT,gbp,GBP Hometrack Housing Survey (MoM),Low,0.0%,,0.0%
Mon Feb 27,00:01,GMT,gbp,GBP Hometrack Housing Survey (YoY),Low,-1.4%,,-1.6%
Mon Feb 27,01:40,GMT,aud,AUD CBAHIA House Affordability,Low,58.5,,57.2
Mon Feb 27,07:45,GMT,eur,EUR French Producer Prices (MoM) ,Low,0.6%,0.4%,-0.1%
Mon Feb 27,07:45,GMT,eur,EUR French Producer Prices (YoY) ,Medium,4.2%,4.1%,4.6%
Mon Feb 27,09:00,GMT,eur,EUR Euro-Zone M3 s.a. (3M),Low,2.0%,1.8%,2.1%
Mon Feb 27,09:00,GMT,eur,EUR Euro-Zone M3 s.a. (YoY),Low,2.5%,1.8%,1.6%
Mon Feb 27,09:00,GMT,eur,EUR Italian Business Confidence,Low,91.5,92,92.1
Mon Feb 27,15:00,GMT,usd,USD Pending Home Sales (MoM),Low,2.0%,1.0%,-1.9%
Mon Feb 27,15:00,GMT,usd,USD Pending Home Sales (YoY),Medium,10.3%,10.7%,4.4%
Mon Feb 27,15:30,GMT,usd,USD Dallas Fed Manufacturing Activity,Low,17.8,15.9,15.3
Mon Feb 27,23:50,GMT,jpy,JPY Retail Trade s.a. (MoM),Low,4.1%,1.0%,0.3%
Mon Feb 27,23:50,GMT,jpy,JPY Retail Trade (YoY),Medium,1.9%,-0.1%,2.5%
Mon Feb 27,23:50,GMT,jpy,JPY Large Retailers' Sales,Medium,-1.0%,-1.1%,-0.3%
Tue Feb 28,05:00,GMT,jpy,JPY Small Business Confidence,Low,45.3,,45.7
Tue Feb 28,07:00,GMT,eur,EUR German GfK Consumer Confidence Survey (MAR),Medium,6.0,6.0,5.9
Tue Feb 28,07:00,GMT,chf,CHF UBS Consumption Indicator,Medium,0.92,,0.94
Tue Feb 28,10:00,GMT,eur,EUR Euro-Zone Business Climate Indicator,Medium,-0.18,-0.15,-0.21
Tue Feb 28,10:00,GMT,eur,EUR Euro-Zone Consumer Confidence,Medium,-20.3,-20.2,-20.2
Tue Feb 28,10:00,GMT,eur,EUR Euro-Zone Economic Confidence,Medium,94.4,94,93.4
Tue Feb 28,10:00,GMT,eur,EUR Euro-Zone Industrial Confidence,Medium,-5.8,-6.9,-7.0
