Date,Time,Time Zone,Currency,Event,Importance,Actual,Forecast,Previous
Sun May 12,22:14,GMT,nzd,NZD REINZ House Sales (YoY),Medium,25.2%,,10.9%
Sun May 12,22:14,GMT,nzd,NZD REINZ Housing Price Index,Low,3661.5,,3631.4
Sun May 12,22:14,GMT,nzd,NZD REINZ Housing Price Index (MoM),Low,0.8%,,2.4%
Sun May 12,22:45,GMT,nzd,NZD Food Prices (MoM),Low,0.2%,,-1.3%
Sun May 12,23:50,GMT,jpy,JPY Japan Money Stock M3 (YoY),Low,2.6%,2.5%,2.5%
Sun May 12,23:50,GMT,jpy,JPY Japan Money Stock M2+CD (YoY),Low,3.3,3.1%,3.1%
Mon May 13,01:30,GMT,aud,AUD Value of Loans (MoM),Low,5.8%,,1.2%
Mon May 13,01:30,GMT,aud,AUD NAB Business Confidence,Medium,-2,,2
Mon May 13,01:30,GMT,aud,AUD RBA Credit Card Balances,Low,A$49.7B,,A$50.0B
Mon May 13,01:30,GMT,aud,AUD Home Loans,Medium,5.2%,4.0%,2.1%
Mon May 13,01:30,GMT,aud,AUD Investment Lending,Low,2.1%,,1.9%
Mon May 13,01:30,GMT,aud,AUD NAB Business Conditions,Low,-6,,-7
Mon May 13,01:30,GMT,aud,AUD RBA Credit Card Purchases,Low,A$20.2B,,A$20.2B
Mon May 13,05:30,GMT,cny,CNY Fixed Assets Inv Excl. Rural YTD (YoY),Medium,20.6%,21.0%,20.9%
Mon May 13,05:30,GMT,cny,CNY Industrial Production YTD (YoY),Medium,9.4%,9.5%,9.5%
Mon May 13,05:30,GMT,cny,CNY Industrial Production (YoY),Medium,9.3%,9.4%,8.9%
Mon May 13,05:30,GMT,cny,CNY Retail Sales YTD (YoY),Medium,12.5%,12.6%,12.4%
Mon May 13,05:30,GMT,cny,CNY Retail Sales (YoY),Medium,12.8%,12.8%,12.6%
Mon May 13,07:15,GMT,chf,CHF Retail Sales (Real) (YoY),Medium,-0.9%,,2.4%
Mon May 13,12:30,GMT,usd,"USD Retail Sales ""Control Group""",Low,0.5%,0.3%,-0.2%
Mon May 13,12:30,GMT,usd,USD Advance Retail Sales,High,0.1,-0.3%,-0.5%
Mon May 13,12:30,GMT,usd,USD Retail Sales Less Autos,Medium,-0.1%,-0.2%,-0.4%
Mon May 13,12:30,GMT,usd,USD Retail Sales Ex Auto & Gas,Low,0.6%,0.3%,0.0%
Mon May 13,13:00,GMT,eur,EUR Euro Zone Finance Ministers Meet in Brussels,High,,,
Mon May 13,14:00,GMT,usd,USD Business Inventories,Medium,0.0%,0.3%,0.0%
Mon May 13,22:45,GMT,nzd,NZD Retail Sales Ex Inflation (QoQ),Medium,0.5%,0.8%,2.1%
Mon May 13,23:01,GMT,gbp,GBP RICS House Price Balance,Medium,1%,2%,-2%
Mon May 13,23:50,GMT,jpy,JPY Domestic Corporate Goods Price Index (MoM),Low,0.3%,0.1%,0.1%
Mon May 13,23:50,GMT,jpy,JPY Domestic Corporate Goods Price Index (YoY),Low,0.0%,-0.2%,-0.5%
Mon May 13,23:50,GMT,jpy,JPY Loans & Discounts Corp (YoY),Low,1.47%,,1.42%
Tue May 14,03:00,GMT,nzd,NZD Non Resident Bond Holdings,Low,69.0%,,68.3%
Tue May 14,06:00,GMT,eur,EUR German Wholesale Price Index (MoM),Low,-0.2%,,-0.2%
Tue May 14,06:00,GMT,eur,EUR German Wholesale Price Index (YoY),Low,-0.4%,,0.3%
Tue May 14,06:00,GMT,eur,EUR German Consumer Price Index (MoM),Medium,-0.5%,-0.5%,-0.5%
Tue May 14,06:00,GMT,eur,EUR German Consumer Price Index - EU Harmonised (MoM),Medium,-0.5%,-0.5%,-0.5%
Tue May 14,06:00,GMT,eur,EUR German Consumer Price Index (YoY),Medium,1.2%,1.2%,1.2%
Tue May 14,06:00,GMT,eur,EUR German Consumer Price Index - EU Harmonised (YoY),Medium,1.1%,1.1%,1.1%
Tue May 14,06:00,GMT,jpy,JPY Machine Tool Orders (YoY),Medium,-24.1%,,-21.5%
Tue May 14,06:00,GMT,USD,USD Fed's Plosser Speaks on Monetary Policy in Stockholm,Low,,,
Tue May 14,08:30,GMT,eur,EUR Italian General Government Debt,Medium,2034.7B,,2017.6B
Tue May 14,09:00,GMT,eur,EUR German ZEW Survey (Economic Sentiment),High,36.4,40.0,36.3
Tue May 14,09:00,GMT,eur,EUR Euro-Zone Industrial Production s.a. (MoM),Low,1.0%,0.5%,0.3%
Tue May 14,09:00,GMT,eur,EUR Euro-Zone Industrial Production w.d.a. (YoY),Medium,-1.7%,-2.1%,-3.2%
Tue May 14,09:00,GMT,eur,EUR Euro-Zone ZEW Survey (Economic Sentiment),Medium,27.6,,24.9
Tue May 14,09:00,GMT,eur,EUR German ZEW Survey (Current Situation),Medium,8.9,9.8,9.2
Tue May 14,09:30,GMT,aud,Australian Federal Budget,Medium,,,
Tue May 14,11:30,GMT,usd,USD NFIB Small Business Optimism,Low,92.1,90.3,89.5
Tue May 14,12:30,GMT,usd,USD Import Price Index (MoM),Low,-0.5%,-0.5%,-0.2%
Tue May 14,12:30,GMT,usd,USD Import Price Index (YoY),Low,-2.6%,-3.1%,-2.2%
Tue May 14,13:00,GMT,cad,CAD Teranet/National Bank HPI (MoM),Low,0.2%,,0.4%
Tue May 14,13:00,GMT,cad,CAD Teranet/National Bank HPI (YoY),Low,2.0%,,2.6%
Tue May 14,13:00,GMT,cad,CAD Teranet/National Bank HP Index,Low,153.68,,153.31
Tue May 14,15:00,GMT,USD,USD New York Fed Releases Quarterly Household Debt Report,Medium,,,
Tue May 14,23:50,GMT,jpy,JPY Tertiary Industry Index (MoM),Medium,-1.3%,-0.7%,1.2%
Wed May 15,01:30,GMT,aud,AUD New Motor Vehicle Sales (MoM),Low,-1.6%,,-0.5%
Wed May 15,01:30,GMT,aud,AUD New Motor Vehicle Sales (YoY),Low,3.3%,,4.5%
Wed May 15,01:30,GMT,aud,AUD Wage Cost Index (QoQ),Low,0.7%,0.8%,0.8%
Wed May 15,01:30,GMT,aud,AUD Wage Cost Index (YoY),Low,3.2%,3.3%,3.4%
Wed May 15,05:00,GMT,jpy,JPY Consumer Confidence,Medium,44.5,45.5,44.8
Wed May 15,05:30,GMT,eur,EUR French Gross Domestic Product (QoQ),Low,-0.2%,-0.1%,-0.2%
Wed May 15,05:30,GMT,eur,EUR French Gross Domestic Product (YoY),Medium,-0.4%,-0.4%,-0.3%
Wed May 15,06:00,GMT,eur,EUR German Gross Domestic Product s.a. (QoQ),Medium,0.1%,0.3%,-0.7%
Wed May 15,06:00,GMT,eur,EUR German Gross Domestic Product w.d.a. (YoY),High,-0.2%,0.2%,0.3%
Wed May 15,06:00,GMT,eur,EUR German Gross Domestic Product n.s.a. (YoY),High,-1.4%,0.2%,0.0%
Wed May 15,07:15,GMT,chf,CHF Producer & Import Prices (MoM),Low,0.2%,-0.2%,0.0%
