UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406664000
1,0,0,1,1406667600
1,0,0,1,1406671200
1,0,0,1,1406674800
1,0,0,1,1406678400
1,0,0,1,1406682000
1,0,0,1,1406685600
1,0,0,1,1406689200
1,0,0,1,1406692800
1,0,0,1,1406696400
1,0,0,1,1406700000
1,0,0,1,1406703600
1,0,0,1,1406707200
1,0,0,1,1406710800
1,0,0,1,1406714400
0,1,0,0,1406718000
1,0,0,1,1406721600
1,0,0,1,1406725200
1,0,0,1,1406728800
1,0,0,1,1406732400
1,0,0,1,1406736000
0,1,0,0,1406739600
1,0,0,1,1406743200
0,1,0,0,1406746800
1,0,0,1,1406750400
0,1,0,0,1406754000
1,0,0,1,1406757600
1,0,0,1,1406761200
0,1,0,0,1406764800
0,1,0,0,1406768400
0,1,0,0,1406772000
0,1,0,0,1406775600
0,1,0,0,1406779200
0,1,0,0,1406782800
0,1,0,0,1406786400
0,1,0,0,1406790000
0,0,1,-1,1406793600
0,1,0,0,1406797200
0,1,0,0,1406800800
0,1,0,0,1406804400
0,1,0,0,1406808000
0,1,0,0,1406811600
0,1,0,0,1406815200
0,1,0,0,1406818800
0,1,0,0,1406822400
0,1,0,0,1406826000
0,1,0,0,1406829600
0,1,0,0,1406833200
0,1,0,0,1406836800
0,1,0,0,1406840400
0,1,0,0,1406844000
0,1,0,0,1406847600
0,1,0,0,1406851200
0,1,0,0,1406854800
0,1,0,0,1406858400
0,1,0,0,1406862000
0,1,0,0,1406865600
0,1,0,0,1406869200
1,0,0,1,1406872800
0,1,0,0,1406876400
0,0,1,-1,1406880000
0,1,0,0,1406883600
0,0,1,-1,1406887200
0,1,0,0,1406890800
0,0,1,-1,1406894400
0,1,0,0,1406898000
0,0,1,-1,1406901600
0,0,1,-1,1406905200
0,1,0,0,1406908800
0,1,0,0,1406912400
0,1,0,0,1406916000
0,1,0,0,1406919600
0,1,0,0,1406923200
0,1,0,0,1407099600
0,1,0,0,1407103200
1,0,0,1,1407106800
0,1,0,0,1407110400
0,1,0,0,1407114000
0,1,0,0,1407117600
0,1,0,0,1407121200
0,1,0,0,1407124800
1,0,0,1,1407128400
1,0,0,1,1407132000
1,0,0,1,1407135600
1,0,0,1,1407139200
1,0,0,1,1407142800
1,0,0,1,1407146400
1,0,0,1,1407150000
1,0,0,1,1407153600
0,1,0,0,1407157200
0,1,0,0,1407160800
1,0,0,1,1407164400
1,0,0,1,1407168000
1,0,0,1,1407171600
1,0,0,1,1407175200
1,0,0,1,1407178800
1,0,0,1,1407182400
1,0,0,1,1407186000
1,0,0,1,1407189600
1,0,0,1,1407193200
1,0,0,1,1407196800
1,0,0,1,1407200400
1,0,0,1,1407204000
1,0,0,1,1407207600
1,0,0,1,1407211200
1,0,0,1,1407214800
0,1,0,0,1407218400
1,0,0,1,1407222000
1,0,0,1,1407225600
1,0,0,1,1407229200
1,0,0,1,1407232800
1,0,0,1,1407236400
1,0,0,1,1407240000
0,1,0,0,1407243600
0,0,1,-1,1407247200
0,0,1,-1,1407250800
0,0,1,-1,1407254400
0,0,1,-1,1407258000
0,0,1,-1,1407261600
0,0,1,-1,1407265200
0,0,1,-1,1407268800
