UpTrend,NoTrend,DownTrend,Trend,Time
1,0,0,1,1406750400
1,0,0,1,1406754000
1,0,0,1,1406757600
1,0,0,1,1406761200
1,0,0,1,1406764800
0,1,0,0,1406768400
0,1,0,0,1406772000
0,1,0,0,1406775600
0,1,0,0,1406779200
0,1,0,0,1406782800
0,1,0,0,1406786400
1,0,0,1,1406790000
1,0,0,1,1406793600
1,0,0,1,1406797200
0,1,0,0,1406800800
0,1,0,0,1406804400
1,0,0,1,1406808000
0,1,0,0,1406811600
0,1,0,0,1406815200
0,1,0,0,1406818800
0,1,0,0,1406822400
0,1,0,0,1406826000
0,1,0,0,1406829600
0,1,0,0,1406833200
0,1,0,0,1406836800
0,1,0,0,1406840400
0,1,0,0,1406844000
0,1,0,0,1406847600
0,1,0,0,1406851200
0,1,0,0,1406854800
0,1,0,0,1406858400
0,1,0,0,1406862000
0,1,0,0,1406865600
0,1,0,0,1406869200
0,1,0,0,1406872800
0,1,0,0,1406876400
1,0,0,1,1406880000
1,0,0,1,1406883600
1,0,0,1,1406887200
1,0,0,1,1406890800
1,0,0,1,1406894400
1,0,0,1,1406898000
1,0,0,1,1406901600
1,0,0,1,1406905200
1,0,0,1,1406908800
1,0,0,1,1406912400
1,0,0,1,1406916000
1,0,0,1,1406919600
1,0,0,1,1406923200
1,0,0,1,1407099600
1,0,0,1,1407103200
1,0,0,1,1407106800
1,0,0,1,1407110400
1,0,0,1,1407114000
1,0,0,1,1407117600
1,0,0,1,1407121200
1,0,0,1,1407124800
1,0,0,1,1407128400
0,1,0,0,1407132000
1,0,0,1,1407135600
1,0,0,1,1407139200
0,1,0,0,1407142800
0,1,0,0,1407146400
0,0,1,-1,1407150000
0,0,1,-1,1407153600
0,0,1,-1,1407157200
0,0,1,-1,1407160800
0,0,1,-1,1407164400
0,0,1,-1,1407168000
0,0,1,-1,1407171600
0,0,1,-1,1407175200
0,0,1,-1,1407178800
0,0,1,-1,1407182400
0,0,1,-1,1407186000
0,0,1,-1,1407189600
0,0,1,-1,1407193200
0,0,1,-1,1407196800
0,0,1,-1,1407200400
0,0,1,-1,1407204000
0,0,1,-1,1407207600
0,0,1,-1,1407211200
0,0,1,-1,1407214800
0,1,0,0,1407218400
0,0,1,-1,1407222000
0,0,1,-1,1407225600
0,0,1,-1,1407229200
0,0,1,-1,1407232800
0,1,0,0,1407236400
0,1,0,0,1407240000
0,0,1,-1,1407243600
0,0,1,-1,1407247200
0,0,1,-1,1407250800
0,0,1,-1,1407254400
0,0,1,-1,1407258000
0,0,1,-1,1407261600
0,0,1,-1,1407265200
0,0,1,-1,1407268800
0,0,1,-1,1407272400
0,0,1,-1,1407276000
0,0,1,-1,1407279600
0,0,1,-1,1407283200
0,0,1,-1,1407286800
0,0,1,-1,1407290400
0,0,1,-1,1407294000
0,0,1,-1,1407297600
0,1,0,0,1407301200
0,0,1,-1,1407304800
0,1,0,0,1407308400
1,0,0,1,1407312000
0,1,0,0,1407315600
0,1,0,0,1407319200
