UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406577600
0,1,0,0,1406581200
0,1,0,0,1406584800
0,1,0,0,1406588400
0,1,0,0,1406592000
0,0,1,-1,1406595600
0,1,0,0,1406599200
0,1,0,0,1406602800
1,0,0,1,1406606400
1,0,0,1,1406610000
1,0,0,1,1406613600
1,0,0,1,1406617200
1,0,0,1,1406620800
1,0,0,1,1406624400
1,0,0,1,1406628000
0,1,0,0,1406631600
0,1,0,0,1406635200
0,1,0,0,1406638800
0,1,0,0,1406642400
1,0,0,1,1406646000
0,1,0,0,1406649600
0,1,0,0,1406653200
1,0,0,1,1406656800
1,0,0,1,1406660400
0,1,0,0,1406664000
0,1,0,0,1406667600
0,1,0,0,1406671200
0,1,0,0,1406674800
0,1,0,0,1406678400
0,0,1,-1,1406682000
0,0,1,-1,1406685600
0,0,1,-1,1406689200
0,0,1,-1,1406692800
0,0,1,-1,1406696400
0,0,1,-1,1406700000
0,0,1,-1,1406703600
0,1,0,0,1406707200
0,0,1,-1,1406710800
0,0,1,-1,1406714400
0,0,1,-1,1406718000
0,1,0,0,1406721600
0,1,0,0,1406725200
1,0,0,1,1406728800
1,0,0,1,1406732400
0,1,0,0,1406736000
0,1,0,0,1406739600
0,1,0,0,1406743200
0,1,0,0,1406746800
0,1,0,0,1406750400
0,1,0,0,1406754000
1,0,0,1,1406757600
0,1,0,0,1406761200
0,1,0,0,1406764800
0,1,0,0,1406768400
0,1,0,0,1406772000
0,1,0,0,1406775600
0,1,0,0,1406779200
0,0,1,-1,1406782800
0,0,1,-1,1406786400
0,1,0,0,1406790000
0,1,0,0,1406793600
0,1,0,0,1406797200
0,1,0,0,1406800800
0,1,0,0,1406804400
0,1,0,0,1406808000
1,0,0,1,1406811600
0,1,0,0,1406815200
0,1,0,0,1406818800
1,0,0,1,1406822400
0,1,0,0,1406826000
0,1,0,0,1406829600
0,1,0,0,1406833200
0,1,0,0,1406836800
0,1,0,0,1406840400
0,1,0,0,1406844000
0,1,0,0,1406847600
0,0,1,-1,1406851200
0,1,0,0,1406854800
0,1,0,0,1406858400
0,0,1,-1,1406862000
0,1,0,0,1406865600
0,1,0,0,1406869200
0,1,0,0,1406872800
0,1,0,0,1406876400
1,0,0,1,1406880000
1,0,0,1,1406883600
1,0,0,1,1406887200
1,0,0,1,1406890800
0,0,1,-1,1406894400
0,1,0,0,1406898000
0,0,1,-1,1406901600
0,1,0,0,1406905200
0,1,0,0,1406908800
0,1,0,0,1406912400
0,1,0,0,1406916000
0,1,0,0,1406919600
0,1,0,0,1406923200
0,1,0,0,1407099600
0,1,0,0,1407103200
0,1,0,0,1407106800
0,1,0,0,1407110400
0,1,0,0,1407114000
0,1,0,0,1407117600
0,1,0,0,1407121200
