UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1407214800
0,1,0,0,1407215700
0,0,1,-1,1407216600
0,0,1,-1,1407217500
0,1,0,0,1407218400
0,0,1,-1,1407219300
0,0,1,-1,1407220200
0,1,0,0,1407221100
0,0,1,-1,1407222000
0,1,0,0,1407222900
0,0,1,-1,1407223800
0,0,1,-1,1407224700
0,0,1,-1,1407225600
0,0,1,-1,1407226500
0,0,1,-1,1407227400
0,0,1,-1,1407228300
0,0,1,-1,1407229200
0,0,1,-1,1407230100
0,1,0,0,1407231000
0,1,0,0,1407231900
0,1,0,0,1407232800
0,1,0,0,1407233700
0,1,0,0,1407234600
0,1,0,0,1407235500
0,1,0,0,1407236400
0,1,0,0,1407237300
0,1,0,0,1407238200
0,1,0,0,1407239100
0,1,0,0,1407240000
0,1,0,0,1407240900
1,0,0,1,1407241800
1,0,0,1,1407242700
1,0,0,1,1407243600
1,0,0,1,1407244500
1,0,0,1,1407245400
1,0,0,1,1407246300
1,0,0,1,1407247200
1,0,0,1,1407248100
1,0,0,1,1407249000
1,0,0,1,1407249900
1,0,0,1,1407250800
1,0,0,1,1407251700
1,0,0,1,1407252600
1,0,0,1,1407253500
1,0,0,1,1407254400
1,0,0,1,1407255300
1,0,0,1,1407256200
1,0,0,1,1407257100
1,0,0,1,1407258000
1,0,0,1,1407258900
1,0,0,1,1407259800
1,0,0,1,1407260700
1,0,0,1,1407261600
1,0,0,1,1407262500
1,0,0,1,1407263400
1,0,0,1,1407264300
1,0,0,1,1407265200
0,1,0,0,1407266100
0,1,0,0,1407267000
0,1,0,0,1407267900
0,1,0,0,1407268800
0,1,0,0,1407269700
0,1,0,0,1407270600
0,1,0,0,1407271500
0,1,0,0,1407272400
0,1,0,0,1407273300
0,1,0,0,1407274200
0,1,0,0,1407275100
0,1,0,0,1407276000
1,0,0,1,1407276900
0,1,0,0,1407277800
1,0,0,1,1407278700
0,1,0,0,1407279600
1,0,0,1,1407280500
1,0,0,1,1407281400
1,0,0,1,1407282300
1,0,0,1,1407283200
1,0,0,1,1407284100
1,0,0,1,1407285000
1,0,0,1,1407285900
1,0,0,1,1407286800
1,0,0,1,1407287700
1,0,0,1,1407288600
1,0,0,1,1407289500
1,0,0,1,1407290400
1,0,0,1,1407291300
1,0,0,1,1407292200
1,0,0,1,1407293100
1,0,0,1,1407294000
1,0,0,1,1407294900
1,0,0,1,1407295800
1,0,0,1,1407296700
0,1,0,0,1407297600
