UpTrend,NoTrend,DownTrend,Trend,Time
0,0,1,-1,1407117600
0,0,1,-1,1407118500
0,1,0,0,1407119400
0,1,0,0,1407120300
0,0,1,-1,1407121200
0,1,0,0,1407122100
0,1,0,0,1407123000
0,1,0,0,1407123900
0,1,0,0,1407124800
0,1,0,0,1407125700
0,1,0,0,1407126600
0,1,0,0,1407127500
0,1,0,0,1407128400
0,0,1,-1,1407129300
0,1,0,0,1407130200
0,1,0,0,1407131100
0,1,0,0,1407132000
0,1,0,0,1407132900
1,0,0,1,1407133800
0,0,1,-1,1407134700
0,1,0,0,1407135600
0,1,0,0,1407136500
0,1,0,0,1407137400
1,0,0,1,1407138300
1,0,0,1,1407139200
0,1,0,0,1407140100
0,1,0,0,1407141000
0,1,0,0,1407141900
1,0,0,1,1407142800
0,1,0,0,1407143700
0,1,0,0,1407144600
0,1,0,0,1407145500
0,1,0,0,1407146400
0,1,0,0,1407147300
0,1,0,0,1407148200
0,1,0,0,1407149100
0,1,0,0,1407150000
0,0,1,-1,1407150900
0,0,1,-1,1407151800
0,0,1,-1,1407152700
0,1,0,0,1407153600
0,1,0,0,1407154500
0,1,0,0,1407155400
0,1,0,0,1407156300
0,1,0,0,1407157200
0,1,0,0,1407158100
0,1,0,0,1407159000
0,1,0,0,1407159900
0,0,1,-1,1407160800
0,1,0,0,1407161700
0,1,0,0,1407162600
0,1,0,0,1407163500
0,0,1,-1,1407164400
0,0,1,-1,1407165300
0,0,1,-1,1407166200
0,0,1,-1,1407167100
0,0,1,-1,1407168000
0,0,1,-1,1407168900
0,1,0,0,1407169800
0,1,0,0,1407170700
0,1,0,0,1407171600
0,1,0,0,1407172500
0,1,0,0,1407173400
0,1,0,0,1407174300
1,0,0,1,1407175200
0,1,0,0,1407176100
0,1,0,0,1407177000
0,1,0,0,1407177900
1,0,0,1,1407178800
1,0,0,1,1407179700
1,0,0,1,1407180600
1,0,0,1,1407181500
1,0,0,1,1407182400
1,0,0,1,1407183300
1,0,0,1,1407184200
1,0,0,1,1407185100
1,0,0,1,1407186000
1,0,0,1,1407186900
1,0,0,1,1407187800
1,0,0,1,1407188700
1,0,0,1,1407189600
0,1,0,0,1407190500
0,1,0,0,1407191400
0,1,0,0,1407192300
0,1,0,0,1407193200
0,1,0,0,1407194100
1,0,0,1,1407195000
0,1,0,0,1407195900
