,UpTrend,NoTrend,DownTrend,Trend,Time
1,NA,NA,NA,NA,1388624400
2,NA,NA,NA,NA,1388710800
3,NA,NA,NA,NA,1388970000
4,NA,NA,NA,NA,1389056400
5,NA,NA,NA,NA,1389142800
6,NA,NA,NA,NA,1389229200
7,NA,NA,NA,NA,1389315600
8,NA,NA,NA,NA,1389574800
9,NA,NA,NA,NA,1389661200
10,NA,NA,NA,NA,1389747600
11,NA,NA,NA,NA,1389834000
12,NA,NA,NA,NA,1389920400
13,NA,NA,NA,NA,1390179600
14,NA,NA,NA,NA,1390266000
15,NA,NA,NA,NA,1390352400
16,NA,NA,NA,NA,1390438800
17,NA,NA,NA,NA,1390525200
18,NA,NA,NA,NA,1390784400
19,NA,NA,NA,NA,1390870800
20,NA,NA,NA,NA,1390957200
21,0,1,0,0,1391043600
22,0,1,0,0,1391130000
23,0,0,1,-1,1391389200
24,0,0,1,-1,1391475600
25,0,0,1,-1,1391562000
26,0,0,1,-1,1391648400
27,0,1,0,0,1391734800
28,0,1,0,0,1391994000
29,0,1,0,0,1392080400
30,1,0,0,1,1392166800
31,1,0,0,1,1392253200
32,1,0,0,1,1392339600
33,1,0,0,1,1392598800
34,1,0,0,1,1392685200
35,1,0,0,1,1392771600
36,1,0,0,1,1392858000
37,0,1,0,0,1392944400
38,1,0,0,1,1393203600
39,1,0,0,1,1393290000
40,1,0,0,1,1393376400
41,1,0,0,1,1393462800
42,1,0,0,1,1393549200
43,1,0,0,1,1393808400
44,1,0,0,1,1393894800
45,1,0,0,1,1393981200
46,1,0,0,1,1394067600
47,1,0,0,1,1394154000
48,0,1,0,0,1394409600
49,0,1,0,0,1394496000
50,0,1,0,0,1394582400
51,0,0,1,-1,1394668800
52,0,0,1,-1,1394755200
53,0,0,1,-1,1395014400
54,0,0,1,-1,1395100800
55,0,0,1,-1,1395187200
56,0,0,1,-1,1395273600
57,0,0,1,-1,1395360000
58,0,0,1,-1,1395619200
59,0,0,1,-1,1395705600
60,0,1,0,0,1395792000
61,0,1,0,0,1395878400
62,0,1,0,0,1395964800
63,0,1,0,0,1396224000
64,0,1,0,0,1396310400
65,0,1,0,0,1396396800
66,0,1,0,0,1396483200
67,0,1,0,0,1396569600
68,0,1,0,0,1396828800
69,1,0,0,1,1396915200
70,1,0,0,1,1397001600
71,1,0,0,1,1397088000
72,1,0,0,1,1397174400
73,1,0,0,1,1397433600
74,1,0,0,1,1397520000
75,1,0,0,1,1397606400
76,1,0,0,1,1397692800
77,1,0,0,1,1397779200
78,1,0,0,1,1398038400
79,1,0,0,1,1398124800
80,1,0,0,1,1398211200
81,1,0,0,1,1398297600
82,1,0,0,1,1398384000
83,1,0,0,1,1398643200
84,1,0,0,1,1398729600
85,1,0,0,1,1398816000
86,1,0,0,1,1398902400
87,1,0,0,1,1398988800
88,1,0,0,1,1399248000
89,1,0,0,1,1399334400
90,1,0,0,1,1399420800
91,1,0,0,1,1399507200
92,0,1,0,0,1399593600
93,0,1,0,0,1399852800
94,0,1,0,0,1399939200
95,0,0,1,-1,1400025600
96,0,0,1,-1,1400112000
97,0,0,1,-1,1400198400
98,0,0,1,-1,1400457600
99,0,1,0,0,1400544000
100,0,1,0,0,1400630400
101,0,1,0,0,1400716800
102,0,1,0,0,1400803200
103,0,1,0,0,1401062400
104,0,0,1,-1,1401148800
105,0,0,1,-1,1401235200
106,0,0,1,-1,1401321600
107,0,0,1,-1,1401408000
108,0,0,1,-1,1401667200
109,0,0,1,-1,1401753600
110,0,0,1,-1,1401840000
111,0,1,0,0,1401926400
112,0,1,0,0,1402012800
113,0,1,0,0,1402272000
114,0,0,1,-1,1402358400
115,0,1,0,0,1402444800
116,1,0,0,1,1402531200
117,1,0,0,1,1402617600
118,1,0,0,1,1402876800
119,1,0,0,1,1402963200
120,1,0,0,1,1403049600
121,1,0,0,1,1403136000
122,1,0,0,1,1403222400
123,1,0,0,1,1403481600
124,1,0,0,1,1403568000
125,1,0,0,1,1403654400
126,1,0,0,1,1403740800
127,1,0,0,1,1403827200
128,1,0,0,1,1404086400
129,1,0,0,1,1404172800
130,1,0,0,1,1404259200
131,1,0,0,1,1404345600
132,1,0,0,1,1404432000
133,1,0,0,1,1404691200
134,1,0,0,1,1404777600
135,1,0,0,1,1404864000
136,1,0,0,1,1404950400
137,1,0,0,1,1405036800
138,0,1,0,0,1405296000
139,1,0,0,1,1405382400
140,1,0,0,1,1405468800
141,0,1,0,0,1405555200
142,0,1,0,0,1405641600
143,0,1,0,0,1405900800
144,0,1,0,0,1405987200
145,0,1,0,0,1406073600
146,0,0,1,-1,1406160000
147,0,0,1,-1,1406246400
