UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406145600
0,0,1,-1,1406149200
0,0,1,-1,1406152800
0,0,1,-1,1406156400
0,0,1,-1,1406160000
0,0,1,-1,1406163600
0,0,1,-1,1406167200
0,0,1,-1,1406170800
0,0,1,-1,1406174400
0,0,1,-1,1406178000
0,1,0,0,1406181600
0,1,0,0,1406185200
0,0,1,-1,1406188800
0,0,1,-1,1406192400
0,0,1,-1,1406196000
0,0,1,-1,1406199600
0,0,1,-1,1406203200
0,0,1,-1,1406206800
0,0,1,-1,1406210400
0,0,1,-1,1406214000
0,0,1,-1,1406217600
0,0,1,-1,1406221200
0,0,1,-1,1406224800
0,0,1,-1,1406228400
0,1,0,0,1406232000
0,0,1,-1,1406235600
0,0,1,-1,1406239200
0,1,0,0,1406242800
0,1,0,0,1406246400
0,0,1,-1,1406250000
0,0,1,-1,1406253600
0,1,0,0,1406257200
0,1,0,0,1406260800
0,1,0,0,1406264400
0,1,0,0,1406268000
0,0,1,-1,1406271600
0,0,1,-1,1406275200
0,0,1,-1,1406278800
0,1,0,0,1406282400
0,1,0,0,1406286000
0,1,0,0,1406289600
1,0,0,1,1406293200
0,1,0,0,1406296800
0,1,0,0,1406300400
0,0,1,-1,1406304000
0,1,0,0,1406307600
0,1,0,0,1406311200
0,1,0,0,1406314800
0,1,0,0,1406318400
0,1,0,0,1406494800
0,1,0,0,1406498400
0,1,0,0,1406502000
0,1,0,0,1406505600
0,1,0,0,1406509200
0,1,0,0,1406512800
0,1,0,0,1406516400
0,1,0,0,1406520000
0,1,0,0,1406523600
0,1,0,0,1406527200
0,1,0,0,1406530800
0,1,0,0,1406534400
0,1,0,0,1406538000
0,1,0,0,1406541600
1,0,0,1,1406545200
1,0,0,1,1406548800
1,0,0,1,1406552400
1,0,0,1,1406556000
0,1,0,0,1406559600
0,1,0,0,1406563200
0,1,0,0,1406566800
0,1,0,0,1406570400
0,1,0,0,1406574000
0,1,0,0,1406577600
0,1,0,0,1406581200
0,1,0,0,1406584800
0,1,0,0,1406588400
0,1,0,0,1406592000
0,1,0,0,1406595600
0,1,0,0,1406599200
0,0,1,-1,1406602800
0,0,1,-1,1406606400
0,0,1,-1,1406610000
0,1,0,0,1406613600
0,1,0,0,1406617200
0,1,0,0,1406620800
0,0,1,-1,1406624400
0,0,1,-1,1406628000
0,0,1,-1,1406631600
0,0,1,-1,1406635200
0,0,1,-1,1406638800
0,0,1,-1,1406642400
0,0,1,-1,1406646000
0,0,1,-1,1406649600
0,0,1,-1,1406653200
0,0,1,-1,1406656800
0,0,1,-1,1406660400
0,0,1,-1,1406664000
0,0,1,-1,1406667600
0,0,1,-1,1406671200
0,0,1,-1,1406674800
0,1,0,0,1406678400
0,1,0,0,1406682000
0,1,0,0,1406685600
0,1,0,0,1406689200
0,0,1,-1,1406692800
