,UpTrend,NoTrend,DownTrend,Trend,Time
1,NA,NA,NA,NA,1388192400
2,NA,NA,NA,NA,1388797200
3,NA,NA,NA,NA,1389402000
4,NA,NA,NA,NA,1390006800
5,NA,NA,NA,NA,1390611600
6,NA,NA,NA,NA,1391216400
7,NA,NA,NA,NA,1391821200
8,NA,NA,NA,NA,1392426000
9,NA,NA,NA,NA,1393030800
10,NA,NA,NA,NA,1393635600
11,NA,NA,NA,NA,1394240400
12,NA,NA,NA,NA,1394841600
13,NA,NA,NA,NA,1395446400
14,NA,NA,NA,NA,1396051200
15,NA,NA,NA,NA,1396656000
16,NA,NA,NA,NA,1397260800
17,NA,NA,NA,NA,1397865600
18,NA,NA,NA,NA,1398470400
19,NA,NA,NA,NA,1399075200
20,NA,NA,NA,NA,1399680000
21,1,0,0,1,1400284800
22,1,0,0,1,1400889600
23,1,0,0,1,1401494400
24,1,0,0,1,1402099200
25,1,0,0,1,1402704000
26,1,0,0,1,1403308800
27,1,0,0,1,1403913600
28,1,0,0,1,1404518400
29,1,0,0,1,1405123200
30,1,0,0,1,1405728000
