UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406836800
0,1,0,0,1406840400
0,1,0,0,1406844000
0,1,0,0,1406847600
0,1,0,0,1406851200
0,1,0,0,1406854800
0,1,0,0,1406858400
0,1,0,0,1406862000
1,0,0,1,1406865600
1,0,0,1,1406869200
1,0,0,1,1406872800
1,0,0,1,1406876400
1,0,0,1,1406880000
1,0,0,1,1406883600
1,0,0,1,1406887200
1,0,0,1,1406890800
0,1,0,0,1406894400
0,1,0,0,1406898000
0,0,1,-1,1406901600
0,1,0,0,1406905200
0,1,0,0,1406908800
0,1,0,0,1406912400
0,1,0,0,1406916000
0,1,0,0,1406919600
0,1,0,0,1406923200
0,1,0,0,1407099600
0,1,0,0,1407103200
0,1,0,0,1407106800
0,1,0,0,1407110400
0,1,0,0,1407114000
0,1,0,0,1407117600
0,1,0,0,1407121200
0,1,0,0,1407124800
0,1,0,0,1407128400
0,1,0,0,1407132000
0,1,0,0,1407135600
1,0,0,1,1407139200
1,0,0,1,1407142800
1,0,0,1,1407146400
0,1,0,0,1407150000
0,1,0,0,1407153600
0,1,0,0,1407157200
0,1,0,0,1407160800
0,1,0,0,1407164400
0,1,0,0,1407168000
0,0,1,-1,1407171600
0,0,1,-1,1407175200
0,0,1,-1,1407178800
0,0,1,-1,1407182400
0,0,1,-1,1407186000
0,0,1,-1,1407189600
0,0,1,-1,1407193200
0,0,1,-1,1407196800
0,1,0,0,1407200400
0,0,1,-1,1407204000
0,0,1,-1,1407207600
0,1,0,0,1407211200
0,1,0,0,1407214800
0,1,0,0,1407218400
0,1,0,0,1407222000
1,0,0,1,1407225600
1,0,0,1,1407229200
1,0,0,1,1407232800
1,0,0,1,1407236400
1,0,0,1,1407240000
1,0,0,1,1407243600
1,0,0,1,1407247200
1,0,0,1,1407250800
1,0,0,1,1407254400
1,0,0,1,1407258000
1,0,0,1,1407261600
1,0,0,1,1407265200
1,0,0,1,1407268800
1,0,0,1,1407272400
1,0,0,1,1407276000
1,0,0,1,1407279600
1,0,0,1,1407283200
1,0,0,1,1407286800
1,0,0,1,1407290400
1,0,0,1,1407294000
1,0,0,1,1407297600
1,0,0,1,1407301200
1,0,0,1,1407304800
1,0,0,1,1407308400
1,0,0,1,1407312000
1,0,0,1,1407315600
1,0,0,1,1407319200
0,1,0,0,1407322800
0,0,1,-1,1407326400
0,0,1,-1,1407330000
0,0,1,-1,1407333600
0,0,1,-1,1407337200
0,0,1,-1,1407340800
0,0,1,-1,1407344400
0,0,1,-1,1407348000
0,0,1,-1,1407351600
0,0,1,-1,1407355200
0,0,1,-1,1407358800
0,0,1,-1,1407362400
0,0,1,-1,1407366000
0,0,1,-1,1407369600
0,0,1,-1,1407373200
0,0,1,-1,1407376800
0,0,1,-1,1407380400
0,0,1,-1,1407384000
0,0,1,-1,1407387600
0,0,1,-1,1407391200
0,1,0,0,1407394800
0,1,0,0,1407398400
0,1,0,0,1407402000
0,1,0,0,1407405600
0,1,0,0,1407409200
0,1,0,0,1407412800
