UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406782800
0,1,0,0,1406783700
0,1,0,0,1406784600
0,1,0,0,1406785500
0,1,0,0,1406786400
0,1,0,0,1406787300
1,0,0,1,1406788200
0,1,0,0,1406789100
1,0,0,1,1406790000
1,0,0,1,1406790900
0,1,0,0,1406791800
1,0,0,1,1406792700
1,0,0,1,1406793600
1,0,0,1,1406794500
1,0,0,1,1406795400
0,1,0,0,1406796300
0,1,0,0,1406797200
0,1,0,0,1406798100
1,0,0,1,1406799000
0,1,0,0,1406799900
0,1,0,0,1406800800
1,0,0,1,1406801700
1,0,0,1,1406802600
0,1,0,0,1406803500
0,1,0,0,1406804400
1,0,0,1,1406805300
1,0,0,1,1406806200
1,0,0,1,1406807100
1,0,0,1,1406808000
1,0,0,1,1406808900
0,1,0,0,1406809800
0,1,0,0,1406810700
0,1,0,0,1406811600
0,0,1,-1,1406812500
0,0,1,-1,1406813400
0,0,1,-1,1406814300
0,0,1,-1,1406815200
0,0,1,-1,1406816100
0,0,1,-1,1406817000
0,0,1,-1,1406817900
0,0,1,-1,1406818800
0,0,1,-1,1406819700
0,0,1,-1,1406820600
0,0,1,-1,1406821500
0,1,0,0,1406822400
0,1,0,0,1406823300
0,1,0,0,1406824200
0,1,0,0,1406825100
0,1,0,0,1406826000
0,0,1,-1,1406826900
0,0,1,-1,1406827800
0,1,0,0,1406828700
0,1,0,0,1406829600
0,1,0,0,1406830500
0,1,0,0,1406831400
0,1,0,0,1406832300
0,1,0,0,1406833200
1,0,0,1,1406834100
1,0,0,1,1406835000
1,0,0,1,1406835900
1,0,0,1,1406836800
1,0,0,1,1406837700
1,0,0,1,1406838600
1,0,0,1,1406839500
1,0,0,1,1406840400
1,0,0,1,1406841300
1,0,0,1,1406842200
1,0,0,1,1406843100
1,0,0,1,1406844000
1,0,0,1,1406844900
1,0,0,1,1406845800
1,0,0,1,1406846700
1,0,0,1,1406847600
1,0,0,1,1406848500
1,0,0,1,1406849400
1,0,0,1,1406850300
1,0,0,1,1406851200
1,0,0,1,1406852100
1,0,0,1,1406853000
1,0,0,1,1406853900
1,0,0,1,1406854800
1,0,0,1,1406855700
1,0,0,1,1406856600
1,0,0,1,1406857500
1,0,0,1,1406858400
1,0,0,1,1406859300
1,0,0,1,1406860200
