UpTrend,NoTrend,DownTrend,Trend,Time
NA,NA,NA,NA,1406084400
NA,NA,NA,NA,1406088000
NA,NA,NA,NA,1406091600
NA,NA,NA,NA,1406095200
NA,NA,NA,NA,1406098800
NA,NA,NA,NA,1406102400
NA,NA,NA,NA,1406106000
NA,NA,NA,NA,1406109600
NA,NA,NA,NA,1406113200
NA,NA,NA,NA,1406116800
NA,NA,NA,NA,1406120400
NA,NA,NA,NA,1406124000
NA,NA,NA,NA,1406127600
NA,NA,NA,NA,1406131200
NA,NA,NA,NA,1406134800
NA,NA,NA,NA,1406138400
NA,NA,NA,NA,1406142000
NA,NA,NA,NA,1406145600
NA,NA,NA,NA,1406149200
NA,NA,NA,NA,1406152800
1,0,0,1,1406156400
1,0,0,1,1406160000
1,0,0,1,1406163600
1,0,0,1,1406167200
1,0,0,1,1406170800
1,0,0,1,1406174400
1,0,0,1,1406178000
1,0,0,1,1406181600
0,1,0,0,1406185200
0,1,0,0,1406188800
0,1,0,0,1406192400
0,1,0,0,1406196000
1,0,0,1,1406199600
1,0,0,1,1406203200
1,0,0,1,1406206800
1,0,0,1,1406210400
1,0,0,1,1406214000
1,0,0,1,1406217600
1,0,0,1,1406221200
1,0,0,1,1406224800
1,0,0,1,1406228400
1,0,0,1,1406232000
1,0,0,1,1406235600
1,0,0,1,1406239200
1,0,0,1,1406242800
1,0,0,1,1406246400
1,0,0,1,1406250000
1,0,0,1,1406253600
1,0,0,1,1406257200
1,0,0,1,1406260800
1,0,0,1,1406264400
1,0,0,1,1406268000
1,0,0,1,1406271600
0,1,0,0,1406275200
0,1,0,0,1406278800
1,0,0,1,1406282400
1,0,0,1,1406286000
1,0,0,1,1406289600
0,1,0,0,1406293200
1,0,0,1,1406296800
1,0,0,1,1406300400
0,1,0,0,1406304000
0,1,0,0,1406307600
0,1,0,0,1406311200
0,1,0,0,1406314800
0,0,1,-1,1406318400
0,1,0,0,1406322000
0,1,0,0,1406325600
