date,currency,event,importance,actual,forecast,previous,timestamp
2013-08-18,NZD,PERFORM_SERVIC_INDEX,Medium,58.1,,55.1,1376865000000
2013-08-18,NZD,PRODUC_PRICE_OUTPUT,Low,1,,0.8,1376865900000
2013-08-18,NZD,PRODUC_PRICE_INPUT,Low,0.6,,0.8,1376865900000
2013-08-18,GBP,RIGHTMOV_HOUS_PRICE,Low,-1.8,,0.3,1376866860000
2013-08-18,GBP,RIGHTMOV_HOUS_PRICE,Medium,5.5,,4.8,1376866860000
2013-08-18,JPY,MERCHANDIS_TRADE_EXPORT,Low,12.2,12.8,7.4,1376869800000
2013-08-18,JPY,MERCHANDIS_TRADE_IMPORT,Low,19.6,16,11.8,1376869800000
2013-08-18,JPY,MERCHANDIS_TRADE_BALANC_TOTAL,Medium,-1024,-773.5,-182.3,1376869800000
2013-08-18,JPY,ADJUSTED_MERCHANDIS_TRADE_BALANC,Low,-944,-741.3,-663.7,1376869800000
2013-08-18,AUD,NEW_MOTOR_VEHICL_SALE,Low,-3.5,,3.6,1376875800000
2013-08-18,AUD,NEW_MOTOR_VEHICL_SALE,Low,3,,6.9,1376875800000
2013-08-19,JPY,LEAD_INDEX,Medium,107.2,,107,1376888400000
2013-08-19,JPY,COINCID_INDEX,Medium,105.5,,105.2,1376888400000
2013-08-20,NZD,RESERV_BANK_NEW_ZEALAND_YEAR_INFLAT_EXPECT,Medium,2.4,,2.1,1376967600000
2013-08-20,JPY,ALL_INDUSTRI_ACTIV_INDEX,Medium,-0.6,-0.7,1.2,1376973000000
2013-08-20,JPY,NATWID_DEPART_STORE_SALE,Low,-2.5,,7.2,1376976600000
2013-08-20,JPY,TOKYO_DEPART_STORE_SALE,Low,-1,,9.4,1376976600000
2013-08-20,EUR,GERMAN_PRODUC_PRICE,Low,0.5,0.7,0.6,1376978400000
2013-08-20,EUR,GERMAN_PRODUC_PRICE,Low,-0.1,0.2,0,1376978400000
2013-08-20,JPY,CONVENI_STORE_SALE,Low,-0.8,,0.1,1376982000000
2013-08-20,EUR,ZONE_CONSTRUCT_OUTPUT,Low,0.7,,0.5,1376989200000
2013-08-20,EUR,ZONE_CONSTRUCT_OUTPUT_WDA,Low,-3,,-3.8,1376989200000
2013-08-20,CAD,WHOLESAL_SALE,Low,-2.8,-0.5,2.2,1377001800000
2013-08-20,USD,CHICAGO_FED_NAT_ACTIV_INDEX,Low,-0.15,-0.1,-0.23,1377001800000
2013-08-20,NZD,NET_MIGRAT,Low,1980,,2230,1377038700000
2013-08-20,AUD,DEWR_SKILL_VACANC,Low,0.7,,0.3,1377046800000
2013-08-20,CNY,CONFER_BOARD_CHINA_YLEAD_ECONOM_INDEX,Low,267.3,,263.6,1377050400000
2013-08-21,NZD,CRITE_CARD_SPEND,Low,-0.3,,1.4,1377054000000
2013-08-21,NZD,CRITE_CARD_SPEND,Medium,4.7,,3.7,1377054000000
2013-08-21,JPY,SUPERKET_SALE,Low,-0.5,,2.7,1377061200000
2013-08-21,CHF,MONEI_SUPPLI,Low,10.8,,11.3,1377068400000
2013-08-21,GBP,PSNB_EX_INTERVENT,Low,0.1,-2.9,8.7,1377073800000
2013-08-21,GBP,PUBLIC_FINANC_PSNCR_POUND,Low,-19.6,-8.7,-1,1377073800000
2013-08-21,GBP,PUBLIC_SECTOR_NET_BORROW_POUND,Medium,-1.6,-5,10.5,1377073800000
2013-08-21,USD,MBA_MORTGAG_APPLIC,Low,-4.6,,-4.7,1377082800000
2013-08-21,USD,EXISTING_HOME_SALE,Low,5.39,5.15,5.06,1377093600000
2013-08-21,USD,EXISTING_HOME_SALE,Medium,6.5,1.4,-1.6,1377093600000
2013-08-21,USD,DOE_CUSH_OK_CRUDE_INVENTORI,Low,-1090,,-1359,1377095400000
2013-08-21,USD,DOE_GASOLIN_INVENTORI,Low,-4029,-1500,-1169,1377095400000
2013-08-21,USD,DOE_DISTIL_INVENTORI,Low,871,1000,2027,1377095400000
2013-08-21,USD,DOE_CRUDE_OIL_INVENTORI,Low,-1428,-1500,-2812,1377095400000
2013-08-21,JPY,FOREIGN_BUI_JAPAN_BOND,Low,38.7,,403.9,1377129000000
2013-08-21,JPY,JAPAN_BUI_FOREIGN_BOND,Medium,-903.8,,1625.2,1377129000000
2013-08-21,JPY,JAPAN_BUI_FOREIGN_STOCK,Medium,-3,,-101.29,1377129000000
2013-08-21,JPY,FOREIGN_BUI_JAPAN_STOCK,Low,47.9,,-148.5,1377129000000
2013-08-21,AUD,CONFER_BOARD_LEAD_INDEX,Medium,-0.2,,0,1377129600000
2013-08-21,CNY,HSBC_KIT_FLASH_MANUFACTUR_PMI,Medium,50.1,48.2,47.7,1377135900000
2013-08-22,CHF,TRADE_BALANC_SWISS_FRANC,Medium,2.38,2.6,2.82,1377151200000
2013-08-22,CHF,IMPORT,Low,3.2,,-2.6,1377151200000
2013-08-22,CHF,EXPORT,Low,-1.9,,3.1,1377151200000
2013-08-22,JPY,MACHIN_TOOL_ORDER,Medium,-12.2,,-12.1,1377151200000
2013-08-22,EUR,FRENCH_PURCHAS_MANAG_INDEX_MANUFACTUR,Low,49.7,50.3,49.7,1377154800000
2013-08-22,EUR,FRENCH_PURCHAS_MANAG_INDEX_SERVIC,Low,47.7,49.2,48.6,1377154800000
2013-08-22,EUR,GERMAN_PURCHAS_MANAG_INDEX_MANUFACTUR,Medium,52,51.1,50.7,1377156600000
2013-08-22,EUR,GERMAN_PURCHAS_MANAG_INDEX_SERVIC,Medium,52.4,51.7,51.3,1377156600000
2013-08-22,EUR,ZONE_PURCHAS_MANAG_INDEX_MANUFACTUR,Medium,51.3,50.7,50.3,1377158400000
2013-08-22,EUR,ZONE_PURCHAS_MANAG_INDEX_SERVIC,Medium,51,50.2,49.8,1377158400000
2013-08-22,EUR,ZONE_PURCHAS_MANAG_INDEX_COMPOSIT,Medium,51.7,50.9,50.5,1377158400000
