name,code,source,sector
Central Illinois No. 2 Yellow,WSJ/CORN_2,WSJ,Grains
CBOT Corn Futures,OFDP/FUTURE_C1,OFDP,Grains
"5% Broken White, Thailand",WSJ/RICE_THAI,WSJ,Grains
"No. 1 Yellow, Illinois",WSJ/SOYB_1,WSJ,Grains
"No. 2 Soft Red, St Louis",WSJ/WHEAT_2,WSJ,Grains
World Gold Council,WGC/GOLD_DAILY_USD,WGC,Metals
"London fixing, USD equivalent",OFDP/SILVER_5,LME,Metals
Free Market,WSJ/PL_MKT,WSJ,Metals
"Copper, high grade, Comex spot",WSJ/COPPER,WSJ,Metals
"Iron Ore, 62% Fe CFR China",WSJ/FE_TJN,WSJ,Metals
"Zinc, N. Am",WSJ/ZINC,WSJ,Metals
ICE Brent Crude Oil Futures,OFDP/FUTURE_B1,ICE,Oil and Gas
Dubai Crude Oil,ODA/POILDUB_USD,ODA,Oil and Gas
