cross1,cross2,rel
CADJPY,JPYUSD,-0.9694516055
EURJPY,JPYUSD,-0.9652311775
GBPJPY,JPYUSD,-0.9627379482
GBPJPY,JPYNZD,-0.9624975728
EURJPY,JPYNZD,-0.9605655565
AUDNZD,GBPJPY,-0.9602032624
CADJPY,JPYNZD,-0.9600529652
CHFJPY,JPYNZD,-0.9489731881
AUDNZD,EURJPY,-0.9373213428
CHFJPY,JPYUSD,-0.9368652546
AUDNZD,CHFJPY,-0.9366952905
AUDJPY,JPYNZD,-0.9274596572
AUDJPY,JPYUSD,-0.887804476
CADNZD,GBPJPY,-0.8794489627
CADCHF,EURUSD,-0.8560264236
CADNZD,CHFJPY,-0.8519732602
AUDEUR,CHFJPY,-0.8463727925
AUDEUR,EURJPY,-0.8433056975
CADNZD,EURJPY,-0.8388523666
AUDGBP,GBPJPY,-0.8303366855
CADEUR,CHFJPY,-0.8228696134
AUDCHF,CHFJPY,-0.8078104992
CADEUR,EURJPY,-0.8063151003
CADGBP,GBPUSD,-0.8061456845
AUDNZD,CADJPY,-0.8055934019
AUDEUR,GBPJPY,-0.8039114756
AUDUSD,GBPJPY,-0.8022329608
CADUSD,GBPJPY,-0.7960210057
CADEUR,EURUSD,-0.7931620796
AUDUSD,EURJPY,-0.7881457092
CADGBP,GBPJPY,-0.784584427
AUDGBP,EURJPY,-0.7826672851
AUDCHF,EURJPY,-0.7700507397
CADEUR,GBPJPY,-0.7638316809
CADUSD,EURJPY,-0.7588611588
AUDUSD,CHFJPY,-0.7577741099
CADCHF,CHFUSD,-0.7541365028
AUDCHF,EURUSD,-0.74980081
CADNZD,NZDUSD,-0.7485581674
AUDGBP,CHFJPY,-0.7401384817
CADCHF,CHFJPY,-0.7338057119
AUDCHF,GBPJPY,-0.7304407208
CADUSD,CHFJPY,-0.7297125634
CADGBP,EURJPY,-0.7098829188
AUDJPY,CADNZD,-0.7093231706
CADCHF,GBPUSD,-0.6857701177
AUDEUR,EURUSD,-0.6796822653
CADNZD,CADJPY,-0.6783715807
CADGBP,CHFJPY,-0.6759561302
CADCHF,EURJPY,-0.6728006397
AUDNZD,AUDJPY,-0.6646252436
AUDGBP,GBPUSD,-0.6573011615
AUDUSD,CADJPY,-0.6531063698
CADNZD,GBPUSD,-0.6467741825
CADCHF,GBPJPY,-0.63200565
AUDEUR,CADJPY,-0.6231352798
JPYNZD,NZDUSD,-0.6222921755
CADEUR,GBPUSD,-0.6073387877
AUDJPY,GBPNZD,-0.5954024039
AUDCHF,CHFUSD,-0.5890031105
AUDCHF,GBPUSD,-0.5855848379
AUDCAD,EURJPY,-0.5811197747
AUDNZD,GBPUSD,-0.5671146332
AUDCAD,GBPJPY,-0.5648192189
AUDCAD,CADJPY,-0.5622745962
AUDCAD,CHFJPY,-0.5590922638
CADUSD,CADJPY,-0.5564603808
GBPNZD,NZDUSD,-0.5523234724
CADEUR,CHFUSD,-0.5442034881
AUDGBP,CADJPY,-0.5289771114
AUDCHF,CADJPY,-0.5240578526
