cross1,cross2,rel
CAD.BUILD_PERMIT,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.147723693787165
CAD.INTERN_MERCHANDIS_TRADE,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.554266799827404
CAD.IVEI_PURCHAS_MANAG_INDEX,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.125722047918037
EUR.ECB_GINAL_LEND_FACIL,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.142857142857143
EUR.EUROPEAN_CENTRAL_BANK_RATE_DECISION,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.366605016480015
EUR.GERMAN_FACTORI_ORDER,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.844789326813099
EUR.ZONE_RETAIL_SALE,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.984510765141045
GBP.HALIFAX_HOUS_PRICE_INDEX,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.0465057779365825
GBP.NEW_CAR_REGISTR,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.164979172614824
JPY.OFFICI_RESERV_ASSET,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.207558283832229
NZD.QV_HOUS_PRICE,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.129832800178598
USD.CHALLENG_JOB_CUT,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.508456611263341
USD.CONTINU_CLAIM,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.381676453341747
USD.DOE_DISTIL_INVENTORI,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-1
USD.DOE_GASOLIN_INVENTORI,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-1
USD.EIA_NATUR_GAS_STORAG_CHANG,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.0738173244196866
USD.FACTORI_ORDER,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.438776402038976
USD.JOBLESS_CLAIM,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.740915050896748
USD.NONFARM_PRODUCT,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.895319307021747
USD.RBC_CONSUM_OUTLOOK_INDEX,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.94209917055825
USD.TRADE_BALANC,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.97700611654202
USD.UNIT_LABOR_COST,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-1
AUDUSD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.274509189876166
AUDNZD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.196173939200236
AUDJPY,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.296152608121455
AUDGBP,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.254937331117708
AUDEUR,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.233326142533328
AUDCHF,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.280948873563006
AUDCAD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.264565131739943
CADUSD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.520547687197535
CADNZD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.180511630195983
CADJPY,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.546876964875955
CADGBP,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.245950090391086
CADEUR,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.345709084620171
CADCHF,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.318633572904972
CHFUSD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.124442642947398
CHFNZD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.203601377736072
CHFJPY,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.0436104179085775
CHFGBP,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.0813473884304726
CHFEUR,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.432932729779185
EURUSD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.00649399811149833
EURNZD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.00412610434423018
EURJPY,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.00644475779132432
EURGBP,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.228963010537061
GBPUSD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.125425258365155
GBPNZD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.231686776853064
GBPJPY,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.083466531132019
JPYUSD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.0309871193788547
JPYNZD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.0700946557344413
NZDUSD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.0158210558182304
YAHOO.INDEX_GDAXI,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.00175621841771135
YAHOO.INDEX_FTSE,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.233908193101011
YAHOO.INDEX_AORD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.0990147761960023
NIKKEI.INDEX.PRICE,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.212778947217799
YAHOO.INDEX_GSPTSE,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.386292068792382
OFDP.SILVER_5,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.239807074668442
WGC.GOLD_DAILY_USD,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.596123318603928
WSJ.COPPER,AUD.AIG_PERFORM_CONSTRUCT_INDEX,0.318004855993059
WSJ.CORN_2,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.794558464403156
WSJ.PL_MKT,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.591424377820593
OFDP.FUTURE_B1,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.340551250909864
FED.JRXWTFB_N_B,AUD.AIG_PERFORM_CONSTRUCT_INDEX,-0.709763132052905
AUD.BUILD_APPROV,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.703854475736933
AUD.COMPANI_OPERATING_PROFIT,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.670356521791065
AUD.INVENTORI,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.892620999752503
AUD.PPI,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-1
AUD.RPDATA_RISK_HOUS_PX,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.233469287532413
AUD.TD_SECUR_INFLAT,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.582695847373331
CAD.AVERAG_WEEKLI_EARNING,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.946266912999494
CAD.GDP,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.746023273367143
CAD.INDUSTRI_PRODUCT_PRICE,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-1
CNY.HSBC_CHINA_MANUFACTUR_PMI,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.911950988117211
CNY.HSBC_KIT_MANUFACTUR_PMI,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.254026374662442
CNY.MANUFACTUR_PMI,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.787176549374667
EUR.GERMAN_RETAIL_SALE,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.194095537168507
EUR.ITALIAN_CPI_EU_HARMON,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-1
EUR.ITALIAN_CPI_NIC_INCL_TOBACCO,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-1
EUR.ITALIAN_UNEMPLOY_RATE,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.683953587828014
EUR.ZONE_CPI_CORE,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.331453464829924
EUR.ZONE_CPI_ESTIM,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.25771453808003
GBP.EX_IOFC_M_ANNUALISED,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.907315824724776
GBP.HOMETRACK_HOUS_SURVEI,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.42453986747543
GBP.MONEI_SUPPLI,AUD.AIG_PERFORM_MANUFACTUR_INDEX,0.263794671792247
GBP.MORTGAG_APPROV,AUD.AIG_PERFORM_MANUFACTUR_INDEX,-0.665700408597519
