Date,QUANDL.AUDUSD - Rate,QUANDL.AUDNZD - Rate,QUANDL.AUDJPY - Rate,QUANDL.AUDGBP - Rate,QUANDL.AUDEUR - Rate,QUANDL.AUDCHF - Rate,QUANDL.AUDCAD - Rate,QUANDL.CADUSD - Rate,QUANDL.CADNZD - Rate,QUANDL.CADJPY - Rate,QUANDL.CADGBP - Rate,QUANDL.CADEUR - Rate,QUANDL.CADCHF - Rate,QUANDL.CHFUSD - Rate,QUANDL.CHFNZD - Rate,QUANDL.CHFJPY - Rate,QUANDL.CHFGBP - Rate,QUANDL.CHFEUR - Rate,QUANDL.EURUSD - Rate,QUANDL.EURNZD - Rate,QUANDL.EURJPY - Rate,QUANDL.EURGBP - Rate,QUANDL.GBPUSD - Rate,QUANDL.GBPNZD - Rate,QUANDL.GBPJPY - Rate,QUANDL.JPYUSD - Rate,QUANDL.JPYNZD - Rate,QUANDL.NZDUSD - Rate,YAHOO.INDEX_GDAXI - Close,YAHOO.INDEX_FTSE - Close,YAHOO.INDEX_AORD - Close,NIKKEI.INDEX - Close Price,YAHOO.INDEX_GSPTSE - Close,OFDP.SILVER_5 - USD,WGC.GOLD_DAILY_USD - Value,WSJ.COPPER - Value,WSJ.CORN_2 - Value,WSJ.PL_MKT - Value,OFDP.FUTURE_B1 - Settle,FED.JRXWTFB_N_B - Value
2014-07-23,0.938621,1.08089,95.193,0.549803,0.694858,0.844181,1.00804,0.931077,1.07233,94.4251,0.54539,0.68925,0.837381,1.11189,1.28063,112.771,0.651289,0.823138,1.3509,1.5559,137.007,0.791193,1.70729,1.96649,173.156,0.00986064,0.0113625,0.868203,9753.56,6798.2,5567.0,15328.56,15394.4,20.93,1308.0,3.195,3.625,1486.0,,
2014-07-22,0.938607,1.07981,95.0992,0.549464,0.694015,0.843061,1.00776,0.931376,1.07087,94.3628,0.544665,0.688592,0.836566,1.11335,1.28016,112.877,0.651814,0.823126,1.35258,1.55527,137.054,0.791778,1.70833,1.96443,173.086,0.00986064,0.0113625,0.869684,9734.33,6795.3,5534.0,15343.28,15315.1,20.81,1310.3,3.1955,3.57,1487.0,107.33,
2014-07-21,0.938112,1.07995,95.1109,0.548584,0.693776,0.842698,1.00734,0.931413,1.07169,94.357,0.544665,0.688612,0.836964,1.11335,1.28039,112.92,0.651153,0.823143,1.35251,1.55556,137.143,0.790961,1.71002,1.96673,173.371,0.00986064,0.0113625,0.870212,9612.05,6728.4,5528.7,,15250.0,20.93,1311.5,3.1865,3.625,1494.0,107.68,
2014-07-20,,,,,,,,,1.07221,94.357,,,0.836425,,1.28192,112.818,,,,,,,,,,,0.0113625,,,,,,,,,,,,,
2014-07-19,,,,,,,,,1.07183,94.3505,,,0.835735,,1.28248,112.904,,,,,,,,,,,0.0113625,,,,,,,,,,,,,
2014-07-18,0.936401,1.07619,95.1069,0.546845,0.691925,0.84062,1.00663,0.930401,1.06911,94.4913,0.543214,0.68734,0.835115,1.11407,1.28019,113.155,0.650563,0.823181,1.35347,1.55539,137.475,0.790356,1.71257,1.96802,173.933,0.00986064,0.0112617,0.870212,9720.02,6749.5,5519.2,15215.71,15266.6,20.94,1307.3,3.174,3.655,1497.0,107.24,102.3856
2014-07-17,0.936347,1.07107,95.2033,0.546734,0.690246,0.838724,1.00661,0.930302,1.06388,94.5816,0.543115,0.685654,0.833256,1.11639,1.27698,113.509,0.651858,0.822941,1.35671,1.55184,137.939,0.792102,1.71287,1.95907,174.151,0.00983821,0.0112617,0.87429,9753.88,6738.3,5509.9,15370.26,15204.5,20.78,1302.5,3.209,3.735,1497.0,107.89,102.3826
2014-07-16,0.938476,1.06641,95.2974,0.548466,0.689719,0.837739,1.00722,0.931708,1.05875,94.6143,0.544491,0.684755,0.831779,1.12019,1.27301,113.764,0.654603,0.823348,1.36067,1.54612,138.177,0.795148,1.71123,1.94449,173.772,0.00983821,0.0112386,0.879984,9859.27,6784.7,5504.5,15379.3,15226.3,20.7,1301.0,3.205,3.725,,105.85,102.319
2014-07-15,0.939327,1.06606,95.2421,0.549021,0.690017,0.837876,1.00804,0.931783,1.05751,94.4977,0.544615,0.684575,0.833185,1.12106,1.27235,113.693,0.655288,0.823637,1.36119,1.54481,138.045,0.795669,1.71087,1.94173,173.46,0.00986064,0.0112386,0.881136,9719.41,6710.5,5495.7,15395.16,15081.3,20.93,1310.0,3.2385,3.725,,106.02,102.3012
2014-07-14,0.939164,1.06569,95.1754,0.548422,0.689843,0.837749,1.00529,0.934008,1.05954,94.6189,0.545562,0.686207,0.833185,1.12111,1.2717,113.535,0.654745,0.82352,1.36135,1.54468,138.001,0.795138,1.71237,1.94291,173.476,0.00986064,0.0112386,0.881396,9783.01,6746.1,5495.8,15296.82,15171.2,21.13,1306.0,3.2385,3.775,1494.0,106.98,102.1181
2014-07-13,,,,,,,,,1.05954,94.6189,,,0.833185,,1.2717,113.535,,,,,,,,,,,0.0112386,,,,,,,,,,,,,
2014-07-12,,,,,,,,,1.06365,95.0357,,,0.836563,,1.27142,113.603,,,,,,,,,,,0.0112386,,,,,,,,,,,,,
2014-07-11,0.939536,1.06633,95.3594,0.548349,0.689706,0.838017,1.00176,0.937948,1.06455,95.1981,0.547448,0.68852,0.836563,1.12112,1.27242,113.797,0.654341,0.823015,1.36231,1.54621,138.275,0.795138,1.71338,1.94461,173.904,0.00986064,0.0112386,0.881106,9666.34,6690.2,5474.6,15164.04,15125.5,21.415,1335.0,3.2585,3.73,1506.0,106.66,102.1161
2014-07-10,0.939826,1.06899,95.5391,0.548706,0.68978,0.839162,1.00316,0.936937,1.06573,95.2488,0.547006,0.688911,0.836563,1.11997,1.27392,113.859,0.65392,0.822739,1.36141,1.54853,138.4,0.794883,1.71283,1.94819,174.123,0.00983821,0.0112386,0.879116,9659.13,6672.4,5454.3,15216.47,15114.5,21.5,1340.3,3.256,3.795,1512.0,108.67,102.0104
2014-07-09,0.93817,1.07052,95.509,0.547614,0.68978,0.83846,1.00123,0.937049,1.06922,95.3955,0.546995,0.688911,0.837566,1.11881,1.27684,113.914,0.653144,0.822694,1.36009,1.5521,138.477,0.793941,1.7131,1.95513,174.435,0.00983821,0.0112386,0.876243,9808.2,6718.0,5442.2,15302.65,15215.2,21.13,1322.8,3.2365,3.845,1504.0,108.28,101.9291
2014-07-08,0.936379,1.07108,95.5267,0.546115,0.688839,0.837464,0.997794,0.938383,1.07358,95.7476,0.547345,0.690359,0.839315,1.11812,1.27924,114.078,0.652132,0.822537,1.36114,1.55525,138.698,0.792881,1.71468,1.96172,174.95,0.00983821,0.0112386,0.874127,9772.67,6738.5,5498.5,15314.41,15137.2,21.08,1313.0,3.243,3.915,1499.0,108.94,102.0272
2014-07-07,0.936986,1.07095,95.6077,0.546162,0.688431,0.836629,0.998256,0.938581,1.07418,95.8356,0.547282,0.689715,0.839577,1.11981,1.27956,114.162,0.652854,0.822828,1.36114,1.55602,138.895,0.793377,1.71572,1.96127,175.087,0.00983821,0.0112386,0.874738,9906.07,6823.5,5506.3,15379.44,15172.9,20.95,1313.0,3.2485,3.925,,110.24,102.0996
