cross1,cross2,rel
AUDNZD,AUDUSD,0.554273070797984
AUDJPY,AUDUSD,0.282609412115157
AUDGBP,AUDUSD,0.876601593709697
AUDEUR,AUDUSD,0.88012081737637
AUDCHF,AUDUSD,0.259522456613206
AUDCAD,AUDUSD,0.892203959475743
CADUSD,AUDUSD,0.887291926480965
CADNZD,AUDUSD,-0.374338220632774
CADJPY,AUDUSD,-0.267066646531559
CADGBP,AUDUSD,0.726914363118851
CADEUR,AUDUSD,0.603641156999399
CADCHF,AUDUSD,-0.476106966797718
CHFUSD,AUDUSD,0.846120020831444
CHFNZD,AUDUSD,0.148804914999097
CHFJPY,AUDUSD,0.152174860699092
CHFGBP,AUDUSD,0.714947404765378
CHFEUR,AUDUSD,0.746009168119038
EURUSD,AUDUSD,0.348354556741702
EURNZD,AUDUSD,-0.639497928785006
EURJPY,AUDUSD,-0.483064642506597
EURGBP,AUDUSD,0.477315357419552
GBPUSD,AUDUSD,-0.294673144030869
GBPNZD,AUDUSD,-0.822169069475628
GBPJPY,AUDUSD,-0.547639130267021
JPYUSD,AUDUSD,0.701249065405925
JPYNZD,AUDUSD,-0.0144314473260698
NZDUSD,AUDUSD,0.844488487955836
YAHOO.INDEX_GDAXI,AUDUSD,0.541061832017089
YAHOO.INDEX_FTSE,AUDUSD,0.42894869375069
YAHOO.INDEX_AORD,AUDUSD,0.115860941432784
NIKKEI.INDEX,AUDUSD,-0.319515576475561
YAHOO.INDEX_GSPTSE,AUDUSD,0.564772655706798
OFDP.SILVER_5,AUDUSD,0.895732027161535
WGC.GOLD_DAILY_USD,AUDUSD,0.868305184099504
WSJ.COPPER,AUDUSD,0.846428155128969
WSJ.CORN_2,AUDUSD,0.777425394170904
WSJ.PL_MKT,AUDUSD,0.730893130132777
OFDP.FUTURE_B1,AUDUSD,0.86492198464019
FED.JRXWTFB_N_B,AUDUSD,-0.626575616639005
AUDUSD,AUDNZD,0.554273070797984
AUDJPY,AUDNZD,-0.346283610122997
AUDGBP,AUDNZD,0.662218961090274
AUDEUR,AUDNZD,0.469117397812203
AUDCHF,AUDNZD,0.134147325666203
AUDCAD,AUDNZD,0.369537954035366
CADUSD,AUDNZD,0.590664951533889
CADNZD,AUDNZD,0.492906076125251
CADJPY,AUDNZD,-0.528217729180814
CADGBP,AUDNZD,0.72060675640122
CADEUR,AUDNZD,0.404806181657739
CADCHF,AUDNZD,-0.193252344409057
CHFUSD,AUDNZD,0.434904489042156
CHFNZD,AUDNZD,0.599781149524448
CHFJPY,AUDNZD,-0.49452688280661
CHFGBP,AUDNZD,0.540426951545024
CHFEUR,AUDNZD,0.362301283419677
EURUSD,AUDNZD,0.231933381059921
EURNZD,AUDNZD,0.124849155527229
EURJPY,AUDNZD,-0.610684183327571
EURGBP,AUDNZD,0.636652484450809
GBPUSD,AUDNZD,-0.510371221426551
GBPNZD,AUDNZD,-0.360173449895738
GBPJPY,AUDNZD,-0.68467167443052
JPYUSD,AUDNZD,0.768791592318517
JPYNZD,AUDNZD,0.681784067946773
NZDUSD,AUDNZD,0.0249029212347656
YAHOO.INDEX_GDAXI,AUDNZD,-0.121654764758289
YAHOO.INDEX_FTSE,AUDNZD,-0.24607314979086
YAHOO.INDEX_AORD,AUDNZD,-0.332822321787554
NIKKEI.INDEX,AUDNZD,-0.670551381527778
