instrument,displayName,pip,maxTradeUnits
AUD_CAD,AUD/CAD,0.0001,10000000
AUD_CHF,AUD/CHF,0.0001,10000000
AUD_HKD,AUD/HKD,0.0001,10000000
AUD_JPY,AUD/JPY,0.01,10000000
AUD_NZD,AUD/NZD,0.0001,10000000
AUD_SGD,AUD/SGD,0.0001,10000000
AUD_USD,AUD/USD,0.0001,10000000
BCO_USD,Brent Crude Oil,0.01,10000
CAD_CHF,CAD/CHF,0.0001,10000000
CAD_HKD,CAD/HKD,0.0001,10000000
CAD_JPY,CAD/JPY,0.01,10000000
CAD_SGD,CAD/SGD,0.0001,10000000
CHF_HKD,CHF/HKD,0.0001,10000000
CHF_JPY,CHF/JPY,0.01,10000000
CHF_USD,CHF/USD,0.0001,10000000
CHF_ZAR,CHF/ZAR,0.0001,10000000
CORN_USD,Corn,0.01,150000
DE30_EUR,German 30 Index,0.1,100
EUR_AUD,EUR/AUD,0.0001,10000000
EUR_CAD,EUR/CAD,0.0001,10000000
EUR_CHF,EUR/CHF,0.0001,10000000
EUR_CZK,EUR/CZK,0.0001,10000000
EUR_DKK,EUR/DKK,0.0001,10000000
EUR_GBP,EUR/GBP,0.0001,10000000
EUR_HKD,EUR/HKD,0.0001,10000000
EUR_HUF,EUR/HUF,0.01,10000000
EUR_JPY,EUR/JPY,0.01,10000000
EUR_NOK,EUR/NOK,0.0001,10000000
EUR_NZD,EUR/NZD,0.0001,10000000
EUR_PLN,EUR/PLN,0.0001,10000000
EUR_SEK,EUR/SEK,0.0001,10000000
EUR_SGD,EUR/SGD,0.0001,10000000
EUR_TRY,EUR/TRY,0.0001,10000000
EUR_USD,EUR/USD,0.0001,10000000
EUR_ZAR,EUR/ZAR,0.0001,10000000
GBP_AUD,GBP/AUD,0.0001,10000000
GBP_CAD,GBP/CAD,0.0001,10000000
GBP_CHF,GBP/CHF,0.0001,10000000
GBP_HKD,GBP/HKD,0.0001,10000000
GBP_JPY,GBP/JPY,0.01,10000000
GBP_NZD,GBP/NZD,0.0001,10000000
GBP_PLN,GBP/PLN,0.0001,10000000
GBP_SGD,GBP/SGD,0.0001,10000000
GBP_USD,GBP/USD,0.0001,10000000
GBP_ZAR,GBP/ZAR,0.0001,10000000
HK33_HKD,Hang Seng 33 Index,0.1,400
HKD_JPY,HKD/JPY,0.0001,10000000
JP225_USD,Nikkei 225 Index,0.1,100
JPY_USD,JPY/USD,0.000001,1000000000
NAS100_USD,Nasdaq 100 Index,0.1,400
NZD_CAD,NZD/CAD,0.0001,10000000
NZD_CHF,NZD/CHF,0.0001,10000000
NZD_HKD,NZD/HKD,0.0001,10000000
NZD_JPY,NZD/JPY,0.01,10000000
NZD_SGD,NZD/SGD,0.0001,10000000
NZD_USD,NZD/USD,0.0001,10000000
SGD_CHF,SGD/CHF,0.0001,10000000
SGD_HKD,SGD/HKD,0.0001,10000000
SGD_JPY,SGD/JPY,0.01,10000000
SPX500_USD,S&P 500 Index,0.1,800
TRY_JPY,TRY/JPY,0.01,10000000
UK100_GBP,FTSE 100 Index,0.1,100
US30_USD,Dow Jones 30 Index,0.1,100
USD_AUD,USD/AUD,0.0001,10000000
USD_CAD,USD/CAD,0.0001,10000000
USD_CHF,USD/CHF,0.0001,10000000
USD_CNY,USD/CNY,0.0001,10000000
USD_CZK,USD/CZK,0.0001,10000000
USD_DKK,USD/DKK,0.0001,10000000
USD_EUR,USD/EUR,0.0001,10000000
USD_GBP,USD/GBP,0.0001,10000000
USD_HKD,USD/HKD,0.0001,10000000
USD_HUF,USD/HUF,0.01,10000000
USD_INR,USD/INR,0.01,10000000
USD_JPY,USD/JPY,0.01,10000000
USD_MXN,USD/MXN,0.0001,10000000
USD_NOK,USD/NOK,0.0001,10000000
USD_PLN,USD/PLN,0.0001,10000000
USD_SAR,USD/SAR,0.0001,10000000
USD_SEK,USD/SEK,0.0001,10000000
USD_SGD,USD/SGD,0.0001,10000000
USD_THB,USD/THB,0.01,10000000
USD_TRY,USD/TRY,0.0001,10000000
USD_TWD,USD/TWD,0.0001,10000000
USD_ZAR,USD/ZAR,0.0001,10000000
WHEAT_USD,Wheat,0.01,150000
XAG_AUD,XAG/AUD,0.0001,100000
XAG_CAD,XAG/CAD,0.0001,100000
XAG_CHF,XAG/CHF,0.0001,100000
XAG_EUR,XAG/EUR,0.0001,100000
XAG_GBP,XAG/GBP,0.0001,100000
XAG_HKD,XAG/HKD,0.0001,100000
XAG_JPY,XAG/JPY,0.1,100000
XAG_NZD,XAG/NZD,0.0001,100000
XAG_SGD,XAG/SGD,0.0001,100000
XAG_USD,XAG/USD,0.0001,100000
XAU_AUD,XAU/AUD,0.01,5000
XAU_CAD,XAU/CAD,0.01,5000
XAU_CHF,XAU/CHF,0.01,5000
XAU_EUR,XAU/EUR,0.01,5000
XAU_GBP,XAU/GBP,0.01,5000
XAU_HKD,XAU/HKD,0.01,5000
XAU_JPY,XAU/JPY,10,5000
XAU_NZD,XAU/NZD,0.01,5000
XAU_SGD,XAU/SGD,0.01,5000
XAU_USD,XAU/USD,0.01,5000
XAU_XAG,XAU/XAG,0.01,5000
XPD_USD,XPD/USD,0.01,500
XPT_USD,XPT/USD,0.01,500
XXX_AUD,XXX/AUD,0.0001,10
XXX_CAD,XXX/CAD,0.0001,10
XXX_CHF,XXX/CHF,0.0001,10
XXX_EUR,XXX/EUR,0.0001,10
XXX_GBP,XXX/GBP,0.0001,10
XXX_HKD,XXX/HKD,0.0001,10
XXX_JPY,XXX/JPY,0.0001,10
XXX_SGD,XXX/SGD,0.0001,10
XXX_USD,XXX/USD,0.0001,10
ZAR_JPY,ZAR/JPY,0.01,10000000
