cross,percentage
GBPNZD,1.07644602269548
AUDCHF,0.89435572097002
EURGBP,0.842160237386487
CHFEUR,0.825527766238798
NZDUSD,0.660723135173779
EURNZD,0.566548097387727
CHFNZD,0.563094215059621
CADCHF,0.52792280653901
AUDUSD,0.251241040805661
CHFUSD,0.222461265365793
CADUSD,0.168424416280919
AUDJPY,0.160845335687461
CADJPY,0.139211701527573
AUDGBP,0.0956400848013283
JPYNZD,0.0620352485714317
JPYUSD,0.0103936548666938
CADGBP,-0.0443401950238113
AUDEUR,-0.0723871964670114
CHFJPY,-0.0783510013563715
GBPJPY,-0.115245268581811
EURJPY,-0.181271834305711
CHFGBP,-0.208926982712503
AUDCAD,-0.270987672291777
CADEUR,-0.443343515847881
CADNZD,-0.447785617012811
GBPUSD,-0.473406508545366
EURUSD,-0.770918773637977
AUDNZD,-0.960066183574787
