Open,High,Low,Close,Volume
114.387,115.453,114.046,115.442,74187
115.442,115.56,114.25,114.575,66866
114.472,114.56,114.033,114.147,16969
114.149,115.299,113.855,115.265,44953
115.264,116.094,114.998,115.606,41927
115.608,115.875,114.874,115.67,40543
115.674,116.191,115.306,116.055,33324
116.058,116.814,116.009,116.253,29825
116.436,117.044,115.446,115.791,21361
115.789,116.778,115.452,116.575,30865
116.579,117.41,116.332,117.327,36850
117.324,118.534,117.223,118.463,38070
118.467,118.968,117.35,117.804,53448
117.804,118.113,117.378,117.791,31361
117.87,117.939,117.571,117.897,6240
117.893,118.569,117.776,117.951,28789
117.95,118.285,117.653,117.811,27838
117.812,117.894,117.259,117.3,26237
117.303,118.33,117.227,118.28,21864
118.284,118.761,118.069,118.542,14259
118.737,119.017,118.664,118.876,8784
118.875,119.128,117.845,118.453,39874
118.45,119.433,118.373,119.224,24612
119.219,119.942,119.121,119.895,24083
119.893,120.245,119.331,120.051,34200
120.054,121.68,119.976,121.419,32378
121.56,121.838,121.331,121.527,10160
121.528,121.544,120.049,120.174,36362
120.173,120.274,117.924,118.86,71767
118.858,119.45,117.426,118.19,66982
118.193,119.55,117.899,118.653,54268
118.657,119.076,118.044,118.747,43916
118.619,119.051,117.768,118.679,27909
118.676,118.969,117.284,117.456,63405
117.46,117.751,115.552,116.88,107781
116.884,118.998,116.812,118.481,76165
118.48,119.358,118.248,119.181,50143
119.18,119.616,118.824,119.474,30234
119.494,119.564,119.305,119.521,8279
119.515,120.175,119.457,120.129,17306
120.132,120.817,120.045,120.375,21166
120.376,120.522,120.27,120.445,8026
120.059,120.409,120.038,120.182,11338
120.183,120.451,120.167,120.336,7564
120.303,120.594,120.214,120.229,6431
120.226,120.728,120.162,120.437,17999
120.434,120.479,118.854,119.523,27365
119.524,119.93,119.288,119.874,10628
119.671,120.468,119.655,120.431,4353
120.428,120.734,119.795,120.42,19737
120.462,120.638,119.974,120.539,10745
120.537,120.599,119.081,119.233,40547
119.231,119.385,118.044,119.037,61384
119.041,119.816,118.69,119.737,50688
119.732,119.955,119.266,119.34,35067
119.343,119.764,118.409,118.519,45008
118.314,118.497,118.116,118.265,6316
118.261,119.311,117.73,118.359,49239
118.356,118.843,117.242,117.261,60013
117.262,117.831,116.06,117.689,68133
117.69,117.938,115.846,116.414,132975
116.411,117.759,116.255,117.549,57693
117.436,117.657,116.911,117.083,12887
117.084,118.306,117.014,118.235,30551
118.236,118.863,117.642,117.831,55009
117.825,118.33,117.171,118.102,53987
118.106,118.808,117.238,118.601,63366
118.6,118.701,117.522,117.748,43284
117.478,117.823,117.253,117.613,15327
117.617,118.652,117.563,118.297,34830
118.294,118.316,117.331,118.093,48474
118.098,118.219,117.22,117.883,53832
117.883,118.479,117.578,118.012,47627
118.009,118.02,117.292,117.469,38421
116.924,117.87,116.866,117.7,14626
117.702,117.842,116.862,117.049,43446
117.044,117.993,116.895,117.724,42422
117.726,117.763,117.011,117.293,43719
117.295,117.592,117.066,117.377,28331
117.371,119.214,117.124,119.112,33642
118.981,119.085,118.719,118.813,9073
118.818,118.995,118.324,118.491,29351
118.493,119.656,118.458,119.608,30116
119.612,120.466,119.457,120.284,38630
120.287,120.368,118.404,118.535,56654
118.533,119.192,118.457,118.724,24080
118.403,118.767,118.358,118.437,9632
118.436,118.669,118.229,118.533,28049
118.534,119.408,118.426,118.993,29055
118.997,119.408,118.415,118.665,36162
118.663,119.172,118.567,118.919,27725
118.919,119.182,118.294,118.96,26615
119.06,119.151,118.879,118.888,5432
118.891,119.348,118.731,119.064,19345
119.066,119.833,118.621,118.691,33054
118.695,119.085,118.635,118.938,21118
118.937,119.496,118.672,119.136,27244
119.139,119.792,119.119,119.531,21329
119.689,119.947,119.601,119.869,6824
119.871,120.259,119.58,119.677,19500
119.679,119.903,119.373,119.757,19946
119.759,119.89,119.463,119.878,23839
119.876,120.382,119.756,119.984,24415
119.987,121.276,119.838,120.793,30376
120.782,121.129,120.607,121.074,6526
121.071,122.019,120.65,121.797,26960
121.796,121.998,120.839,121.377,42143
121.373,121.664,121.141,121.626,36272
121.628,121.638,120.619,121.465,35727
121.467,121.565,121.127,121.336,22810
121.312,121.424,121.212,121.346,8209
121.344,121.514,121.084,121.353,21549
121.353,121.484,121.092,121.336,19184
121.337,121.402,119.267,120.4,63563
120.403,121.024,120.364,120.753,35238
120.753,121.194,119.893,120.015,26908
119.856,120.105,119.781,119.997,10015
120,120.16,119.562,119.791,29729
119.794,119.977,119.213,119.597,30591
119.593,119.749,119.227,119.313,26518
119.312,119.428,118.323,119.296,34741
119.297,119.484,118.92,119.102,25010
119.212,119.323,119.094,119.203,5653
119.204,120.361,119.16,120.26,24763
120.263,120.292,119.41,119.563,31023
119.559,120.326,119.418,119.645,31059
119.643,119.888,119.443,119.662,20232
119.662,119.914,118.709,118.917,20945
118.837,119.164,118.785,118.968,4457
118.973,119.674,118.913,119.651,14903
119.649,120.441,119.493,120.09,23424
120.094,120.38,119.637,120.3,27749
120.301,120.733,119.854,120.537,21975
120.541,120.598,120.049,120.123,16868
120.307,120.42,120.086,120.417,4364
120.416,120.842,119.658,119.872,26531
119.871,120.108,119.063,119.709,29394
119.712,119.74,118.774,119.113,31393
119.118,119.462,118.813,118.986,27658
118.99,119.258,118.562,118.844,25334
118.994,119.008,118.756,118.899,5133
118.908,119.495,118.518,119.411,20487
119.413,119.826,119.298,119.638,23659
119.641,120.088,119.335,119.909,23224
119.904,120.082,119.42,119.537,25996
119.541,119.602,118.819,118.933,23253
118.869,119.004,118.768,118.939,4280
118.938,119.429,118.895,119.081,21039
119.085,119.131,118.743,118.864,21522
118.866,119.353,118.573,118.939,40268
118.941,119.888,118.482,119.681,36532
119.685,120.281,119.599,120.135,15699
120.207,120.231,119.992,120.053,2836
120.048,120.264,119.99,120.115,15215
120.113,120.495,119.712,119.923,24375
119.919,119.975,119.197,119.472,30803
119.47,119.965,119.049,119.91,28613
119.912,120.222,119.581,119.719,25296
119.629,119.934,119.629,119.843,4648
119.843,120.191,119.809,120.175,16135
120.172,120.272,119.706,119.917,23621
119.918,119.966,119.026,119.138,22833
119.136,119.482,118.879,119.351,23396
119.347,119.922,119.18,119.274,19614
119.254,119.747,119.21,119.632,3939
119.635,120.032,119.525,119.934,16879
119.934,120.968,119.823,120.859,21982
120.862,121.469,120.726,121.176,28984
121.179,121.252,120.757,120.799,23750
120.796,121.565,120.628,121.483,19047
121.437,121.772,121.437,121.641,3769
121.644,121.797,121.444,121.766,10089
121.766,123.316,121.73,123.064,35364
123.062,124.292,122.768,124.108,35273
124.112,124.452,123.583,123.724,37932
123.721,124.18,123.658,124.109,24947
124.031,124.338,124.024,124.102,5409
124.098,125.045,123.842,124.737,29369
124.735,124.822,123.741,124.015,38832
124.014,124.674,123.782,124.431,33100
124.434,124.675,123.773,124.469,33465
124.469,125.85,124.399,125.531,28584
125.565,125.667,125.285,125.436,5676
125.44,125.587,124.281,124.547,33659
124.548,124.615,123.853,124.539,35907
124.541,124.577,122.452,123.087,61903
123.084,124.099,122.944,123.493,35720
123.49,123.811,123.131,123.332,23195
123.172,123.551,123.094,123.426,7651
123.424,123.779,123.291,123.542,24681
123.539,123.636,123.254,123.435,18900
123.435,124.384,123.055,123.139,36732
123.136,123.157,122.418,122.985,31652
122.982,123.207,122.551,122.643,17822
122.932,122.965,122.555,122.699,5604
122.698,123.736,122.649,123.694,19073
123.696,124.177,123.547,123.91,18437
123.913,124.369,123.582,123.625,21881
123.625,123.794,123.219,123.37,22059
123.374,123.984,123.29,123.789,13983
122.652,123.186,122.081,122.881,24248
122.884,123.065,122.187,122.308,39124
122.307,122.606,121.928,122.489,37810
122.493,123.457,122.472,123.31,23554
123.313,123.7,122.799,123.036,24901
123.037,123.178,122.595,122.696,16922
121.85,122.701,121.755,122.487,18286
122.488,122.917,122.181,122.652,25383
122.648,122.873,121.958,122.053,36977
122.052,122.166,120.4,121.179,49191
121.174,122.029,121.144,121.929,35837
121.927,122.873,121.695,122.723,24178
122.109,122.736,122.062,122.661,8645
122.655,123.723,122.489,123.439,25273
123.443,123.55,122.912,123.438,20805
123.441,123.966,123.331,123.799,23498
123.796,124.223,123.74,124.073,18446
124.076,124.159,123.912,123.989,10223
123.997,124.187,123.932,124.186,1841
124.187,124.394,124.077,124.389,11695
124.385,124.471,123.61,123.725,18063
123.726,124.144,123.564,123.972,18629
123.974,124.18,123.667,123.895,18895
123.893,124.09,123.589,123.752,12436
123.675,123.828,123.421,123.46,4815
123.463,123.558,123.003,123.505,22282
123.503,123.785,123.321,123.406,18345
123.407,124.185,123.398,124.143,20825
124.143,124.574,123.908,123.916,22185
123.921,124.369,123.509,123.797,20589
123.849,124.111,123.814,123.974,4709
123.976,124.265,123.848,124.058,16266
124.061,124.469,123.794,124.427,19092
124.427,125.002,123.96,124.72,22547
124.724,124.958,124.534,124.79,15346
124.793,125.052,124.094,124.19,20159
124.109,124.407,124.074,124.375,3523
124.375,124.882,124.346,124.703,18522
124.702,125.247,124.576,125.228,25855
125.224,125.274,123.781,124.363,33333
124.36,124.61,124.25,124.414,19939
124.411,124.432,124.048,124.279,13165
124.217,124.442,124.174,124.38,3607
124.384,124.567,124.214,124.444,13960
124.443,124.508,124.176,124.223,14386
124.225,124.463,123.681,123.934,25484
123.933,124.149,122.803,123.059,25062
123.054,123.104,121.808,121.956,35053
121.848,122.013,120.717,121.016,28710
121.021,121.27,116.09,119.983,154706
119.985,120.387,118.44,119.39,114506
119.389,120.352,118.906,120.115,80886
120.119,121.393,119.782,120.938,56117
120.942,121.725,120.64,121.711,31694
121.6,121.621,121.002,121.031,10502
121.027,121.411,120.58,120.801,27788
120.802,120.912,119.203,120.278,71821
120.281,120.691,119.686,120.49,42309
120.49,120.573,119.276,119.396,46852
119.395,119.61,118.514,118.987,46516
118.876,119.581,118.79,119.441,18129
119.439,119.526,118.842,118.921,23075
118.916,120.45,118.87,120.338,40380
120.338,121.189,119.968,120.483,51733
120.482,121.32,120.303,120.831,57382
120.833,120.833,120.355,120.559,23061
120.493,120.836,120.308,120.323,10167
120.319,120.646,119.847,120.129,32235
120.132,120.484,119.393,120.203,34732
120.199,120.719,120.098,120.522,26462
120.518,120.986,119.649,119.943,59982
119.942,120.028,119.048,119.925,31120
120.089,120.135,119.733,119.758,7297
119.757,120.652,119.718,120.403,24979
120.399,120.537,119.651,119.804,32823
119.798,120.536,119.616,120.031,35914
120.027,120.373,119.215,120.125,52648
120.128,121.227,120.104,120.548,35368
120.495,120.582,120.246,120.355,9557
120.354,120.438,119.551,119.614,40368
119.613,120.154,119.24,119.866,44706
119.861,120.342,119.54,120.156,35995
120.156,120.267,119.482,119.992,34510
119.996,120.397,118.673,119.842,44428
119.955,120.091,119.865,120.059,9805
120.06,120.563,119.903,120.444,25694
120.445,120.508,119.676,119.877,32735
119.881,120.17,119.738,119.888,27647
119.885,120.018,119.618,119.957,24468
119.96,120.34,119.926,120.15,15813
120.155,120.25,120.083,120.146,5775
120.144,120.211,119.8,119.884,10061
119.884,119.895,119.474,119.661,17402
119.656,119.733,118.608,119.038,27469
119.04,119.242,118.057,119.08,32452
119.082,119.651,118.893,119.404,16601
119.343,119.598,119.131,119.424,10716
119.425,119.556,119.217,119.475,18618
119.48,119.955,119.406,119.894,16534
119.894,120.086,119.719,119.768,17900
119.768,120.98,119.589,120.673,29284
120.669,121.465,120.217,121.43,26125
121.374,121.48,121.053,121.096,7174
121.094,121.157,120.472,120.564,22181
120.563,120.734,120.152,120.339,22669
120.335,121.251,119.954,120.647,34165
