Open,High,Low,Close,Volume,UpTrend,NoTrend,DownTrend,Trend,Time,ThreeOutsideUp,ThreeOutsideDown,RisingThreeMethods,FallingThreeMethods,ThreeInsideUp,ThreeInsideDown,UpsideTasukiGap,DownsideTasukiGap,AboveTheStomach,BelowTheStomach,MorningStar,EveningStar,PiercingPattern,OutsideDay,WhiteMarubozu,BlackMarubozu,Bull.Kicking,Bear.Kicking,InvertedHammer,InsideDay,Bull.Harami,Bear.Harami,Hammer,GapUp,GapDown,Bull.Engulfing,Bear.Engulfing,Doji,DragonflyDoji,GravestoneDoji,DarkCloudCover
94.957,94.988,94.919,94.963,218,NA,NA,NA,NA,1414454400,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,1,0,0,NA
94.961,95.039,94.959,94.998,285,NA,NA,NA,NA,1414455300,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95.037,94.981,95.022,239,NA,NA,NA,NA,1414456200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95.021,95.126,95.011,95.119,301,NA,NA,NA,NA,1414457100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.122,95.17,95.079,95.134,221,NA,NA,NA,NA,1414458000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.131,95.187,95.115,95.128,176,NA,NA,NA,NA,1414458900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0
95.13,95.147,95.082,95.094,181,NA,NA,NA,NA,1414459800,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.092,95.153,95.087,95.105,256,NA,NA,NA,NA,1414460700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95.108,95.108,95.045,95.055,170,NA,NA,NA,NA,1414461600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95.058,95.092,95.048,95.05,219,NA,NA,NA,NA,1414462500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
95.051,95.08,95.039,95.078,235,NA,NA,NA,NA,1414463400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.075,95.079,95.024,95.029,99,NA,NA,NA,NA,1414464300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.027,95.15,95.027,95.143,313,NA,NA,NA,NA,1414465200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.145,95.171,95.073,95.087,192,NA,NA,NA,NA,1414466100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.088,95.117,95.024,95.088,194,NA,NA,NA,NA,1414467000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95.092,95.103,95.047,95.096,140,NA,NA,NA,NA,1414467900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
95.098,95.111,95.066,95.067,113,NA,NA,NA,NA,1414468800,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95.064,95.092,95.054,95.077,137,NA,NA,NA,NA,1414469700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.08,95.108,95.08,95.104,115,NA,NA,NA,NA,1414470600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.106,95.113,95.087,95.092,70,NA,NA,NA,NA,1414471500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
95.097,95.109,95.059,95.069,165,0,1,0,0,1414472400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.072,95.105,95.072,95.093,166,0,1,0,0,1414473300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
95.094,95.108,95.05,95.071,133,0,1,0,0,1414474200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
