Open,High,Low,Close,Volume,UpTrend,NoTrend,DownTrend,Trend,Time,ThreeOutsideUp,ThreeOutsideDown,RisingThreeMethods,FallingThreeMethods,ThreeInsideUp,ThreeInsideDown,UpsideTasukiGap,DownsideTasukiGap,AboveTheStomach,BelowTheStomach,MorningStar,EveningStar,PiercingPattern,OutsideDay,WhiteMarubozu,BlackMarubozu,Bull.Kicking,Bear.Kicking,InvertedHammer,InsideDay,Bull.Harami,Bear.Harami,Hammer,GapUp,GapDown,Bull.Engulfing,Bear.Engulfing,Doji,DragonflyDoji,GravestoneDoji,DarkCloudCover
1.27018,1.27026,1.26961,1.26994,176,NA,NA,NA,NA,1414454400,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,0,0,NA
1.26989,1.27006,1.26962,1.26966,120,NA,NA,NA,NA,1414455300,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.26965,1.26997,1.26959,1.26973,122,NA,NA,NA,NA,1414456200,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26968,1.27088,1.26966,1.27051,536,NA,NA,NA,NA,1414457100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27045,1.27058,1.27012,1.27025,154,NA,NA,NA,NA,1414458000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0
1.27022,1.2708,1.27005,1.27068,133,NA,NA,NA,NA,1414458900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.27067,1.27096,1.27058,1.27085,90,NA,NA,NA,NA,1414459800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27081,1.27135,1.27081,1.27098,98,NA,NA,NA,NA,1414460700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.27093,1.27097,1.27077,1.27097,47,NA,NA,NA,NA,1414461600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.271,1.2712,1.271,1.27106,55,NA,NA,NA,NA,1414462500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
