Open,High,Low,Close,Volume,UpTrend,NoTrend,DownTrend,Trend,Time,ThreeOutsideUp,ThreeOutsideDown,RisingThreeMethods,FallingThreeMethods,ThreeInsideUp,ThreeInsideDown,UpsideTasukiGap,DownsideTasukiGap,AboveTheStomach,BelowTheStomach,MorningStar,EveningStar,PiercingPattern,OutsideDay,WhiteMarubozu,BlackMarubozu,Bull.Kicking,Bear.Kicking,InvertedHammer,InsideDay,Bull.Harami,Bear.Harami,Hammer,GapUp,GapDown,Bull.Engulfing,Bear.Engulfing,Doji,DragonflyDoji,GravestoneDoji,DarkCloudCover
1.12248,1.12288,1.12241,1.1228,116,NA,NA,NA,NA,1414108800,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,0,0,0,NA
1.12277,1.12287,1.12219,1.12261,110,NA,NA,NA,NA,1414109700,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
1.1226,1.12286,1.1221,1.1224,352,NA,NA,NA,NA,1414110600,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12241,1.1232,1.12241,1.12294,272,NA,NA,NA,NA,1414111500,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12293,1.12317,1.12279,1.1231,73,NA,NA,NA,NA,1414112400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.12307,1.12309,1.12281,1.12299,90,NA,NA,NA,NA,1414113300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0
1.12297,1.12298,1.12227,1.12237,140,NA,NA,NA,NA,1414114200,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12235,1.12259,1.12206,1.12218,86,NA,NA,NA,NA,1414115100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12214,1.12233,1.12194,1.12197,58,NA,NA,NA,NA,1414116000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12194,1.12219,1.12193,1.12219,31,NA,NA,NA,NA,1414116900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.12213,1.12218,1.12203,1.12206,57,NA,NA,NA,NA,1414117800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0
1.12206,1.12211,1.12196,1.12205,25,NA,NA,NA,NA,1414118700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.12203,1.12205,1.12194,1.12204,14,NA,NA,NA,NA,1414119600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1.12209,1.1221,1.12194,1.12206,27,NA,NA,NA,NA,1414120500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.122,1.122,1.12151,1.12155,66,NA,NA,NA,NA,1414121400,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
