cross1,cross2,rel
AUDNZD,AUDUSD,0.543378816129031
AUDJPY,AUDUSD,0.282699413949773
AUDGBP,AUDUSD,0.876400241124189
AUDEUR,AUDUSD,0.879178352495605
AUDCHF,AUDUSD,0.251589224247147
AUDCAD,AUDUSD,0.888918062050566
CADUSD,AUDUSD,0.8839007676476
CADNZD,AUDUSD,-0.370039797591981
CADJPY,AUDUSD,-0.265378405336579
CADGBP,AUDUSD,0.726343228900701
CADEUR,AUDUSD,0.602680612956914
CADCHF,AUDUSD,-0.469489213979661
CHFUSD,AUDUSD,0.841503538403123
CHFNZD,AUDUSD,0.148519901740108
CHFJPY,AUDUSD,0.150959369195417
CHFGBP,AUDUSD,0.712345540206429
CHFEUR,AUDUSD,0.735956439300923
EURUSD,AUDUSD,0.346074973141407
EURNZD,AUDUSD,-0.633834232371698
EURJPY,AUDUSD,-0.481506726525912
EURGBP,AUDUSD,0.477175590295075
GBPUSD,AUDUSD,-0.294550371553925
GBPNZD,AUDUSD,-0.816923510456309
GBPJPY,AUDUSD,-0.547046560796183
JPYUSD,AUDUSD,0.696180457528201
JPYNZD,AUDUSD,-0.0180047944111749
NZDUSD,AUDUSD,0.839475566034028
YAHOO.INDEX_GDAXI,AUDUSD,0.525370383618291
YAHOO.INDEX_FTSE,AUDUSD,0.425403912377854
YAHOO.INDEX_AORD,AUDUSD,0.118578739093147
NIKKEI.INDEX,AUDUSD,-0.311508159230977
YAHOO.INDEX_GSPTSE,AUDUSD,0.550498358847687
OFDP.SILVER_5,AUDUSD,0.895065280836919
WGC.GOLD_DAILY_USD,AUDUSD,0.867425902601489
WSJ.COPPER,AUDUSD,0.846292914398992
WSJ.CORN_2,AUDUSD,0.768441762804399
WSJ.PL_MKT,AUDUSD,0.730761104951385
OFDP.FUTURE_B1,AUDUSD,0.864558928959946
FED.JRXWTFB_N_B,AUDUSD,-0.677357899210617
AUDUSD,AUDNZD,0.543378816129031
AUDJPY,AUDNZD,-0.361719773828395
AUDGBP,AUDNZD,0.646649121901449
AUDEUR,AUDNZD,0.451525705316918
AUDCHF,AUDNZD,0.159567014989333
AUDCAD,AUDNZD,0.344684010506117
CADUSD,AUDNZD,0.591907390680344
CADNZD,AUDNZD,0.50973272283602
CADJPY,AUDNZD,-0.529826872155578
CADGBP,AUDNZD,0.711138524712873
CADEUR,AUDNZD,0.398567598889679
CADCHF,AUDNZD,-0.152388830824474
CHFUSD,AUDNZD,0.404729426900562
CHFNZD,AUDNZD,0.588366549931459
CHFJPY,AUDNZD,-0.513401000265602
CHFGBP,AUDNZD,0.512093569462594
CHFEUR,AUDNZD,0.321204041688221
EURUSD,AUDNZD,0.241050783726184
EURNZD,AUDNZD,0.148106862236362
EURJPY,AUDNZD,-0.60863722938164
EURGBP,AUDNZD,0.628680517486645
GBPUSD,AUDNZD,-0.492556799778402
GBPNZD,AUDNZD,-0.330097629940899
GBPJPY,AUDNZD,-0.677781965550174
JPYUSD,AUDNZD,0.770165438667075
JPYNZD,AUDNZD,0.69027455077938
NZDUSD,AUDNZD,0.00257716822813204
YAHOO.INDEX_GDAXI,AUDNZD,-0.159656875093447
YAHOO.INDEX_FTSE,AUDNZD,-0.268766460951666
YAHOO.INDEX_AORD,AUDNZD,-0.346205198814541
NIKKEI.INDEX,AUDNZD,-0.678769341613324
YAHOO.INDEX_GSPTSE,AUDNZD,-0.0326263682871294
OFDP.SILVER_5,AUDNZD,0.656504458519397
WGC.GOLD_DAILY_USD,AUDNZD,0.614677562755363
WSJ.COPPER,AUDNZD,0.279156008840838
WSJ.CORN_2,AUDNZD,0.456632307619241
WSJ.PL_MKT,AUDNZD,0.31308369335539
OFDP.FUTURE_B1,AUDNZD,0.372976845108723
FED.JRXWTFB_N_B,AUDNZD,-0.343489562128091
AUDUSD,AUDJPY,0.282699413949773
AUDNZD,AUDJPY,-0.361719773828395
AUDGBP,AUDJPY,-0.0875779208379459
AUDEUR,AUDJPY,0.157061848766806
AUDCHF,AUDJPY,0.456339585035799
AUDCAD,AUDJPY,0.207262421815051
CADUSD,AUDJPY,0.332734273146865
CADNZD,AUDJPY,-0.50524780115249
CADJPY,AUDJPY,0.802042886851804
CADGBP,AUDJPY,-0.248317494222258
CADEUR,AUDJPY,0.0928083821570239
CADCHF,AUDJPY,0.206771868397599
CHFUSD,AUDJPY,0.0639183769082767
CHFNZD,AUDJPY,-0.649309562302361
CHFJPY,AUDJPY,0.749089582876668
CHFGBP,AUDJPY,-0.226285266914936
CHFEUR,AUDJPY,-0.0635203872243241
EURUSD,AUDJPY,0.283145587599368
EURNZD,AUDJPY,-0.455488479099162
EURJPY,AUDJPY,0.619921107753184
EURGBP,AUDJPY,-0.404237218402896
GBPUSD,AUDJPY,0.591336852141563
GBPNZD,AUDJPY,-0.0429934378812875
