Date,BCB.UDJIAD1.1
2015-03-05,18135.72
2015-03-04,18096.9
2015-03-03,18203.37
2015-03-02,18288.63
2015-02-27,18132.7
2015-02-26,18214.42
2015-02-25,18224.57
2015-02-24,18209.19
2015-02-23,18116.84
2015-02-20,18140.44
2015-02-19,17985.77
2015-02-18,18029.85
2015-02-17,18047.58
2015-02-13,18019.35
2015-02-12,17972.38
2015-02-11,17862.14
2015-02-10,17868.76
2015-02-09,17729.21
2015-02-06,17824.29
2015-02-05,17884.88
2015-02-04,17673.02
2015-02-03,17666.4
2015-02-02,17361.04
2015-01-30,17164.95
2015-01-29,17416.85
2015-01-28,17191.37
2015-01-27,17387.21
2015-01-26,17678.7
2015-01-23,17672.6
2015-01-22,17813.98
2015-01-21,17554.28
2015-01-20,17515.23
2015-01-15,17320.71
2015-01-14,17427.09
2015-01-13,17613.68
2015-01-12,17640.84
2015-01-09,17737.37
2015-01-08,17907.87
2015-01-07,17584.52
2015-01-06,17371.64
2015-01-05,17501.65
2015-01-02,17832.99
2014-12-31,17823.07
2014-12-30,17983.07
2014-12-29,18038.23
2014-12-26,18053.71
2014-12-24,18030.21
2014-12-23,18024.17
2014-12-22,17959.44
2014-12-19,17804.8
2014-12-18,17778.15
2014-12-17,17356.87
2014-12-16,17068.87
2014-12-15,17180.84
2014-12-12,17280.83
2014-12-11,17596.34
2014-12-10,17533.15
2014-12-09,17801.2
2014-12-08,17852.48
2014-12-05,17958.79
2014-12-04,17900.1
2014-12-03,17912.62
2014-12-02,17879.55
2014-12-01,17776.8
2014-11-28,17828.24
2014-11-26,17827.75
2014-11-25,17814.94
2014-11-24,17817.9
2014-11-21,17810.06
2014-11-20,17719.0
2014-11-19,17685.73
2014-11-18,17687.82
2014-11-17,17647.75
2014-11-14,17634.74
2014-11-13,17652.79
2014-11-12,17612.2
2014-11-11,17614.9
2014-11-10,17613.74
2014-11-07,17573.93
2014-11-06,17554.47
2014-11-05,17484.53
2014-11-04,17383.84
2014-11-03,17366.24
2014-10-31,17390.52
2014-10-30,17195.42
2014-10-29,16974.31
2014-10-28,17005.75
2014-10-27,16817.94
2014-10-24,16805.41
2014-10-23,16677.9
2014-10-22,16461.32
2014-10-21,16614.81
2014-10-20,16399.67
2014-10-17,16380.41
2014-10-16,16117.24
2014-10-15,16141.74
2014-10-14,16315.19
2014-10-13,16321.07
