Date,BUNDESBANK.BBK01_WT5511.1
2015-03-06,1196.5
2015-03-05,1199.75
2015-03-04,1204.25
2015-03-03,1207.75
2015-03-02,1216.75
2015-02-27,1205.0
2015-02-26,1220.0
2015-02-25,1206.5
2015-02-24,1195.5
2015-02-23,1193.5
2015-02-20,1203.5
2015-02-19,1217.75
2015-02-18,1206.5
2015-02-17,1221.75
2015-02-16,1233.5
2015-02-13,1225.75
2015-02-12,1225.25
2015-02-11,1235.5
2015-02-10,1237.5
2015-02-09,1242.25
2015-02-06,1264.0
2015-02-05,1263.75
2015-02-04,1269.25
2015-02-03,1281.0
2015-02-02,1274.25
2015-01-30,1263.5
2015-01-29,1275.5
2015-01-28,1287.0
2015-01-27,1279.0
2015-01-26,1282.75
2015-01-23,1293.5
2015-01-22,1287.0
2015-01-21,1298.0
2015-01-20,1292.25
2015-01-19,1275.5
2015-01-16,1258.25
2015-01-15,1235.25
2015-01-14,1228.75
2015-01-13,1239.0
2015-01-12,1222.0
2015-01-09,1211.25
2015-01-08,1206.5
2015-01-07,1213.75
2015-01-06,1211.0
2015-01-05,1192.0
2015-01-02,1184.25
2014-12-31,1199.25
2014-12-30,1186.5
2014-12-29,1194.0
2014-12-24,1177.0
2014-12-23,1179.5
2014-12-22,1195.25
2014-12-19,1197.5
2014-12-18,1210.75
2014-12-17,1199.0
2014-12-16,1199.25
2014-12-15,1210.75
2014-12-12,1223.5
2014-12-11,1219.5
2014-12-10,1228.25
2014-12-09,1206.5
2014-12-08,1195.25
2014-12-05,1204.5
2014-12-04,1204.0
2014-12-03,1203.25
2014-12-02,1197.0
2014-12-01,1178.75
2014-11-28,1184.5
2014-11-27,1196.5
2014-11-26,1195.75
2014-11-25,1202.25
2014-11-24,1196.0
2014-11-21,1193.25
2014-11-20,1194.0
2014-11-19,1200.75
2014-11-18,1202.0
2014-11-17,1187.0
2014-11-14,1154.0
2014-11-13,1161.0
2014-11-12,1163.25
2014-11-11,1151.25
2014-11-10,1172.0
2014-11-07,1145.0
2014-11-06,1144.5
2014-11-05,1145.25
2014-11-04,1169.25
2014-11-03,1170.75
2014-10-31,1173.25
2014-10-30,1205.75
2014-10-29,1228.0
2014-10-28,1228.25
2014-10-27,1230.5
2014-10-24,1231.75
2014-10-23,1240.5
2014-10-22,1246.75
2014-10-21,1251.75
2014-10-20,1241.0
2014-10-17,1238.0
2014-10-16,1241.0
2014-10-15,1223.5
2014-10-14,1233.0
2014-10-13,1228.0
2014-10-10,1222.25
2014-10-09,1227.5
2014-10-08,1220.0
2014-10-07,1207.5
2014-10-06,1193.25
2014-10-03,1207.5
2014-10-02,1214.5
2014-10-01,1208.5
2014-09-30,1210.0
2014-09-29,1217.75
2014-09-26,1222.25
2014-09-25,1210.5
2014-09-24,1224.0
2014-09-23,1225.0
2014-09-22,1214.0
2014-09-19,1222.5
2014-09-18,1223.0
2014-09-17,1236.5
2014-09-16,1238.75
2014-09-15,1234.75
2014-09-12,1237.25
2014-09-11,1247.0
