Date,CURRFX.AUDCAD.1
2015-03-06,0.973205
2015-03-05,0.97658
2015-03-04,0.975318
2015-03-03,0.974724
2015-03-02,0.977258
2015-02-27,0.979096
2015-02-26,0.980621
2015-02-25,0.981118
2015-02-24,0.982494
2015-02-23,0.979278
2015-02-20,0.971615
2015-02-19,0.969264
2015-02-18,0.968784
2015-02-17,0.967718
2015-02-16,0.967175
2015-02-13,0.971067
2015-02-12,0.97586
2015-02-11,0.973687
2015-02-10,0.974542
2015-02-09,0.975821
2015-02-06,0.973264
2015-02-05,0.970338
2015-02-04,0.976617
2015-02-03,0.988512
2015-02-02,0.986521
2015-01-30,0.985776
2015-01-29,0.99015
2015-01-28,0.986648
2015-01-27,0.983422
2015-01-26,0.989119
2015-01-23,0.997292
2015-01-22,0.989653
2015-01-21,0.982988
2015-01-20,0.984165
2015-01-19,0.983356
2015-01-16,0.977543
2015-01-15,0.974703
2015-01-14,0.975239
2015-01-13,0.97359
2015-01-12,0.967693
2015-01-09,0.957037
2015-01-08,0.955375
2015-01-07,0.95444
2015-01-06,0.952601
2015-01-05,0.951419
2015-01-02,0.948606
2015-01-01,0.949209
2014-12-31,0.947654
2014-12-30,0.945571
2014-12-29,0.944016
2014-12-26,0.942915
2014-12-25,0.942798
2014-12-24,0.944422
2014-12-23,0.945708
2014-12-22,0.945986
2014-12-19,0.949274
2014-12-18,0.954256
2014-12-17,0.9564
2014-12-16,0.954205
2014-12-15,0.954357
2014-12-12,0.952908
2014-12-11,0.951332
2014-12-10,0.950608
2014-12-09,0.950608
2014-12-08,0.952357
2014-12-05,0.955254
2014-12-04,0.959951
2014-12-03,0.964144
2014-12-02,0.968384
2014-12-01,0.969128
2014-11-28,0.963769
2014-11-27,0.962469
2014-11-26,0.968768
2014-11-25,0.973587
2014-11-24,0.974557
2014-11-21,0.977775
2014-11-20,0.982356
2014-11-19,0.985923
2014-11-18,0.988172
2014-11-17,0.988229
2014-11-14,0.987234
2014-11-13,0.984399
2014-11-12,0.981678
2014-11-11,0.979473
2014-11-10,0.978712
2014-11-07,0.983382
2014-11-06,0.990222
2014-11-05,0.989645
2014-11-04,0.987864
2014-11-03,0.988586
2014-10-31,0.986193
2014-10-30,0.990036
2014-10-29,0.990288
2014-10-28,0.988845
2014-10-27,0.987465
2014-10-24,0.986115
2014-10-23,0.987803
2014-10-22,0.989899
2014-10-21,0.988132
2014-10-20,0.98727
2014-10-17,0.988858
2014-10-16,0.987106
2014-10-15,0.981147
2014-10-14,0.976083
2014-10-13,0.976122
2014-10-10,0.982204
2014-10-09,0.981324
2014-10-08,0.97956
2014-10-07,0.976642
2014-10-06,0.976246
2014-10-03,0.97687
2014-10-02,0.974893
2014-10-01,0.974893
2014-09-30,0.975123
2014-09-29,0.978018
2014-09-26,0.979932
2014-09-25,0.981386
2014-09-24,0.978957
2014-09-23,0.977626
2014-09-22,0.981053
2014-09-19,0.988298
2014-09-18,0.994899
2014-09-17,0.997997
2014-09-16,1.00016
2014-09-15,1.00319
2014-09-12,1.00485
2014-09-11,1.00987
2014-09-10,1.01778
2014-09-09,1.01964
2014-09-08,1.0195
2014-09-05,1.01697
2014-09-04,1.01511
2014-09-03,1.01409
2014-09-02,1.01531
2014-09-01,1.0157
2014-08-29,1.016
2014-08-28,1.01854
2014-08-27,1.02033
2014-08-26,1.01994
2014-08-25,1.01883
2014-08-22,1.01787
2014-08-21,1.01773
2014-08-20,1.01627
2014-08-19,1.01516
2014-08-18,1.01581
2014-08-15,1.01524
2014-08-14,1.01425
2014-08-13,1.01429
2014-08-12,1.01675
2014-08-11,1.01664
2014-08-08,1.01667
2014-08-07,1.02001
2014-08-06,1.01857
2014-08-05,1.01745
2014-08-04,1.01601
2014-08-01,1.01594
2014-07-31,1.01719
2014-07-30,1.01626
2014-07-29,1.01607
2014-07-28,1.01506
2014-07-25,1.01285
2014-07-24,1.01073
2014-07-23,1.00804
2014-07-22,1.00776
2014-07-21,1.00734
2014-07-18,1.00663
2014-07-17,1.00661
2014-07-16,1.00722
2014-07-15,1.00804
2014-07-14,1.00529
2014-07-11,1.00176
2014-07-10,1.00316
2014-07-09,1.00123
2014-07-08,0.997794
2014-07-07,0.998256
2014-07-04,1.00208
2014-07-03,1.00739
2014-07-02,1.007
2014-07-01,1.00518
2014-06-30,1.00638
2014-06-27,1.00715
2014-06-26,1.0075
2014-06-25,1.0099
2014-06-24,1.011
2014-06-23,1.01312
2014-06-20,1.01717
2014-06-19,1.01554
2014-06-18,1.01735
2014-06-17,1.02023
2014-06-16,1.02071
2014-06-13,1.0212
2014-06-12,1.02146
2014-06-11,1.02114
2014-06-10,1.02087
2014-06-09,1.01908
2014-06-06,1.01575
2014-06-05,1.01195
2014-06-04,1.00865
2014-06-03,1.00792
2014-06-02,1.00889
2014-05-30,1.00613
2014-05-29,1.00408
2014-05-28,1.00402
2014-05-27,1.00348
2014-05-26,1.00493
2014-05-23,1.00788
2014-05-22,1.00844
2014-05-21,1.01241
2014-05-20,1.01645
2014-05-19,1.01774
2014-05-16,1.02019
2014-05-15,1.02187
2014-05-14,1.02008
2014-05-13,1.02031
2014-05-12,1.01986
2014-05-09,1.01818
2014-05-08,1.01758
2014-05-07,1.01778
2014-05-06,1.01743
2014-05-05,1.01818
2014-05-02,1.01763
2014-05-01,1.017
2014-04-30,1.0198
2014-04-29,1.02349
2014-04-28,1.02371
2014-04-25,1.02427
2014-04-24,1.02793
2014-04-23,1.03002
2014-04-22,1.02853
2014-04-21,1.02911
2014-04-18,1.02943
2014-04-17,1.02966
2014-04-16,1.03083
2014-04-15,1.03154
2014-04-14,1.02934
2014-04-11,1.02465
2014-04-10,1.02155
2014-04-09,1.01933
2014-04-08,1.01915
2014-04-07,1.01931
2014-04-04,1.01828
2014-04-03,1.02066
2014-04-02,1.02247
2014-04-01,1.02221
2014-03-31,1.02332
2014-03-28,1.02449
2014-03-27,1.02467
2014-03-26,1.02255
2014-03-25,1.02083
2014-03-24,1.01797
2014-03-21,1.01595
2014-03-20,1.01289
2014-03-19,1.00578
2014-03-18,1.00334
2014-03-17,1.00274
2014-03-14,1.00034
2014-03-13,0.998809
2014-03-12,1.00272
2014-03-11,1.00437
2014-03-10,1.00201
2014-03-07,0.995065
2014-03-06,0.992666
2014-03-05,0.990083
2014-03-04,0.987835
2014-03-03,0.990987
2014-02-28,0.996437
2014-02-27,0.998256
2014-02-26,0.998899
2014-02-25,0.997812
2014-02-24,0.996506
2014-02-21,0.993011
2014-02-20,0.990149
2014-02-19,0.990873
2014-02-18,0.991787
2014-02-17,0.990027
2014-02-14,0.989382
2014-02-13,0.995033
2014-02-12,0.992665
2014-02-11,0.987397
2014-02-10,0.989468
2014-02-07,0.989955
2014-02-06,0.9854
2014-02-05,0.979152
2014-02-04,0.973736
2014-02-03,0.975901
2014-01-31,0.978479
2014-01-30,0.97764
2014-01-29,0.972173
2014-01-28,0.964333
2014-01-27,0.968588
2014-01-24,0.976779
2014-01-23,0.970677
2014-01-22,0.965113
2014-01-21,0.963146
2014-01-20,0.963278
2014-01-17,0.96922
2014-01-16,0.979506
2014-01-15,0.983194
2014-01-14,0.982861
2014-01-13,0.974027
2014-01-10,0.960501
2014-01-09,0.960501
2014-01-08,0.954361
2014-01-07,0.952251
2014-01-06,0.949673
2014-01-03,0.94764
2014-01-02,0.949174
2014-01-01,0.949522
2013-12-31,0.949278
2013-12-30,0.948284
2013-12-27,0.946475
2013-12-26,0.947461
2013-12-25,0.948024
2013-12-24,0.949064
2013-12-23,0.948444
2013-12-20,0.946915
2013-12-19,0.945804
2013-12-18,0.946208
2013-12-17,0.94795
2013-12-16,0.951237
2013-12-13,0.958915
2013-12-12,0.967269
2013-12-11,0.969156
2013-12-10,0.968629
2013-12-09,0.966779
2013-12-06,0.964507
2013-12-05,0.966792
2013-12-04,0.970119
2013-12-03,0.969015
2013-12-02,0.96599
2013-11-29,0.963535
2013-11-28,0.962868
2013-11-27,0.965288
2013-11-26,0.965928
2013-11-25,0.968127
2013-11-22,0.976229
2013-11-21,0.982356
2013-11-20,0.980956
2013-11-19,0.978933
2013-11-18,0.977757
2013-11-15,0.976846
