Date,CURRFX.AUDCHF.1
2015-03-06,0.754209
2015-03-05,0.75108
2015-03-04,0.746938
2015-03-03,0.744135
2015-03-02,0.745394
2015-02-27,0.746756
2015-02-26,0.744716
2015-02-25,0.739489
2015-02-24,0.738031
2015-02-23,0.736179
2015-02-20,0.735292
2015-02-19,0.731262
2015-02-18,0.726342
2015-02-17,0.723912
2015-02-16,0.7205
2015-02-13,0.716383
2015-02-12,0.71933
2015-02-11,0.720693
2015-02-10,0.721197
2015-02-09,0.7216
2015-02-06,0.720336
2015-02-05,0.718527
2015-02-04,0.718174
2015-02-03,0.719732
2015-02-02,0.715676
2015-01-30,0.717582
2015-01-29,0.718492
2015-01-28,0.710431
2015-01-27,0.699469
2015-01-26,0.696852
2015-01-23,0.702257
2015-01-22,0.712771
2015-01-21,0.716139
2015-01-20,0.709882
2015-01-19,0.734296
2015-01-16,0.803775
2015-01-15,0.829675
2015-01-14,0.830329
2015-01-13,0.831576
2015-01-12,0.829169
2015-01-09,0.821606
2015-01-08,0.817497
2015-01-07,0.815935
2015-01-06,0.811916
2015-01-05,0.81057
2015-01-02,0.811008
2015-01-01,0.809326
2014-12-31,0.805721
2014-12-30,0.802966
2014-12-29,0.801161
2014-12-26,0.799858
2014-12-25,0.799994
2014-12-24,0.799893
2014-12-23,0.800857
2014-12-22,0.799751
2014-12-19,0.793741
2014-12-18,0.789583
2014-12-17,0.792704
2014-12-16,0.794591
2014-12-15,0.797815
2014-12-12,0.803818
2014-12-11,0.80614
2014-12-10,0.808434
2014-12-09,0.812928
2014-12-08,0.815948
2014-12-05,0.818833
2014-12-04,0.819665
2014-12-03,0.819665
2014-12-02,0.819481
2014-12-01,0.822403
2014-11-28,0.823341
2014-11-27,0.824288
2014-11-26,0.832411
2014-11-25,0.839684
2014-11-24,0.835058
2014-11-21,0.826742
2014-11-20,0.832831
2014-11-19,0.839134
2014-11-18,0.84001
2014-11-17,0.840424
2014-11-14,0.841252
2014-11-13,0.838482
2014-11-12,0.835641
2014-11-11,0.834767
2014-11-10,0.832238
2014-11-07,0.831091
2014-11-06,0.835902
2014-11-05,0.840539
2014-11-04,0.843965
2014-11-03,0.844796
2014-10-31,0.840675
2014-10-30,0.83917
2014-10-29,0.837307
2014-10-28,0.83696
2014-10-27,0.837053
2014-10-24,0.835908
2014-10-23,0.833542
2014-10-22,0.830538
2014-10-21,0.828724
2014-10-20,0.827235
