Date,CURRFX.AUDJPY.1
2015-03-06,93.6037
2015-03-05,93.5811
2015-03-04,93.4331
2015-03-03,93.3235
2015-03-02,93.4581
2015-02-27,93.5339
2015-02-26,93.2878
2015-02-25,92.8539
2015-02-24,93.1376
2015-02-23,93.0874
2015-02-20,92.7886
2015-02-19,92.8824
2015-02-18,92.447
2015-02-17,92.2159
2015-02-16,92.2101
2015-02-13,92.3747
2015-02-12,92.7623
2015-02-11,92.6026
2015-02-10,92.6527
2015-02-09,92.3191
2015-02-06,91.459
2015-02-05,91.2706
2015-02-04,91.0349
2015-02-03,91.4581
2015-02-02,91.6527
2015-01-30,92.9529
2015-01-29,93.8469
2015-01-28,93.5444
2015-01-27,93.2588
2015-01-26,94.0358
2015-01-23,95.8027
2015-01-22,96.5754
2015-01-21,96.7121
2015-01-20,96.497
2015-01-19,96.4326
2015-01-16,95.8171
2015-01-15,95.7579
2015-01-14,96.7399
2015-01-13,97.1515
2015-01-12,97.1315
2015-01-09,96.5999
2015-01-08,96.2632
2015-01-07,96.7919
2015-01-06,97.2041
2015-01-05,97.6082
2015-01-02,97.8653
2015-01-01,97.8548
2014-12-31,97.8711
2014-12-30,97.9086
2014-12-29,97.7291
2014-12-26,97.6948
2014-12-25,97.6883
2014-12-24,97.5711
2014-12-23,97.4238
2014-12-22,97.1441
2014-12-19,96.4438
2014-12-18,96.0464
2014-12-17,96.7793
2014-12-16,97.6282
2014-12-15,98.0938
2014-12-12,98.5466
2014-12-11,99.1016
2014-12-10,99.8469
2014-12-09,100.774
2014-12-08,100.886
2014-12-05,100.578
2014-12-04,100.578
2014-12-03,100.615
2014-12-02,100.653
2014-12-01,100.811
2014-11-28,100.603
2014-11-27,100.69
2014-11-26,101.499
2014-11-25,102.012
2014-11-24,102.012
2014-11-21,101.723
2014-11-20,101.682
2014-11-19,101.704
2014-11-18,101.674
2014-11-17,101.409
2014-11-14,100.724
2014-11-13,100.194
2014-11-12,99.439
2014-11-11,98.9651
2014-11-10,98.7985
2014-11-07,98.7211
2014-11-06,99.0063
2014-11-05,98.916
2014-11-04,98.7897
2014-11-03,97.6852
2014-10-31,95.9072
2014-10-30,95.7022
2014-10-29,95.2247
2014-10-28,95.064
2014-10-27,94.8637
2014-10-24,94.2365
2014-10-23,93.9937
2014-10-22,93.9178
2014-10-21,93.7562
2014-10-20,93.2734
2014-10-17,93.074
2014-10-16,93.4681
2014-10-15,93.6881
2014-10-14,93.6293
2014-10-13,94.2443
2014-10-10,95.2846
2014-10-09,95.2295
2014-10-08,95.3615
2014-10-07,95.27
2014-10-06,95.2863
2014-10-03,95.4623
2014-10-02,95.584
2014-10-01,95.6033
2014-09-30,95.6067
2014-09-29,95.9357
2014-09-26,96.2759
2014-09-25,96.4615
2014-09-24,96.6699
2014-09-23,97.0689
2014-09-22,97.3616
2014-09-19,97.3669
2014-09-18,97.1045
2014-09-17,96.7884
2014-09-16,96.7954
2014-09-15,97.2665
2014-09-12,97.6848
2014-09-11,97.8622
2014-09-10,98.2946
2014-09-09,98.4374
2014-09-08,98.4133
2014-09-05,98.0325
2014-09-04,97.6727
2014-09-03,97.4144
2014-09-02,97.2854
2014-09-01,97.146
2014-08-29,97.0247
2014-08-28,96.88
2014-08-27,96.7698
2014-08-26,96.8464
2014-08-25,96.6513
2014-08-22,96.2178
2014-08-21,95.8996
2014-08-20,95.6624
2014-08-19,95.4606
2014-08-18,95.4025
2014-08-15,95.2901
2014-08-14,94.9685
2014-08-13,94.717
2014-08-12,94.6683
2014-08-11,94.7611
2014-08-08,95.102
2014-08-07,95.5085
2014-08-06,95.6345
2014-08-05,95.5903
2014-08-04,95.6154
2014-08-01,95.7491
2014-07-31,95.8122
2014-07-30,95.77
2014-07-29,95.7091
2014-07-28,95.7638
2014-07-25,95.8315
2014-07-24,95.55
2014-07-23,95.193
2014-07-22,95.0992
2014-07-21,95.1109
2014-07-18,95.1069
2014-07-17,95.2033
2014-07-16,95.2974
2014-07-15,95.2421
2014-07-14,95.1754
2014-07-11,95.3594
2014-07-10,95.5391
2014-07-09,95.509
2014-07-08,95.5267
2014-07-07,95.6077
2014-07-04,95.8165
2014-07-03,96.0608
2014-07-02,95.7771
2014-07-01,95.5162
2014-06-30,95.6778
2014-06-27,95.6233
2014-06-26,95.6287
2014-06-25,95.9191
2014-06-24,95.9584
2014-06-23,95.834
2014-06-20,95.7044
2014-06-19,95.5563
2014-06-18,95.5563
2014-06-17,95.7953
2014-06-16,95.9117
2014-06-13,95.8573
2014-06-12,95.8546
2014-06-11,95.838
2014-06-10,95.7772
2014-06-09,95.5256
2014-06-06,95.2619
2014-06-05,95.0169
2014-06-04,94.7146
2014-06-03,94.6272
2014-06-02,94.5557
2014-05-30,94.2643
2014-05-29,94.2406
2014-05-28,94.2792
2014-05-27,94.159
2014-05-26,94.0594
2014-05-23,93.7356
2014-05-22,93.7072
2014-05-21,94.3642
2014-05-20,94.9022
2014-05-19,95.1453
2014-05-16,95.4641
2014-05-15,95.6983
2014-05-14,95.6042
2014-05-13,95.4424
2014-05-12,95.3364
2014-05-09,95.1861
2014-05-08,94.9355
2014-05-07,94.7863
2014-05-06,94.6791
2014-05-05,94.8484
2014-05-02,94.9459
2014-05-01,94.9844
2014-04-30,94.9297
2014-04-29,94.8433
2014-04-28,94.8541
2014-04-25,95.0849
2014-04-24,95.5548
2014-04-23,95.8729
2014-04-22,95.6643
2014-04-21,95.5942
2014-04-18,95.6086
2014-04-17,95.6151
2014-04-16,95.5531
2014-04-15,95.5441
2014-04-14,95.5733
2014-04-11,95.6645
2014-04-10,95.5037
2014-04-09,95.5936
2014-04-08,95.8104
2014-04-07,95.949
2014-04-04,95.906
2014-04-03,95.8315
2014-04-02,95.5571
2014-04-01,95.2054
2014-03-31,94.799
2014-03-28,94.2602
2014-03-27,93.8923
2014-03-26,93.3838
2014-03-25,93.0545
2014-03-24,92.687
2014-03-21,92.4698
2014-03-20,92.4906
2014-03-19,92.2869
2014-03-18,91.8671
2014-03-17,91.9563
2014-03-14,92.5231
2014-03-13,92.5366
2014-03-12,93.1536
2014-03-11,93.3923
2014-03-10,93.3454
2014-03-07,92.4262
2014-03-06,91.4727
2014-03-05,90.8284
2014-03-04,90.5974
2014-03-03,91.0426
2014-02-28,91.6125
2014-02-27,92.1589
2014-02-26,92.289
2014-02-25,92.0476
2014-02-24,91.8602
2014-02-21,91.8697
2014-02-20,92.3162
2014-02-19,92.3037
2014-02-18,92.0057
2014-02-17,91.8525
2014-02-14,92.0259
2014-02-13,92.4924
2014-02-12,91.9032
2014-02-11,91.5239
2014-02-10,91.4335
2014-02-07,90.7318
2014-02-06,90.1083
2014-02-05,89.5862
2014-02-04,89.3226
2014-02-03,89.4268
2014-01-31,89.8914
2014-01-30,90.2328
2014-01-29,89.9042
2014-01-28,89.2098
2014-01-27,89.9531
2014-01-24,91.877
2014-01-23,92.2343
2014-01-22,91.8134
2014-01-21,91.5841
2014-01-20,91.852
2014-01-17,92.5813
2014-01-16,93.2064
2014-01-15,93.3849
2014-01-14,93.5742
2014-01-13,93.5081
2014-01-10,93.3038
2014-01-09,93.4295
2014-01-08,93.369
2014-01-07,93.6591
2014-01-06,93.7283
2014-01-03,93.7294
2014-01-02,93.8648
2014-01-01,93.5905
2013-12-31,93.2977
2013-12-30,93.1847
2013-12-27,93.0882
2013-12-26,93.0359
2013-12-25,92.9701
2013-12-24,92.8913
2013-12-23,92.5944
2013-12-20,91.9804
2013-12-19,91.7619
2013-12-18,91.988
