Date,CURRFX.AUDNZD.1
2015-03-06,1.03539
2015-03-05,1.03424
2015-03-04,1.03478
2015-03-03,1.03294
2015-03-02,1.03493
2015-02-27,1.04096
2015-02-26,1.04372
2015-02-25,1.04056
2015-02-24,1.04048
2015-02-23,1.03927
2015-02-20,1.03512
2015-02-19,1.03675
2015-02-18,1.03712
2015-02-17,1.0385
2015-02-16,1.04181
2015-02-13,1.04433
2015-02-12,1.04843
2015-02-11,1.05248
2015-02-10,1.05625
2015-02-09,1.05801
2015-02-06,1.05451
2015-02-05,1.05753
2015-02-04,1.06642
2015-02-03,1.07087
2015-02-02,1.0713
2015-01-30,1.07135
2015-01-29,1.06808
2015-01-28,1.06553
2015-01-27,1.06283
2015-01-26,1.06518
2015-01-23,1.07148
2015-01-22,1.06645
2015-01-21,1.05808
2015-01-20,1.05539
2015-01-19,1.0562
2015-01-16,1.0553
2015-01-15,1.05257
2015-01-14,1.05109
2015-01-13,1.04857
2015-01-12,1.04428
2015-01-09,1.04008
2015-01-08,1.04404
2015-01-07,1.05035
2015-01-06,1.05201
2015-01-05,1.04936
2015-01-02,1.04682
2015-01-01,1.04552
2014-12-31,1.04523
2014-12-30,1.04749
2014-12-29,1.04749
2014-12-26,1.04989
2014-12-25,1.05087
2014-12-24,1.05087
2014-12-23,1.05173
2014-12-22,1.0528
2014-12-19,1.0558
2014-12-18,1.05747
2014-12-17,1.06017
2014-12-16,1.06103
2014-12-15,1.061
2014-12-12,1.06805
2014-12-11,1.0792
2014-12-10,1.08141
2014-12-09,1.08157
2014-12-08,1.07966
2014-12-05,1.08128
2014-12-04,1.08148
2014-12-03,1.08076
2014-12-02,1.08214
2014-12-01,1.08514
2014-11-28,1.08689
2014-11-27,1.09117
2014-11-26,1.09645
2014-11-25,1.09871
2014-11-24,1.09855
2014-11-21,1.09757
2014-11-20,1.09903
2014-11-19,1.09974
2014-11-18,1.10367
2014-11-17,1.10603
2014-11-14,1.10706
2014-11-13,1.11041
2014-11-12,1.11272
2014-11-11,1.11288
2014-11-10,1.11338
2014-11-07,1.11391
2014-11-06,1.11856
2014-11-05,1.12464
2014-11-04,1.12652
2014-11-03,1.12773
2014-10-31,1.12316
2014-10-30,1.11807
2014-10-29,1.11731
2014-10-28,1.11884
2014-10-27,1.11902
2014-10-24,1.11245
2014-10-23,1.10315
2014-10-22,1.10297
2014-10-21,1.10384
2014-10-20,1.1036
2014-10-17,1.10495
2014-10-16,1.11089
2014-10-15,1.11143
2014-10-14,1.11095
2014-10-13,1.11337
2014-10-10,1.11967
2014-10-09,1.12318
2014-10-08,1.12116
2014-10-07,1.11872
2014-10-06,1.11698
2014-10-03,1.1194
2014-10-02,1.1194
2014-10-01,1.1219
2014-09-30,1.11851
2014-09-29,1.11081
2014-09-26,1.10287
2014-09-25,1.09761
2014-09-24,1.0953
2014-09-23,1.09576
2014-09-22,1.10047
2014-09-19,1.10586
2014-09-18,1.10738
2014-09-17,1.10577
2014-09-16,1.10725
2014-09-15,1.11193
2014-09-12,1.11484
2014-09-11,1.11547
2014-09-10,1.12173
2014-09-09,1.12505
2014-09-08,1.12516
2014-09-05,1.12243
2014-09-04,1.11779
2014-09-03,1.11481
2014-09-02,1.11568
2014-09-01,1.11646
2014-08-29,1.11554
2014-08-28,1.11566
2014-08-27,1.11542
2014-08-26,1.11175
2014-08-25,1.10801
2014-08-22,1.1072
2014-08-21,1.10577
2014-08-20,1.10217
2014-08-19,1.09846
2014-08-18,1.0978
2014-08-15,1.09852
2014-08-14,1.09975
2014-08-13,1.09725
2014-08-12,1.09569
2014-08-11,1.09644
2014-08-08,1.0987
2014-08-07,1.10007
2014-08-06,1.09555
2014-08-05,1.09457
2014-08-04,1.09483
2014-08-01,1.09794
2014-07-31,1.10166
2014-07-30,1.10144
2014-07-29,1.09939
2014-07-28,1.09849
2014-07-25,1.09419
2014-07-24,1.08504
2014-07-23,1.08089
2014-07-22,1.07981
2014-07-21,1.07995
2014-07-18,1.07619
2014-07-17,1.07107
2014-07-16,1.06641
