Date,CURRFX.AUDUSD.1
2015-03-06,0.781042
2015-03-05,0.781711
2015-03-04,0.779713
2015-03-03,0.77913
2015-03-02,0.782619
2015-02-27,0.786269
2015-02-26,0.784253
2015-02-25,0.779672
2015-02-24,0.782561
2015-02-23,0.78259
2015-02-20,0.780138
2015-02-19,0.780423
2015-02-18,0.779119
2015-02-17,0.77726
2015-02-16,0.773995
2015-02-13,0.771466
2015-02-12,0.776674
2015-02-11,0.779324
2015-02-10,0.779351
2015-02-09,0.779294
2015-02-06,0.778838
2015-02-05,0.776587
2015-02-04,0.77513
2015-02-03,0.778355
2015-02-02,0.77903
2015-01-30,0.787994
2015-01-29,0.795736
2015-01-28,0.792431
2015-01-27,0.790714
2015-01-26,0.79795
2015-01-23,0.812062
2015-01-22,0.817851
2015-01-21,0.819749
2015-01-20,0.821853
2015-01-19,0.821573
2015-01-16,0.817778
2015-01-15,0.814558
2015-01-14,0.817258
2015-01-13,0.819729
2015-01-12,0.816487
2015-01-09,0.809009
2015-01-08,0.808579
2015-01-07,0.810465
2015-01-06,0.808123
2015-01-05,0.811608
2015-01-02,0.81705
2015-01-01,0.817515
2014-12-31,0.814952
2014-12-30,0.813076
2014-12-29,0.811705
2014-12-26,0.811039
2014-12-25,0.811276
2014-12-24,0.812704
2014-12-23,0.814629
2014-12-22,0.814885
2014-12-19,0.816533
2014-12-18,0.819864
2014-12-17,0.822857
2014-12-16,0.823713
2014-12-15,0.826717
2014-12-12,0.830278
2014-12-11,0.830041
2014-12-10,0.829014
2014-12-09,0.830681
2014-12-08,0.834832
2014-12-05,0.839868
2014-12-04,0.84399
2014-12-03,0.847672
2014-12-02,0.848791
2014-12-01,0.852747
2014-11-28,0.855063
2014-11-27,0.854228
2014-11-26,0.859831
2014-11-25,0.865955
2014-11-24,0.864565
2014-11-21,0.86268
2014-11-20,0.868072
2014-11-19,0.873018
2014-11-18,0.874924
2014-11-17,0.874149
2014-11-14,0.871622
2014-11-13,0.868118
2014-11-12,0.864502
2014-11-11,0.864621
2014-11-10,0.861776
