Date,CURRFX.CADCHF.1
2015-03-07,0.779444
2015-03-06,0.77495
2015-03-05,0.769098
2015-03-04,0.76573
2015-03-03,0.763438
2015-03-02,0.762092
2015-03-01,0.762092
2015-02-28,0.761684
2015-02-27,0.762743
2015-02-26,0.759281
2015-02-25,0.75376
2015-02-24,0.751163
2015-02-23,0.752264
2015-02-22,0.752264
2015-02-21,0.758152
2015-02-20,0.756854
2015-02-19,0.75446
2015-02-18,0.749738
2015-02-17,0.747997
2015-02-16,0.746997
2015-02-15,0.746997
2015-02-14,0.742482
2015-02-13,0.73777
2015-02-12,0.737136
2015-02-11,0.74016
2015-02-10,0.739989
2015-02-09,0.740314
2015-02-08,0.740314
2015-02-07,0.740261
2015-02-06,0.74009
2015-02-05,0.740601
2015-02-04,0.735363
2015-02-03,0.728299
2015-02-02,0.723561
2015-02-01,0.725405
2015-01-31,0.728664
2015-01-30,0.727887
2015-01-29,0.72577
2015-01-28,0.720201
2015-01-27,0.711252
2015-01-26,0.707137
2015-01-25,0.707137
2015-01-24,0.70217
2015-01-23,0.70439
2015-01-22,0.720472
2015-01-21,0.728619
2015-01-20,0.72152
2015-01-19,0.714777
2015-01-18,0.717423
2015-01-17,0.752945
2015-01-16,0.822251
2015-01-15,0.851178
2015-01-14,0.851535
2015-01-13,0.854185
2015-01-12,0.856509
2015-01-11,0.856509
2015-01-10,0.85964
2015-01-09,0.858851
2015-01-08,0.855763
2015-01-07,0.854922
2015-01-06,0.852309
2015-01-05,0.852004
2015-01-04,0.852004
2015-01-03,0.855312
2015-01-02,0.854961
2015-01-01,0.852721
2014-12-31,0.850274
2014-12-30,0.849207
2014-12-29,0.849176
2014-12-28,0.849176
2014-12-27,0.848439
2014-12-26,0.848295
2014-12-25,0.848443
2014-12-24,0.846871
2014-12-23,0.846908
2014-12-22,0.847463
2014-12-21,0.847463
2014-12-20,0.844288
2014-12-19,0.836014
2014-12-18,0.827461
2014-12-17,0.828762
2014-12-16,0.832718
2014-12-15,0.832437
2014-12-14,0.834305
2014-12-13,0.838802
2014-12-12,0.843563
2014-12-11,0.84745
2014-12-10,0.851284
2014-12-09,0.855327
2014-12-08,0.855077
2014-12-07,0.855077
2014-12-06,0.855359
2014-12-05,0.857247
2014-12-04,0.854625
2014-12-03,0.850131
2014-12-02,0.846317
2014-12-01,0.846678
2014-11-30,0.846678
2014-11-29,0.850164
2014-11-28,0.85432
2014-11-27,0.85628
2014-11-26,0.858976
2014-11-25,0.862496
2014-11-24,0.863464
2014-11-23,0.859852
2014-11-22,0.850563
2014-11-21,0.84556
2014-11-20,0.847977
2014-11-19,0.851088
2014-11-18,0.850063
2014-11-17,0.849282
2014-11-16,0.849282
2014-11-15,0.850134
2014-11-14,0.852117
2014-11-13,0.851767
2014-11-12,0.851333
2014-11-11,0.852313
2014-11-10,0.852245
2014-11-09,0.852245
2014-11-08,0.849484
2014-11-07,0.845113
2014-11-06,0.844234
2014-11-05,0.849504
2014-11-04,0.854337
2014-11-03,0.854545
2014-11-02,0.854545
2014-11-01,0.854681
2014-10-31,0.852528
2014-10-30,0.847467
2014-10-29,0.845511
2014-10-28,0.846436
2014-10-27,0.848041
2014-10-26,0.848041
2014-10-25,0.848881
2014-10-24,0.847756
2014-10-23,0.844014
2014-10-22,0.838944
2014-10-21,0.83867
2014-10-20,0.83898
2014-10-19,0.83898
2014-10-18,0.837833
2014-10-17,0.837645
2014-10-16,0.843027
2014-10-15,0.849128
2014-10-14,0.852625
2014-10-13,0.854323
2014-10-12,0.854323
2014-10-11,0.854577
2014-10-10,0.85653
2014-10-09,0.858054
2014-10-08,0.859946
2014-10-07,0.860559
2014-10-06,0.859034
2014-10-05,0.859034
2014-10-04,0.857336
2014-10-03,0.856662
2014-10-02,0.854023
2014-10-01,0.853324
2014-09-30,0.852775
2014-09-29,0.85275
2014-09-28,0.85275
2014-09-27,0.853097
2014-09-26,0.852588
2014-09-25,0.850236
2014-09-24,0.852599
2014-09-23,0.856961
2014-09-22,0.857386
2014-09-21,0.857386
2014-09-20,0.855194
2014-09-19,0.853533
2014-09-18,0.849888
2014-09-17,0.845644
2014-09-16,0.843073
2014-09-15,0.843209
2014-09-14,0.843209
2014-09-13,0.848112
2014-09-12,0.851961
2014-09-11,0.8516
2014-09-10,0.852301
2014-09-09,0.854923
2014-09-08,0.855856
2014-09-07,0.855856
2014-09-06,0.852895
2014-09-05,0.845792
2014-09-04,0.842788
2014-09-03,0.844537
2014-09-02,0.845087
2014-09-01,0.844208
2014-08-31,0.844138
2014-08-30,0.84328
2014-08-29,0.841709
2014-08-28,0.838157
2014-08-27,0.835121
2014-08-26,0.83536
2014-08-25,0.834467
2014-08-24,0.834467
2014-08-23,0.833116
2014-08-22,0.832306
2014-08-21,0.831912
2014-08-20,0.831672
2014-08-19,0.829897
2014-08-18,0.829178
2014-08-17,0.829178
2014-08-16,0.830995
2014-08-15,0.831221
2014-08-14,0.830852
2014-08-13,0.829044
2014-08-12,0.826221
2014-08-11,0.826467
2014-08-10,0.826467
2014-08-09,0.829766
2014-08-08,0.831177
2014-08-07,0.830486
2014-08-06,0.830488
2014-08-05,0.829887
2014-08-04,0.830393
2014-08-03,0.830393
2014-08-02,0.832225
2014-08-01,0.834004
2014-07-31,0.835658
2014-07-30,0.836674
2014-07-29,0.837658
2014-07-28,0.837658
2014-07-27,0.837658
2014-07-26,0.8397
2014-07-25,0.840713
2014-07-24,0.839884
2014-07-23,0.837381
2014-07-22,0.836566
2014-07-21,0.836964
2014-07-20,0.836425
2014-07-19,0.835735
2014-07-18,0.835115
2014-07-17,0.833256
2014-07-16,0.831779
2014-07-15,0.833185
2014-07-14,0.833185
2014-07-13,0.833185
2014-07-12,0.836563
2014-07-11,0.836563
2014-07-10,0.836563
2014-07-09,0.837566
2014-07-08,0.839315
2014-07-07,0.839577
2014-07-06,0.839916
2014-07-05,0.838704
2014-07-04,0.83542
2014-07-03,0.833604
2014-07-02,0.832635
2014-07-01,0.834294
2014-06-30,0.835439
2014-06-29,0.835439
2014-06-28,0.834974
2014-06-27,0.833217
2014-06-26,0.832559
2014-06-25,0.833609
2014-06-24,0.833057
2014-06-23,0.830543
2014-06-22,0.830543
2014-06-21,0.827743
2014-06-20,0.826574
2014-06-19,0.827258
2014-06-18,0.827855
2014-06-17,0.828539
2014-06-16,0.828659
2014-06-15,0.828659
2014-06-14,0.827894
2014-06-13,0.827567
2014-06-12,0.825546
2014-06-11,0.822189
2014-06-10,0.818622
2014-06-09,0.817182
2014-06-08,0.817182
2014-06-07,0.817729
2014-06-06,0.819587
2014-06-05,0.821434
2014-06-04,0.823981
2014-06-03,0.82607
2014-06-02,0.82607
2014-06-01,0.82607
2014-05-31,0.827009
2014-05-30,0.826624
2014-05-29,0.826111
2014-05-28,0.824991
2014-05-27,0.824379
2014-05-26,0.823725
2014-05-25,0.823725
2014-05-24,0.821267
2014-05-23,0.818969
2014-05-22,0.818579
2014-05-21,0.820113
2014-05-20,0.821272
2014-05-19,0.820904
2014-05-18,0.820904
2014-05-17,0.819261
2014-05-16,0.818111
2014-05-15,0.815707
2014-05-14,0.814782
2014-05-13,0.813948
2014-05-12,0.813341
2014-05-11,0.813341
2014-05-10,0.810529
2014-05-09,0.804862
2014-05-08,0.802463
2014-05-07,0.800699
2014-05-06,0.800039
2014-05-05,0.800807
2014-05-04,0.800807
2014-05-03,0.801821
2014-05-02,0.80293
2014-05-01,0.803879
2014-04-30,0.80047
2014-04-29,0.798345
2014-04-28,0.798825
2014-04-27,0.798825
2014-04-26,0.799692
2014-04-25,0.800536
2014-04-24,0.801481
2014-04-23,0.802478
2014-04-22,0.80163
2014-04-21,0.801646
2014-04-20,0.801646
2014-04-19,0.801264
2014-04-18,0.80053
2014-04-17,0.801223
2014-04-16,0.801202
2014-04-15,0.799343
2014-04-14,0.79864
2014-04-13,0.79864
2014-04-12,0.802307
2014-04-11,0.807058
2014-04-10,0.808997
2014-04-09,0.809881
2014-04-08,0.811502
2014-04-07,0.811744
2014-04-06,0.811744
2014-04-05,0.808537
2014-04-04,0.804256
2014-04-03,0.801065
2014-04-02,0.800428
2014-04-01,0.801609
2014-03-31,0.802678
2014-03-30,0.802678
2014-03-29,0.802205
2014-03-28,0.797206
2014-03-27,0.791806
2014-03-26,0.788032
2014-03-25,0.786933
2014-03-24,0.786461
2014-03-23,0.786461
2014-03-22,0.785791
2014-03-21,0.7844
2014-03-20,0.78595
2014-03-19,0.788955
2014-03-18,0.787504
2014-03-17,0.786855
2014-03-16,0.786855
2014-03-15,0.788108
2014-03-14,0.788068
2014-03-13,0.789327
2014-03-12,0.790585
2014-03-11,0.790784
2014-03-10,0.79382
2014-03-09,0.79382
2014-03-08,0.799947
2014-03-07,0.803017
2014-03-06,0.799968
2014-03-05,0.796855
2014-03-04,0.795289
2014-03-03,0.795888
2014-03-02,0.795888
2014-03-01,0.797574
2014-02-28,0.800026
2014-02-27,0.801313
2014-02-26,0.801042
2014-02-25,0.799568
2014-02-24,0.798921
2014-02-23,0.798921
2014-02-22,0.800059
2014-02-21,0.804876
2014-02-20,0.810398
2014-02-19,0.81277
2014-02-18,0.812864
2014-02-17,0.812761
2014-02-16,0.813122
2014-02-15,0.814438
2014-02-14,0.816333
2014-02-13,0.815188
2014-02-12,0.811519
2014-02-11,0.813526
2014-02-10,0.814169
2014-02-09,0.814169
2014-02-08,0.814997
2014-02-07,0.81567
2014-02-06,0.815324
2014-02-05,0.814957
2014-02-04,0.815079
2014-02-03,0.812477
2014-02-02,0.812477
2014-02-01,0.807249
2014-01-31,0.804496
2014-01-30,0.805921
2014-01-29,0.807818
2014-01-28,0.808271
2014-01-27,0.807307
2014-01-26,0.807307
2014-01-25,0.810437
2014-01-24,0.819717
2014-01-23,0.829408
2014-01-22,0.831075
2014-01-21,0.830832
2014-01-20,0.829567
2014-01-19,0.829567
2014-01-18,0.829121
2014-01-17,0.828983
2014-01-16,0.826982
2014-01-15,0.82703
2014-01-14,0.828188
2014-01-13,0.830478
2014-01-12,0.830478
2014-01-11,0.835674
2014-01-10,0.840655
2014-01-09,0.844216
2014-01-08,0.848626
2014-01-07,0.850917
2014-01-06,0.849711
2014-01-05,0.849711
2014-01-04,0.845216
2014-01-03,0.840031
2014-01-02,0.836034
2014-01-01,0.834504
2013-12-31,0.833913
2013-12-30,0.833913
2013-12-29,0.833913
2013-12-28,0.838611
2013-12-27,0.843082
2013-12-26,0.84354
2013-12-25,0.842826
2013-12-24,0.842664
2013-12-23,0.842043
2013-12-22,0.842043
2013-12-21,0.839402
2013-12-20,0.835884
2013-12-19,0.835556
2013-12-18,0.837978
2013-12-17,0.83941
2013-12-16,0.838928
2013-12-15,0.838928
2013-12-14,0.837058
2013-12-13,0.837074
2013-12-12,0.836589
2013-12-11,0.836763
2013-12-10,0.837709
2013-12-09,0.839167
2013-12-08,0.839167
2013-12-07,0.842116
2013-12-06,0.845822
2013-12-05,0.849453
2013-12-04,0.852238
2013-12-03,0.853515
2013-12-02,0.854001
2013-12-01,0.854001
2013-11-30,0.855204
2013-11-29,0.857257
2013-11-28,0.860331
2013-11-27,0.862772
2013-11-26,0.863245
2013-11-25,0.863245
2013-11-24,0.863245
2013-11-23,0.868758
2013-11-22,0.873494
2013-11-21,0.872503
2013-11-20,0.874611
2013-11-19,0.876235
2013-11-18,0.876563
2013-11-17,0.876314
2013-11-16,0.875217
2013-11-15,0.874295
2013-11-14,0.875558
2013-11-13,0.877677
2013-11-12,0.879207
2013-11-11,0.878688
