Date,CURRFX.CADJPY.1
2015-03-07,96.2069
2015-03-06,96.1863
2015-03-05,95.8282
2015-03-04,95.7354
2015-03-03,95.7354
2015-03-02,95.6069
2015-03-01,95.6069
2015-02-28,95.5609
2015-02-27,95.5287
2015-02-26,95.1305
2015-02-25,94.6377
2015-02-24,94.7914
2015-02-23,95.0153
2015-02-22,95.0153
2015-02-21,95.1645
2015-02-20,95.5134
2015-02-19,95.8193
2015-02-18,95.4382
2015-02-17,95.2934
2015-02-16,95.4062
2015-02-15,95.2912
2015-02-14,95.1616
2015-02-13,95.149
2015-02-12,95.0585
2015-02-11,95.1082
2015-02-10,95.0739
2015-02-09,95.1262
2015-02-08,94.9232
2015-02-07,94.2759
2015-02-06,93.9685
2015-02-05,94.0536
2015-02-04,93.2079
2015-02-03,92.5253
2015-02-02,92.5934
2015-02-01,92.5934
2015-01-31,93.365
2015-01-30,94.2408
2015-01-29,94.7839
2015-01-28,94.8086
2015-01-27,94.8361
2015-01-26,94.8361
2015-01-25,95.0248
2015-01-24,95.3868
2015-01-23,96.0467
2015-01-22,97.5954
2015-01-21,98.381
2015-01-20,98.0917
2015-01-19,97.8759
2015-01-18,97.8759
2015-01-17,97.6541
2015-01-16,98.0232
2015-01-15,98.2766
2015-01-14,99.1855
2015-01-13,99.7998
2015-01-12,99.9065
2015-01-11,100.196
2015-01-10,100.906
2015-01-09,100.982
2015-01-08,100.79
2015-01-07,101.414
2015-01-06,102.04
2015-01-05,102.254
2015-01-04,102.575
2015-01-03,103.139
2015-01-02,103.17
2015-01-01,103.112
2014-12-31,103.313
2014-12-30,103.575
2014-12-29,103.538
2014-12-28,103.538
2014-12-27,103.618
2014-12-26,103.618
2014-12-25,103.613
2014-12-24,103.326
2014-12-23,103.051
2014-12-22,102.946
2014-12-21,102.946
2014-12-20,102.62
2014-12-19,101.649
2014-12-18,100.652
2014-12-17,101.227
2014-12-16,102.34
2014-12-15,102.677
2014-12-14,102.677
2014-12-13,102.914
2014-12-12,103.444
2014-12-11,104.175
2014-12-10,105.094
2014-12-09,106.006
2014-12-08,106.236
2014-12-07,105.996
2014-12-06,105.557
2014-12-05,105.23
2014-12-04,104.785
2014-12-03,104.381
2014-12-02,103.942
2014-12-01,103.929
2014-11-30,103.929
2014-11-29,104.068
2014-11-28,104.396
2014-11-27,104.624
2014-11-26,104.766
2014-11-25,104.954
2014-11-24,104.749
2014-11-23,104.749
2014-11-22,104.406
2014-11-21,104.045
2014-11-20,103.505
2014-11-19,103.153
2014-11-18,102.907
2014-11-17,102.737
2014-11-16,102.737
2014-11-15,102.247
2014-11-14,102.034
2014-11-13,101.778
2014-11-12,101.277
2014-11-11,101.033
2014-11-10,101.064
2014-11-09,101.064
2014-11-08,100.767
2014-11-07,100.382
2014-11-06,99.9918
2014-11-05,99.9579
2014-11-04,100.002
2014-11-03,99.392
2014-11-02,99.392
2014-11-01,98.2809
2014-10-31,97.2289
2014-10-30,96.67
2014-10-29,96.1505
2014-10-28,96.1456
2014-10-27,96.2844
2014-10-26,96.2844
2014-10-25,96.0939
2014-10-24,95.5784
2014-10-23,95.1563
2014-10-22,94.8806
2014-10-21,94.8881
2014-10-20,94.716
2014-10-19,94.716
2014-10-18,94.4091
2014-10-17,94.1397
2014-10-16,94.7275
2014-10-15,95.5018
2014-10-14,95.9138
2014-10-13,96.2092
2014-10-12,96.2092
2014-10-11,96.6202
2014-10-10,97.0149
2014-10-09,97.04
2014-10-08,97.3518
2014-10-07,97.5608
2014-10-06,97.5399
2014-10-05,97.5399
2014-10-04,97.4941
2014-10-03,97.7169
2014-10-02,97.9589
2014-10-01,98.064
2014-09-30,98.0477
2014-09-29,97.9807
2014-09-28,97.9807
2014-09-27,98.1239
2014-09-26,98.2586
2014-09-25,98.2889
2014-09-24,98.7438
2014-09-23,99.3034
2014-09-22,99.4776
2014-09-21,99.4776
2014-09-20,99.2676
2014-09-19,98.5299
2014-09-18,97.6006
2014-09-17,96.9897
2014-09-16,96.7921
2014-09-15,96.8501
2014-09-14,96.8501
2014-09-13,97.0756
2014-09-12,97.2074
2014-09-11,96.9013
2014-09-10,96.585
2014-09-09,96.5414
2014-09-08,96.5988
2014-09-07,96.5988
2014-09-06,96.5986
2014-09-05,96.4028
2014-09-04,96.2169
2014-09-03,96.0568
2014-09-02,95.817
2014-09-01,95.6739
2014-08-31,95.6514
2014-08-30,95.6514
2014-08-29,95.4951
2014-08-28,95.1256
2014-08-27,94.8459
2014-08-26,94.9544
2014-08-25,94.9361
2014-08-24,94.9361
2014-08-23,94.7997
2014-08-22,94.5321
2014-08-21,94.2367
2014-08-20,94.129
2014-08-19,94.0295
2014-08-18,93.9562
2014-08-17,93.9562
2014-08-16,94.0073
2014-08-15,93.8612
2014-08-14,93.6332
2014-08-13,93.3887
2014-08-12,93.1171
2014-08-11,92.984
2014-08-10,93.0292
2014-08-09,93.2671
2014-08-08,93.5418
2014-08-07,93.6417
2014-08-06,93.8918
2014-08-05,93.9532
2014-08-04,94.0507
2014-08-03,94.0507
2014-08-02,94.2053
2014-08-01,94.2441
2014-07-31,94.2
2014-07-30,94.2375
2014-07-29,94.1881
2014-07-28,94.3133
2014-07-27,94.3133
2014-07-26,94.5989
2014-07-25,94.6114
2014-07-24,94.5112
2014-07-23,94.4251
2014-07-22,94.3628
2014-07-21,94.357
2014-07-20,94.357
2014-07-19,94.3505
2014-07-18,94.4913
2014-07-17,94.5816
2014-07-16,94.6143
2014-07-15,94.4977
2014-07-14,94.6189
2014-07-13,94.6189
2014-07-12,95.0357
2014-07-11,95.1981
2014-07-10,95.2488
2014-07-09,95.3955
2014-07-08,95.7476
2014-07-07,95.8356
2014-07-06,95.8936
2014-07-05,95.8543
2014-07-04,95.6087
2014-07-03,95.3657
2014-07-02,95.097
2014-07-01,95.0189
2014-06-30,95.0798
2014-06-29,95.0798
2014-06-28,94.9737
2014-06-27,94.9401
2014-06-26,94.9277
2014-06-25,94.9923
2014-06-24,94.9297
2014-06-23,94.7259
2014-06-22,94.7259
2014-06-21,94.3231
2014-06-20,94.0793
2014-06-19,94.0071
2014-06-18,93.9176
2014-06-17,93.883
2014-06-16,93.9325
2014-06-15,93.9325
2014-06-14,93.8773
2014-06-13,93.8684
2014-06-12,93.8376
2014-06-11,93.8537
2014-06-10,93.8165
2014-06-09,93.7427
2014-06-08,93.7427
2014-06-07,93.7908
2014-06-06,93.7908
2014-06-05,93.915
2014-06-04,93.915
2014-06-03,93.8899
2014-06-02,93.8038
2014-06-01,93.8038
2014-05-31,93.7478
2014-05-30,93.6989
2014-05-29,93.8566
2014-05-28,93.9023
2014-05-27,93.8278
2014-05-26,93.7217
2014-05-25,93.7217
2014-05-24,93.3783
2014-05-23,93.0185
2014-05-22,92.8987
2014-05-21,93.1967
2014-05-20,93.3737
2014-05-19,93.4199
2014-05-18,93.4199
2014-05-17,93.4245
2014-05-16,93.5638
2014-05-15,93.6406
2014-05-14,93.7107
2014-05-13,93.5485
2014-05-12,93.5416
2014-05-11,93.5416
2014-05-10,93.6608
2014-05-09,93.4888
2014-05-08,93.2939
2014-05-07,93.1526
2014-05-06,93.0686
2014-05-05,93.226
2014-05-04,93.226
2014-05-03,93.3013
2014-05-02,93.2957
2014-05-01,93.3946
2014-04-30,93.0854
2014-04-29,92.675
2014-04-28,92.6086
2014-04-27,92.6086
2014-04-26,92.7419
2014-04-25,92.8472
2014-04-24,92.9485
2014-04-23,93.0893
2014-04-22,92.9998
2014-04-21,92.9352
2014-04-20,92.9352
2014-04-19,92.9382
2014-04-18,92.8789
2014-04-17,92.8701
2014-04-16,92.6947
2014-04-15,92.6172
2014-04-14,92.6429
2014-04-13,92.6429
2014-04-12,93.0089
2014-04-11,93.3669
2014-04-10,93.5005
2014-04-09,93.7785
2014-04-08,94.0203
2014-04-07,94.1206
2014-04-06,94.1206
2014-04-05,94.2214
2014-04-04,94.1859
2014-04-03,93.9018
2014-04-02,93.4649
2014-04-01,93.1507
2014-03-31,92.9025
2014-03-30,92.9025
2014-03-29,92.5678
2014-03-28,92.0129
2014-03-27,91.632
2014-03-26,91.3308
2014-03-25,91.1665
2014-03-24,91.0963
2014-03-23,91.0963
2014-03-22,91.0628
2014-03-21,91.0276
2014-03-20,91.3125
2014-03-19,91.7747
2014-03-18,91.5701
2014-03-17,91.3992
2014-03-16,91.3992
2014-03-15,91.898
2014-03-14,92.4675
2014-03-13,92.6565
2014-03-12,92.9063
2014-03-11,92.9846
2014-03-10,93.2812
2014-03-09,93.2812
2014-03-08,93.4249
2014-03-07,92.9055
2014-03-06,92.1733
2014-03-05,91.728
2014-03-04,91.7149
2014-03-03,91.8911
2014-03-02,91.8911
2014-03-01,91.7617
2014-02-28,91.9402
2014-02-27,92.3188
2014-02-26,92.3859
2014-02-25,92.2551
2014-02-24,92.2261
2014-02-23,92.1679
2014-02-22,92.1029
2014-02-21,92.5027
2014-02-20,93.2299
2014-02-19,93.1675
2014-02-18,92.7622
2014-02-17,92.7906
2014-02-16,92.7906
2014-02-15,92.9362
2014-02-14,93.0254
2014-02-13,92.9578
2014-02-12,92.5961
2014-02-11,92.7142
2014-02-10,92.6488
2014-02-09,92.6488
2014-02-08,92.178
2014-02-07,91.6768
2014-02-06,91.4401
2014-02-05,91.5276
2014-02-04,91.753
2014-02-03,91.6996
2014-02-02,91.6996
2014-02-01,91.7109
2014-01-31,91.86
2014-01-30,92.2944
2014-01-29,92.4876
2014-01-28,92.4949
2014-01-27,92.5047
2014-01-26,92.5047
2014-01-25,93.0511
2014-01-24,94.0466
2014-01-23,95.024
2014-01-22,95.1469
2014-01-21,95.0958
2014-01-20,95.2253
2014-01-19,95.2253
2014-01-18,95.4459
2014-01-17,95.4945
2014-01-16,95.1518
2014-01-15,94.976
2014-01-14,95.2146
2014-01-13,95.9051
2014-01-12,95.9051
2014-01-11,96.4782
2014-01-10,96.8618
2014-01-09,97.2772
2014-01-08,97.8386
2014-01-07,98.3647
2014-01-06,98.4433
2014-01-05,98.4433
2014-01-04,98.4301
2014-01-03,98.9317
2014-01-02,98.9164
2014-01-01,98.5942
2013-12-31,98.323
2013-12-30,98.2984
2013-12-29,98.2984
2013-12-28,98.4239
2013-12-27,98.3464
2013-12-26,98.192
2013-12-25,98.0799
2013-12-24,97.8804
2013-12-23,97.804
2013-12-22,97.804
2013-12-21,97.5401
2013-12-20,97.1373
2013-12-19,97.0279
2013-12-18,97.2167
2013-12-17,97.3964
2013-12-16,97.546
2013-12-15,97.4438
2013-12-14,97.1601
2013-12-13,96.904
2013-12-12,96.8752
2013-12-11,96.9192
2013-12-10,96.7665
