Date,CURRFX.CHFJPY.1
2015-03-07,123.446
2015-03-06,124.104
2015-03-05,124.592
2015-03-04,125.082
2015-03-03,125.414
2015-03-02,125.492
2015-03-01,125.492
2015-02-28,125.46
2015-02-27,125.247
2015-02-26,125.263
2015-02-25,125.557
2015-02-24,126.175
2015-02-23,126.836
2015-02-22,126.261
2015-02-21,125.53
2015-02-20,126.193
2015-02-19,127.022
2015-02-18,127.289
2015-02-17,127.397
2015-02-16,127.586
2015-02-15,127.586
2015-02-14,128.178
2015-02-13,128.972
2015-02-12,128.981
2015-02-11,128.501
2015-02-10,128.479
2015-02-09,128.236
2015-02-08,128.236
2015-02-07,127.345
2015-02-06,126.966
2015-02-05,127.001
2015-02-04,126.762
2015-02-03,127.086
2015-02-02,127.652
2015-02-01,127.652
2015-01-31,128.135
2015-01-30,129.471
2015-01-29,130.6
2015-01-28,131.675
2015-01-27,133.326
2015-01-26,134.348
2015-01-25,134.348
2015-01-24,135.886
2015-01-23,136.446
2015-01-22,135.529
2015-01-21,135.012
2015-01-20,135.932
2015-01-19,137.102
2015-01-18,136.296
2015-01-17,130.402
2015-01-16,119.597
2015-01-15,115.424
2015-01-14,116.503
2015-01-13,116.836
2015-01-12,117.022
2015-01-11,117.022
2015-01-10,117.396
2015-01-09,117.582
2015-01-08,117.76
2015-01-07,118.648
2015-01-06,119.729
2015-01-05,120.389
2015-01-04,120.389
2015-01-03,120.59
2015-01-02,120.681
2015-01-01,120.925
2014-12-31,121.535
2014-12-30,121.994
2014-12-29,121.934
2014-12-28,121.934
2014-12-27,122.085
2014-12-26,122.149
2014-12-25,122.114
2014-12-24,122.007
2014-12-23,121.691
2014-12-22,121.495
2014-12-21,121.495
2014-12-20,121.546
2014-12-19,121.552
2014-12-18,121.636
2014-12-17,122.089
2014-12-16,122.895
2014-12-15,123.246
2014-12-14,123.082
2014-12-13,122.692
2014-12-12,122.611
2014-12-11,122.933
2014-12-10,123.451
2014-12-09,123.956
2014-12-08,123.991
2014-12-07,123.991
2014-12-06,123.45
2014-12-05,122.763
2014-12-04,122.62
2014-12-03,122.763
2014-12-02,122.821
2014-12-01,122.749
2014-11-30,122.749
2014-11-29,122.431
2014-11-28,122.195
2014-11-27,122.19
2014-11-26,121.977
2014-11-25,121.684
2014-11-24,121.831
2014-11-23,121.831
2014-11-22,122.757
2014-11-21,123.086
2014-11-20,122.057
2014-11-19,121.201
2014-11-18,121.06
2014-11-17,120.982
2014-11-16,120.982
2014-11-15,120.281
