Date,CURRFX.EURAUD.1
2015-03-06,1.41897
2015-03-05,1.42694
2015-03-04,1.4348
2015-03-03,1.43662
2015-03-02,1.43609
2015-02-27,1.44085
2015-02-26,1.44652
2015-02-25,1.45412
2015-02-24,1.45199
2015-02-23,1.45532
2015-02-20,1.46045
2015-02-19,1.46134
2015-02-18,1.46134
2015-02-17,1.46626
2015-02-16,1.46993
2015-02-13,1.46878
2015-02-12,1.45687
2015-02-11,1.45283
2015-02-10,1.45269
2015-02-09,1.45572
2015-02-06,1.46556
2015-02-05,1.47092
2015-02-04,1.46533
2015-02-03,1.45313
2015-02-02,1.44986
2015-01-30,1.43577
2015-01-29,1.42362
2015-01-28,1.42185
2015-01-27,1.4182
2015-01-26,1.42047
2015-01-23,1.42373
2015-01-22,1.41567
2015-01-21,1.41293
2015-01-20,1.40911
2015-01-19,1.41456
2015-01-16,1.43598
2015-01-15,1.44766
2015-01-14,1.44642
2015-01-13,1.44441
2015-01-12,1.44885
2015-01-09,1.4616
2015-01-08,1.46945
2015-01-07,1.47266
2015-01-06,1.48032
2015-01-05,1.48331
2015-01-02,1.4828
2015-01-01,1.48575
2014-12-31,1.49282
2014-12-30,1.49834
2014-12-29,1.50112
2014-12-26,1.5033
2014-12-25,1.50338
2014-12-24,1.50419
2014-12-23,1.50256
2014-12-22,1.50459
2014-12-19,1.51511
2014-12-18,1.52095
2014-12-17,1.51515
2014-12-16,1.5119
2014-12-15,1.5068
2014-12-12,1.49584
2014-12-11,1.49129
2014-12-10,1.48705
2014-12-09,1.47896
2014-12-08,1.47415
2014-12-05,1.46956
2014-12-04,1.46734
2014-12-03,1.46833
2014-12-02,1.46759
2014-12-01,1.46194
2014-11-28,1.46039
2014-11-27,1.45921
2014-11-26,1.44548
2014-11-25,1.43188
2014-11-24,1.4397
2014-11-21,1.45344
2014-11-20,1.4424
2014-11-19,1.43183
2014-11-18,1.43045
2014-11-17,1.43011
2014-11-14,1.42933
2014-11-13,1.43433
2014-11-12,1.43947
2014-11-11,1.44135
2014-11-10,1.44617
2014-11-07,1.44876
2014-11-06,1.44095
2014-11-05,1.43435
2014-11-04,1.42879
2014-11-03,1.42734
2014-10-31,1.43454
2014-10-30,1.43739
2014-10-29,1.44052
2014-10-28,1.44114
2014-10-27,1.44115
2014-10-24,1.44336
2014-10-23,1.44768
2014-10-22,1.45309
2014-10-21,1.45674
2014-10-20,1.45943
2014-10-17,1.45746
2014-10-16,1.45151
2014-10-15,1.45059
2014-10-14,1.45227
2014-10-13,1.44895
2014-10-10,1.44059
2014-10-09,1.43991
2014-10-08,1.43893
2014-10-07,1.44132
2014-10-06,1.44153
2014-10-03,1.44272
2014-10-02,1.44792
2014-10-01,1.45062
2014-09-30,1.45123
2014-09-29,1.44663
2014-09-26,1.44606
2014-09-25,1.44731
2014-09-24,1.4467
2014-09-23,1.44109
2014-09-22,1.43702
2014-09-19,1.43406
2014-09-18,1.43078
2014-09-17,1.43354
2014-09-16,1.4353
2014-09-15,1.42681
2014-09-12,1.41263
2014-09-11,1.40422
2014-09-10,1.39095
2014-09-09,1.38378
2014-09-08,1.38803
2014-09-05,1.40338
2014-09-04,1.41126
2014-09-03,1.40968
2014-09-02,1.40614
2014-09-01,1.40776
2014-08-29,1.41144
2014-08-28,1.41473
2014-08-27,1.41824
2014-08-26,1.41945
2014-08-25,1.42444
2014-08-22,1.42954
2014-08-21,1.43036
2014-08-20,1.43272
2014-08-19,1.4365
2014-08-18,1.43706
2014-08-15,1.43719
2014-08-14,1.44013
2014-08-13,1.44338
2014-08-12,1.44508
2014-08-11,1.44326
2014-08-08,1.43761
2014-08-07,1.43552
2014-08-06,1.43842
2014-08-05,1.44081
2014-08-04,1.44079
2014-08-01,1.436
2014-07-31,1.43067
2014-07-30,1.42926
2014-07-29,1.42834
2014-07-28,1.42834
2014-07-25,1.42701
2014-07-24,1.43139
2014-07-23,1.43929
2014-07-22,1.44092
2014-07-21,1.44145
2014-07-18,1.44536
2014-07-17,1.4489
2014-07-16,1.44988
2014-07-15,1.44921
2014-07-14,1.44962
2014-07-11,1.45005
2014-07-10,1.44981
2014-07-09,1.44981
2014-07-08,1.45186
2014-07-07,1.45272
2014-07-04,1.45077
2014-07-03,1.44581
2014-07-02,1.44861
2014-07-01,1.44976
2014-06-30,1.44784
2014-06-27,1.44959
2014-06-26,1.4503
2014-06-25,1.44545
2014-06-24,1.4452
2014-06-23,1.4479
2014-06-20,1.44834
2014-06-19,1.45025
2014-06-18,1.44649
2014-06-17,1.44116
2014-06-16,1.44004
2014-06-13,1.44119
2014-06-12,1.44489
2014-06-11,1.45229
2014-06-10,1.45873
2014-06-09,1.46232
2014-06-06,1.46552
2014-06-05,1.46942
2014-06-04,1.47035
2014-06-03,1.46787
2014-06-02,1.46513
2014-05-30,1.46885
2014-05-29,1.47355
2014-05-28,1.47486
2014-05-27,1.47607
