Date,CURRFX.EURCAD.1
2015-03-06,1.3812
2015-03-05,1.39334
2015-03-04,1.39947
2015-03-03,1.40043
2015-03-02,1.40341
2015-02-27,1.41076
2015-02-26,1.41865
2015-02-25,1.42683
2015-02-24,1.42651
2015-02-23,1.42458
2015-02-20,1.41888
2015-02-19,1.41375
2015-02-18,1.41565
2015-02-17,1.41886
2015-02-16,1.4212
2015-02-13,1.42618
2015-02-12,1.42158
2015-02-11,1.41461
2015-02-10,1.41588
2015-02-09,1.42048
2015-02-06,1.42638
2015-02-05,1.42728
2015-02-04,1.43091
2015-02-03,1.43616
2015-02-02,1.42951
2015-01-30,1.41568
2015-01-29,1.40949
2015-01-28,1.40308
2015-01-27,1.39484
2015-01-26,1.4055
2015-01-23,1.41997
2015-01-22,1.40035
2015-01-21,1.38894
2015-01-20,1.38664
2015-01-19,1.39112
2015-01-16,1.4035
2015-01-15,1.41102
2015-01-14,1.41065
2015-01-13,1.40619
2015-01-12,1.40159
2015-01-09,1.39871
2015-01-08,1.40383
2015-01-07,1.40552
2015-01-06,1.41035
2015-01-05,1.4109
2015-01-02,1.40666
2015-01-01,1.41044
2014-12-31,1.4147
2014-12-30,1.41669
2014-12-29,1.41714
2014-12-26,1.41741
2014-12-25,1.4175
2014-12-24,1.42069
2014-12-23,1.42084
2014-12-22,1.42342
2014-12-19,1.43829
2014-12-18,1.45137
2014-12-17,1.44888
2014-12-16,1.44241
2014-12-15,1.43731
2014-12-12,1.42515
2014-12-11,1.41874
2014-12-10,1.41234
2014-12-09,1.40606
2014-12-08,1.40395
2014-12-05,1.4039
2014-12-04,1.40836
2014-12-03,1.41562
2014-12-02,1.42117
2014-12-01,1.41641
2014-11-28,1.40728
2014-11-27,1.40452
2014-11-26,1.40042
2014-11-25,1.39395
2014-11-24,1.4035
2014-11-21,1.42089
2014-11-20,1.41666
2014-11-19,1.4116
2014-11-18,1.41323
2014-11-17,1.41291
2014-11-14,1.41112
2014-11-13,1.41208
2014-11-12,1.41292
2014-11-11,1.41164
2014-11-10,1.41556
2014-11-07,1.42488
2014-11-06,1.42704
2014-11-05,1.41962
2014-11-04,1.41129
2014-11-03,1.41121
2014-10-31,1.41489
2014-10-30,1.42314
2014-10-29,1.42655
2014-10-28,1.42499
2014-10-27,1.42305
2014-10-24,1.42332
2014-10-23,1.42998
2014-10-22,1.4385
2014-10-21,1.43942
2014-10-20,1.44075
2014-10-17,1.44101
2014-10-16,1.43247
2014-10-15,1.42319
2014-10-14,1.41761
2014-10-13,1.41471
2014-10-10,1.41496
2014-10-09,1.41297
2014-10-08,1.40951
2014-10-07,1.40757
2014-10-06,1.40739
2014-10-03,1.40956
2014-10-02,1.41276
2014-10-01,1.41413
2014-09-30,1.41529
2014-09-29,1.41485
2014-09-26,1.41695
2014-09-25,1.42041
2014-09-24,1.41608
2014-09-23,1.40893
2014-09-22,1.4095
2014-09-19,1.4169
2014-09-18,1.42337
2014-09-17,1.43052
2014-09-16,1.43552
2014-09-15,1.43082
2014-09-12,1.41948
2014-09-11,1.41823
2014-09-10,1.41535
2014-09-09,1.41094
2014-09-08,1.41463
2014-09-05,1.42686
2014-09-04,1.43251
2014-09-03,1.42962
2014-09-02,1.42767
2014-09-01,1.42999
2014-08-29,1.43389
2014-08-28,1.44119
2014-08-27,1.44702
2014-08-26,1.44778
2014-08-25,1.4511
2014-08-22,1.45502
2014-08-21,1.45568
2014-08-20,1.45601
2014-08-19,1.45826
2014-08-18,1.45987
2014-08-15,1.45898
2014-08-14,1.46057
2014-08-13,1.46398
2014-08-12,1.46929
2014-08-11,1.4674
2014-08-08,1.46176
2014-08-07,1.46425
2014-08-06,1.46517
2014-08-05,1.46603
2014-08-04,1.46396
2014-08-01,1.4589
2014-07-31,1.45531
2014-07-30,1.45256
