Date,CURRFX.EURCHF.1
2015-03-06,1.0702
2015-03-05,1.0718
2015-03-04,1.07168
2015-03-03,1.06913
2015-03-02,1.0705
2015-02-27,1.07593
2015-02-26,1.0772
2015-02-25,1.07552
2015-02-24,1.07151
2015-02-23,1.07098
2015-02-20,1.07393
2015-02-19,1.06643
2015-02-18,1.06137
2015-02-17,1.06144
2015-02-16,1.05908
2015-02-13,1.05217
2015-02-12,1.04782
2015-02-11,1.04698
2015-02-10,1.04766
2015-02-09,1.05009
2015-02-06,1.05569
2015-02-05,1.0568
2015-02-04,1.05198
2015-02-03,1.04592
2015-02-02,1.03713
2015-01-30,1.03028
2015-01-29,1.02291
2015-01-28,1.00999
2015-01-27,0.992245
2015-01-26,0.989837
2015-01-23,0.999242
2015-01-22,1.00847
2015-01-21,1.01195
2015-01-20,1.00115
2015-01-19,1.04048
2015-01-16,1.15447
2015-01-15,1.20104
2015-01-14,1.20104
2015-01-13,1.20104
2015-01-12,1.20104
2015-01-09,1.20106
2015-01-08,1.20116
2015-01-07,1.20148
2015-01-06,1.20175
2015-01-05,1.20221
2015-01-02,1.20256
2015-01-01,1.20261
2014-12-31,1.20288
2014-12-30,1.20304
2014-12-29,1.20285
2014-12-26,1.20264
2014-12-25,1.20264
2014-12-24,1.20311
2014-12-23,1.20346
2014-12-22,1.20344
2014-12-19,1.20226
2014-12-18,1.20098
2014-12-17,1.20098
2014-12-16,1.20106
2014-12-15,1.20152
2014-12-12,1.20222
2014-12-11,1.20222
2014-12-10,1.20222
2014-12-09,1.20272
2014-12-08,1.20272
2014-12-05,1.20331
2014-12-04,1.20358
2014-12-03,1.20348
2014-12-02,1.20285
2014-12-01,1.20232
2014-11-28,1.20232
2014-11-27,1.20261
2014-11-26,1.20272
2014-11-25,1.20224
2014-11-24,1.20153
2014-11-21,1.20136
2014-11-20,1.20134
2014-11-19,1.20134
2014-11-18,1.20136
2014-11-17,1.2016
2014-11-14,1.20237
2014-11-13,1.20276
2014-11-12,1.20281
2014-11-11,1.20314
2014-11-10,1.20367
2014-11-07,1.20461
2014-11-06,1.20461
2014-11-05,1.20552
2014-11-04,1.20574
2014-11-03,1.20587
2014-10-31,1.20604
2014-10-30,1.20604
2014-10-29,1.20614
2014-10-28,1.20614
2014-10-27,1.20631
2014-10-24,1.20658
2014-10-23,1.20658
2014-10-22,1.20677
2014-10-21,1.20715
2014-10-20,1.20733
2014-10-17,1.20701
2014-10-16,1.20753
2014-10-15,1.20826
2014-10-14,1.20873
2014-10-13,1.20997
2014-10-10,1.2118
2014-10-09,1.21233
2014-10-08,1.21201
2014-10-07,1.21132
2014-10-06,1.20957
2014-10-03,1.20724
2014-10-02,1.20644
2014-10-01,1.20665
2014-09-30,1.20686
2014-09-29,1.20717
2014-09-26,1.20776
2014-09-25,1.20759
2014-09-24,1.20732
2014-09-23,1.20783
2014-09-22,1.20783
2014-09-19,1.20931
2014-09-18,1.20977
2014-09-17,1.20969
2014-09-16,1.21012
2014-09-15,1.20988
2014-09-12,1.20922
2014-09-11,1.20768
2014-09-10,1.20624
2014-09-09,1.20624
2014-09-08,1.20621
2014-09-05,1.20685
2014-09-04,1.20712
2014-09-03,1.20712
2014-09-02,1.20658
2014-09-01,1.20627
2014-08-29,1.20683
2014-08-28,1.20773
2014-08-27,1.20838
2014-08-26,1.20936
2014-08-25,1.21055
2014-08-22,1.21096
2014-08-21,1.21094
2014-08-20,1.2108
2014-08-19,1.21015
2014-08-18,1.21056
2014-08-15,1.21268
2014-08-14,1.21342
2014-08-13,1.21384
2014-08-12,1.21384
2014-08-11,1.21439
2014-08-08,1.21497
2014-08-07,1.21595
2014-08-06,1.21679
2014-08-05,1.21656
2014-08-04,1.2167
2014-08-01,1.2168
2014-07-31,1.21603
2014-07-30,1.21522
2014-07-29,1.21506
2014-07-28,1.21506
2014-07-25,1.21496
2014-07-24,1.21496
2014-07-23,1.21486
2014-07-22,1.21492
2014-07-21,1.21492
2014-07-18,1.21491
2014-07-17,1.21518
2014-07-16,1.21461
2014-07-15,1.21422
2014-07-14,1.21437
2014-07-11,1.21511
2014-07-10,1.21553
2014-07-09,1.21558
2014-07-08,1.21583
2014-07-07,1.21538
2014-07-04,1.21449
2014-07-03,1.21404
2014-07-02,1.21457
2014-07-01,1.21553
