Date,CURRFX.EURGBP.1
2015-03-06,0.725526
2015-03-05,0.726974
2015-03-04,0.727472
2015-03-03,0.726322
2015-03-02,0.727141
2015-02-27,0.731303
2015-02-26,0.733198
2015-02-25,0.734775
2015-02-24,0.737859
2015-02-23,0.738781
2015-02-20,0.738912
2015-02-19,0.740172
2015-02-18,0.740486
2015-02-17,0.74003
2015-02-16,0.740411
2015-02-13,0.74162
2015-02-12,0.741921
2015-02-11,0.743109
2015-02-10,0.742876
2015-02-09,0.744074
2015-02-06,0.750134
2015-02-05,0.75452
2015-02-04,0.754037
2015-02-03,0.750926
2015-02-02,0.748423
2015-01-30,0.747417
2015-01-29,0.747276
2015-01-28,0.746989
2015-01-27,0.746989
2015-01-26,0.753966
2015-01-23,0.764105
2015-01-22,0.765142
2015-01-21,0.765522
2015-01-20,0.764455
2015-01-19,0.765576
2015-01-16,0.772121
2015-01-15,0.776905
2015-01-14,0.779738
2015-01-13,0.781012
2015-01-12,0.781726
2015-01-09,0.783186
2015-01-08,0.783923
2015-01-07,0.783057
2015-01-06,0.782322
2015-01-05,0.780788
2015-01-02,0.777843
2015-01-01,0.780772
2014-12-31,0.782898
2014-12-30,0.783176
2014-12-29,0.783124
2014-12-26,0.784029
2014-12-25,0.7848
2014-12-24,0.784572
2014-12-23,0.783224
2014-12-22,0.784656
2014-12-19,0.790462
2014-12-18,0.794355
2014-12-17,0.794547
2014-12-16,0.793129
2014-12-15,0.792502
2014-12-12,0.791179
2014-12-11,0.789706
2014-12-10,0.788375
2014-12-09,0.788068
2014-12-08,0.787816
2014-12-05,0.78731
2014-12-04,0.790024
2014-12-03,0.79341
2014-12-02,0.795331
2014-12-01,0.794484
2014-11-28,0.792527
2014-11-27,0.79302
2014-11-26,0.792427
2014-11-25,0.791525
2014-11-24,0.794435
2014-11-21,0.800258
2014-11-20,0.800204
2014-11-19,0.798395
2014-11-18,0.798671
2014-11-17,0.796003
2014-11-14,0.788534
2014-11-13,0.784572
2014-11-12,0.784029
2014-11-11,0.78468
2014-11-10,0.78392
2014-11-07,0.78301
2014-11-06,0.783371
2014-11-05,0.782404
2014-11-04,0.782199
2014-11-03,0.784924
2014-10-31,0.788836
2014-10-30,0.78916
2014-10-29,0.788185
2014-10-28,0.787858
2014-10-27,0.788046
2014-10-24,0.789016
2014-10-23,0.789995
2014-10-22,0.791316
2014-10-21,0.79237
2014-10-20,0.795453
2014-10-17,0.798578
2014-10-16,0.795884
2014-10-15,0.791258
2014-10-14,0.786883
2014-10-13,0.786146
2014-10-10,0.787438
2014-10-09,0.786891
2014-10-08,0.785423
2014-10-07,0.784327
2014-10-06,0.783041
2014-10-03,0.780671
2014-10-02,0.779057
2014-10-01,0.780211
2014-09-30,0.78099
2014-09-29,0.780936
2014-09-26,0.782144
2014-09-25,0.784075
2014-09-24,0.785698
2014-09-23,0.78676
2014-09-22,0.788302
2014-09-19,0.791502
2014-09-18,0.795862
2014-09-17,0.797576
2014-09-16,0.796821
2014-09-15,0.796821
2014-09-12,0.798304
2014-09-11,0.800905
2014-09-10,0.800905
2014-09-09,0.797708
2014-09-08,0.794376
2014-09-05,0.796837
2014-09-04,0.796151
2014-09-03,0.79228
2014-09-02,0.790863
2014-09-01,0.792893
2014-08-29,0.795682
2014-08-28,0.795682
2014-08-27,0.796184
2014-08-26,0.797476
2014-08-25,0.799317
2014-08-22,0.800022
2014-08-21,0.800022
2014-08-20,0.800286
2014-08-19,0.801121
2014-08-18,0.802194
2014-08-15,0.799888
2014-08-14,0.797108
2014-08-13,0.796872
2014-08-12,0.79862
2014-08-11,0.7973
2014-08-08,0.793511
2014-08-07,0.793446
2014-08-06,0.795549
2014-08-05,0.797792
2014-08-04,0.796289
2014-08-01,0.792214
2014-07-31,0.791354
2014-07-30,0.791354
2014-07-29,0.791215
2014-07-28,0.791215
2014-07-25,0.790742
2014-07-24,0.789988
2014-07-23,0.791193
2014-07-22,0.791778
2014-07-21,0.790961
2014-07-18,0.790356
2014-07-17,0.792102
2014-07-16,0.795148
2014-07-15,0.795669
2014-07-14,0.795138
2014-07-11,0.795138
2014-07-10,0.794883
2014-07-09,0.793941
2014-07-08,0.792881
2014-07-07,0.793377
2014-07-04,0.795754
2014-07-03,0.797601
2014-07-02,0.799919
2014-07-01,0.801027
2014-06-30,0.800936
2014-06-27,0.80143
2014-06-26,0.801392
2014-06-25,0.79955
2014-06-24,0.798966
2014-06-23,0.799557
2014-06-20,0.799726
2014-06-19,0.799416
2014-06-18,0.798655
2014-06-17,0.797977
2014-06-16,0.800701
2014-06-13,0.805804
2014-06-12,0.807559
2014-06-11,0.809163
2014-06-10,0.811132
2014-06-09,0.812382
2014-06-06,0.812382
2014-06-05,0.813122
2014-06-04,0.81277
2014-06-03,0.813119
2014-06-02,0.813572
2014-05-30,0.813154
2014-05-29,0.811618
2014-05-28,0.810209
2014-05-27,0.809737
2014-05-26,0.809737
2014-05-23,0.810588
2014-05-22,0.812709
2014-05-21,0.814571
2014-05-20,0.81471
2014-05-19,0.815249
2014-05-16,0.816459
2014-05-15,0.815438
2014-05-14,0.81529
2014-05-13,0.816077
2014-05-12,0.817861
2014-05-09,0.820249
2014-05-08,0.820859
2014-05-07,0.821838
2014-05-06,0.822325
2014-05-05,0.821943
2014-05-02,0.822101
2014-05-01,0.822101
2014-04-30,0.823253
2014-04-29,0.823464
2014-04-28,0.823364
2014-04-25,0.823011
2014-04-24,0.821949
2014-04-23,0.821419
2014-04-22,0.822498
2014-04-21,0.822985
2014-04-18,0.8234
2014-04-17,0.825029
2014-04-16,0.826401
2014-04-15,0.828091
2014-04-14,0.828427
2014-04-11,0.825308
2014-04-10,0.824649
2014-04-09,0.826107
2014-04-08,0.826994
2014-04-07,0.827058
2014-04-04,0.828035
2014-04-03,0.828558
2014-04-02,0.827623
2014-04-01,0.826816
2014-03-31,0.82756
2014-03-28,0.831271
2014-03-27,0.835517
2014-03-26,0.83713
2014-03-25,0.836663
2014-03-24,0.836121
2014-03-21,0.836253
2014-03-20,0.837939
2014-03-19,0.837318
2014-03-18,0.835907
2014-03-17,0.835706
2014-03-14,0.835531
2014-03-13,0.834421
2014-03-12,0.832906
2014-03-11,0.831203
2014-03-10,0.827472
2014-03-07,0.823119
2014-03-06,0.823329
2014-03-05,0.823983
2014-03-04,0.823859
2014-03-03,0.823302
2014-02-28,0.821859
2014-02-27,0.823532
2014-02-26,0.824688
2014-02-25,0.826041
2014-02-24,0.825548
2014-02-21,0.823728
2014-02-20,0.823229
2014-02-19,0.820409
2014-02-18,0.818076
2014-02-17,0.818734
2014-02-14,0.822063
2014-02-13,0.827574
2014-02-12,0.831182
2014-02-11,0.830962
2014-02-10,0.830793
2014-02-07,0.829894
2014-02-06,0.828836
2014-02-05,0.827116
2014-02-04,0.82284
2014-02-03,0.821809
2014-01-31,0.82411
2014-01-30,0.824141
2014-01-29,0.82532
2014-01-28,0.828456
2014-01-27,0.826308
2014-01-24,0.820418
2014-01-23,0.822028
2014-01-22,0.824216
2014-01-21,0.824622
2014-01-20,0.827249
2014-01-17,0.831746
2014-01-16,0.831652
2014-01-15,0.832283
2014-01-14,0.830397
2014-01-13,0.827929
2014-01-10,0.826686
2014-01-09,0.829253
2014-01-08,0.830443
2014-01-07,0.829172
2014-01-06,0.82837
2014-01-03,0.830681
2014-01-02,0.83317
2014-01-01,0.834646
2013-12-31,0.834568
2013-12-30,0.834352
2013-12-27,0.835232
2013-12-26,0.836066
2013-12-25,0.836737
2013-12-24,0.837028
2013-12-23,0.836108
2013-12-20,0.83781
2013-12-19,0.843508
2013-12-18,0.844323
2013-12-17,0.843547
2013-12-16,0.842666
2013-12-13,0.840598
2013-12-12,0.838155
2013-12-11,0.837145
2013-12-10,0.838055
2013-12-09,0.836017
2013-12-06,0.83117
2013-12-05,0.828724
2013-12-04,0.827816
2013-12-03,0.828867
2013-12-02,0.831191
2013-11-29,0.833854
2013-11-28,0.836409
2013-11-27,0.836629
2013-11-26,0.835439
2013-11-25,0.835079
2013-11-22,0.835776
2013-11-21,0.838499
2013-11-20,0.83858
2013-11-19,0.837649
2013-11-18,0.838017
2013-11-15,0.84047
2013-11-14,0.842314
2013-11-13,0.839445
2013-11-12,0.835747
2013-11-11,0.836074
2013-11-08,0.838936
2013-11-07,0.841083
2013-11-06,0.844411
2013-11-05,0.846739
2013-11-04,0.849104
2013-11-01,0.854167
2013-10-31,0.85641
2013-10-30,0.855045
2013-10-29,0.853591
2013-10-28,0.853347
2013-10-25,0.851824
2013-10-24,0.849776
2013-10-23,0.847412
2013-10-22,0.846407
2013-10-21,0.846848
2013-10-18,0.84691
2013-10-17,0.846622
2013-10-16,0.84781
2013-10-15,0.848836
2013-10-14,0.848382
2013-10-11,0.846954
2013-10-10,0.845074
2013-10-09,0.844296
2013-10-08,0.84567
2013-10-07,0.843988
2013-10-04,0.838299
2013-10-03,0.835531
2013-10-02,0.835232
2013-10-01,0.836599
2013-09-30,0.839178
2013-09-27,0.841529
2013-09-26,0.842248
2013-09-25,0.842679
2013-09-24,0.843763
2013-09-23,0.843473
2013-09-20,0.839884
2013-09-19,0.838579
2013-09-18,0.838865
2013-09-17,0.83789
2013-09-16,0.838904
2013-09-13,0.841632
2013-09-12,0.842825
2013-09-11,0.843468
2013-09-10,0.842878
2013-09-09,0.843377
2013-09-06,0.844312
2013-09-05,0.845932
2013-09-04,0.847907
2013-09-03,0.850675
2013-09-02,0.854097
2013-08-30,0.858015
2013-08-29,0.860642
2013-08-28,0.859623
2013-08-27,0.859087
2013-08-26,0.85796
2013-08-23,0.85518
2013-08-22,0.854562
2013-08-21,0.85367
2013-08-20,0.852775
2013-08-19,0.853274
2013-08-16,0.855006
2013-08-15,0.857671
2013-08-14,0.859508
2013-08-13,0.860021
2013-08-12,0.860752
2013-08-09,0.862314
2013-08-08,0.864441
2013-08-07,0.86527
2013-08-06,0.86711
2013-08-05,0.870304
2013-08-02,0.873185
2013-08-01,0.870256
2013-07-31,0.865446
2013-07-30,0.863289
2013-07-29,0.862735
2013-07-26,0.861667
2013-07-25,0.860246
2013-07-24,0.859409
2013-07-23,0.86028
2013-07-22,0.8613
2013-07-19,0.863484
2013-07-18,0.866557
2013-07-17,0.866207
2013-07-16,0.864872
2013-07-15,0.864808
2013-07-12,0.86302
2013-07-11,0.860949
2013-07-10,0.861726
2013-07-09,0.861673
2013-07-08,0.858998
2013-07-05,0.853847
2013-07-04,0.855128
2013-07-03,0.857519
2013-07-02,0.856069
2013-07-01,0.853941
2013-06-28,0.850514
2013-06-27,0.848642
2013-06-26,0.850146
2013-06-25,0.851205
2013-06-24,0.85287
2013-06-21,0.856112
2013-06-20,0.85544
2013-06-19,0.851933
2013-06-18,0.849271
2013-06-17,0.850136
2013-06-14,0.850497
2013-06-13,0.850747
2013-06-12,0.851337
2013-06-11,0.850138
2013-06-10,0.850691
2013-06-07,0.850691
2013-06-06,0.852831
2013-06-05,0.853821
2013-06-04,0.854264
2013-06-03,0.855672
2013-05-31,0.856125
2013-05-30,0.855544
2013-05-29,0.85534
2013-05-28,0.85529
2013-05-27,0.854818
2013-05-24,0.854818
