Date,CURRFX.EURJPY.1
2015-03-06,132.83
2015-03-05,133.541
2015-03-04,134.05
2015-03-03,134.074
2015-03-02,134.226
2015-02-27,134.755
2015-02-26,134.93
2015-02-25,135.028
2015-02-24,135.218
2015-02-23,135.52
2015-02-20,135.52
2015-02-19,135.461
2015-02-18,135.093
2015-02-17,135.221
2015-02-16,135.54
2015-02-13,135.7
2015-02-12,135.165
2015-02-11,134.539
2015-02-10,134.62
2015-02-09,134.393
2015-02-06,134.018
2015-02-05,134.201
2015-02-04,133.381
2015-02-03,132.901
2015-02-02,132.87
2015-01-30,133.418
2015-01-29,133.593
2015-01-28,133.018
2015-01-27,132.264
2015-01-26,133.622
2015-01-23,136.365
2015-01-22,136.711
2015-01-21,136.659
2015-01-20,135.967
2015-01-19,136.477
2015-01-16,137.57
2015-01-15,138.605
2015-01-14,139.911
2015-01-13,140.318
2015-01-12,140.717
2015-01-09,141.218
2015-01-08,141.457
2015-01-07,142.538
2015-01-06,143.876
2015-01-05,144.774
2015-01-02,145.116
2015-01-01,145.417
2014-12-31,146.161
2014-12-30,146.733
2014-12-29,146.719
2014-12-26,146.861
2014-12-25,146.86
2014-12-24,146.793
2014-12-23,146.435
2014-12-22,146.191
2014-12-19,146.131
2014-12-18,146.078
2014-12-17,146.642
2014-12-16,147.631
2014-12-15,147.781
2014-12-12,147.418
2014-12-11,147.773
2014-12-10,148.447
2014-12-09,149.047
2014-12-08,148.755
2014-12-05,147.708
2014-12-04,147.582
2014-12-03,147.715
2014-12-02,147.715
2014-12-01,147.394
2014-11-28,146.907
2014-11-27,146.935
2014-11-26,146.708
2014-11-25,146.291
2014-11-24,146.873
2014-11-21,147.859
2014-11-20,146.649
2014-11-19,145.617
2014-11-18,145.435
2014-11-17,144.997
2014-11-14,143.981
2014-11-13,143.71
2014-11-12,143.09
2014-11-11,142.624
2014-11-10,142.861
2014-11-07,143.031
2014-11-06,142.66
2014-11-05,141.87
2014-11-04,141.125
2014-11-03,139.538
2014-10-31,137.586
2014-10-30,137.536
2014-10-29,137.167
2014-10-28,137.003
2014-10-27,136.667
2014-10-24,136.017
2014-10-23,136.047
2014-10-22,136.474
2014-10-21,136.568
2014-10-20,136.112
2014-10-17,135.651
2014-10-16,135.677
2014-10-15,135.901
2014-10-14,136.523
2014-10-13,136.523
2014-10-10,137.275
2014-10-09,137.126
2014-10-08,137.217
