Date,CURRFX.EURNZD.1
2015-03-06,1.46923
2015-03-05,1.47568
2015-03-04,1.48488
2015-03-03,1.48403
2015-03-02,1.48641
2015-02-27,1.49995
2015-02-26,1.51006
2015-02-25,1.51313
2015-02-24,1.51061
2015-02-23,1.51211
2015-02-20,1.51222
2015-02-19,1.51222
2015-02-18,1.51559
2015-02-17,1.52247
2015-02-16,1.53127
2015-02-13,1.53382
2015-02-12,1.52762
2015-02-11,1.52899
2015-02-10,1.53402
2015-02-09,1.53962
2015-02-06,1.54539
2015-02-05,1.55614
2015-02-04,1.56253
2015-02-03,1.55558
2015-02-02,1.55204
2015-01-30,1.5384
2015-01-29,1.52072
2015-01-28,1.51505
2015-01-27,1.50737
2015-01-26,1.51352
2015-01-23,1.52516
2015-01-22,1.5095
2015-01-21,1.49518
2015-01-20,1.48697
2015-01-19,1.49409
2015-01-16,1.51466
2015-01-15,1.52378
2015-01-14,1.52046
2015-01-13,1.51456
2015-01-12,1.51255
2015-01-09,1.51999
2015-01-08,1.53387
2015-01-07,1.54684
2015-01-06,1.55738
2015-01-05,1.55661
2015-01-02,1.55234
2015-01-01,1.55351
2014-12-31,1.56028
2014-12-30,1.56769
2014-12-29,1.57303
2014-12-26,1.57835
2014-12-25,1.5789
2014-12-24,1.58069
2014-12-23,1.5802
2014-12-22,1.58373
2014-12-19,1.5991
2014-12-18,1.60821
2014-12-17,1.60612
2014-12-16,1.60397
2014-12-15,1.59846
2014-12-12,1.59793
2014-12-11,1.60936
2014-12-10,1.60782
2014-12-09,1.60005
2014-12-08,1.59178
2014-12-05,1.58901
2014-12-04,1.58691
2014-12-03,1.58689
2014-12-02,1.58794
2014-12-01,1.58597
2014-11-28,1.58712
2014-11-27,1.5921
2014-11-26,1.58441
2014-11-25,1.57333
2014-11-24,1.58129
2014-11-21,1.5951
2014-11-20,1.58465
2014-11-19,1.57456
2014-11-18,1.57886
2014-11-17,1.58215
2014-11-14,1.58265
2014-11-13,1.59286
2014-11-12,1.60163
2014-11-11,1.60409
2014-11-10,1.61049
2014-11-07,1.61382
2014-11-06,1.61226
2014-11-05,1.61318
2014-11-04,1.60926
2014-11-03,1.60989
2014-10-31,1.61147
2014-10-30,1.60712
2014-10-29,1.60965
2014-10-28,1.61248
2014-10-27,1.61264
2014-10-24,1.60527
2014-10-23,1.59685
2014-10-22,1.60272
2014-10-21,1.60788
2014-10-20,1.61076
2014-10-17,1.61041
2014-10-16,1.61246
2014-10-15,1.61221
2014-10-14,1.61344
2014-10-13,1.61339
2014-10-10,1.61265
2014-10-09,1.61721
2014-10-08,1.61327
2014-10-07,1.61284
2014-10-06,1.61078
2014-10-03,1.6126
2014-10-02,1.62067
2014-10-01,1.62722
2014-09-30,1.62288
2014-09-29,1.60736
2014-09-26,1.59451
2014-09-25,1.58855
2014-09-24,1.58457
2014-09-23,1.57921
2014-09-22,1.58142
2014-09-19,1.58596
2014-09-18,1.58448
2014-09-17,1.5853
2014-09-16,1.5889
2014-09-15,1.5858
2014-09-12,1.57487
2014-09-11,1.5662
2014-09-10,1.56017
2014-09-09,1.5568
2014-09-08,1.5612
2014-09-05,1.57506
2014-09-04,1.57772
2014-09-03,1.57162
2014-09-02,1.56879
2014-09-01,1.57189
2014-08-29,1.57457
2014-08-28,1.5784
2014-08-27,1.58194
2014-08-26,1.57834
2014-08-25,1.57809
2014-08-22,1.58283
2014-08-21,1.58167
2014-08-20,1.5791
2014-08-19,1.57794
2014-08-18,1.57773
2014-08-15,1.57871
2014-08-14,1.58379
2014-08-13,1.58378
2014-08-12,1.58341
2014-08-11,1.58259
2014-08-08,1.5797
2014-08-07,1.57936
2014-08-06,1.57599
2014-08-05,1.57716
2014-08-04,1.57769
2014-08-01,1.57666
2014-07-31,1.57615
2014-07-30,1.57435
2014-07-29,1.57126
2014-07-28,1.56887
2014-07-25,1.56126
2014-07-24,1.55316
2014-07-23,1.5559
2014-07-22,1.55527
2014-07-21,1.55556
2014-07-18,1.55539
2014-07-17,1.55184
2014-07-16,1.54612
2014-07-15,1.54481
2014-07-14,1.54468
2014-07-11,1.54621
2014-07-10,1.54853
2014-07-09,1.5521
2014-07-08,1.55525
2014-07-07,1.55602
2014-07-04,1.55771
2014-07-03,1.56012
2014-07-02,1.56104
2014-07-01,1.55807
2014-06-30,1.55431
2014-06-27,1.55867
2014-06-26,1.56459
2014-06-25,1.56137
2014-06-24,1.56046
2014-06-23,1.5624
2014-06-20,1.56171
2014-06-19,1.56405
2014-06-18,1.56386
2014-06-17,1.56174
2014-06-16,1.56272
2014-06-13,1.57052
2014-06-12,1.58758
2014-06-11,1.5972
2014-06-10,1.60254
2014-06-09,1.6064
2014-06-06,1.6126
2014-06-05,1.61478
2014-06-04,1.60957
2014-06-03,1.60636
2014-06-02,1.60435
2014-05-30,1.60181
2014-05-29,1.59769
2014-05-28,1.59555
2014-05-27,1.59541
2014-05-26,1.59484
2014-05-23,1.59644
2014-05-22,1.59697
2014-05-21,1.59142
2014-05-20,1.58718
2014-05-19,1.58541
2014-05-16,1.58308
2014-05-15,1.58673
2014-05-14,1.59284
2014-05-13,1.59651
2014-05-12,1.60141
2014-05-09,1.60526
2014-05-08,1.59938
2014-05-07,1.59642
2014-05-06,1.60107
2014-05-05,1.60424
2014-05-02,1.61078
2014-05-01,1.61648
2014-04-30,1.62013
2014-04-29,1.61593
2014-04-28,1.61124
2014-04-25,1.60863
2014-04-24,1.60785
2014-04-23,1.60838
2014-04-22,1.61039
2014-04-21,1.60844
2014-04-18,1.60667
2014-04-17,1.60254
2014-04-16,1.59585
2014-04-15,1.59637
2014-04-14,1.59547
2014-04-11,1.59086
2014-04-10,1.59042
2014-04-09,1.59301
2014-04-08,1.59435
2014-04-07,1.59891
2014-04-04,1.608
2014-04-03,1.60055
2014-04-02,1.58974
2014-04-01,1.58863
2014-03-31,1.58943
2014-03-28,1.59745
2014-03-27,1.6096
2014-03-26,1.61565
2014-03-25,1.61664
2014-03-24,1.61664
2014-03-21,1.6173
2014-03-20,1.61803
2014-03-19,1.62309
2014-03-18,1.62713
2014-03-17,1.62837
2014-03-14,1.6309
2014-03-13,1.63689
2014-03-12,1.63694
2014-03-11,1.63983
2014-03-10,1.63561
2014-03-07,1.6311
2014-03-06,1.63639
2014-03-05,1.6427
2014-03-04,1.64636
2014-03-03,1.64393
2014-02-28,1.64355
2014-02-27,1.64927
2014-02-26,1.65188
2014-02-25,1.65748
2014-02-24,1.65875
2014-02-21,1.65691
2014-02-20,1.65244
