Date,CURRFX.EURUSD.1
2015-03-06,1.10828
2015-03-05,1.11544
2015-03-04,1.11878
2015-03-03,1.11933
2015-03-02,1.12397
2015-02-27,1.13284
2015-02-26,1.13441
2015-02-25,1.13382
2015-02-24,1.13621
2015-02-23,1.13863
2015-02-20,1.13944
2015-02-19,1.1384
2015-02-18,1.13856
2015-02-17,1.13959
2015-02-16,1.13735
2015-02-13,1.13316
2015-02-12,1.1314
2015-02-11,1.13216
2015-02-10,1.13227
2015-02-09,1.13446
2015-02-06,1.1413
2015-02-05,1.14221
2015-02-04,1.13572
2015-02-03,1.13092
2015-02-02,1.12907
2015-01-30,1.13161
2015-01-29,1.13262
2015-01-28,1.12658
2015-01-27,1.12149
2015-01-26,1.13415
2015-01-23,1.156
2015-01-22,1.15782
2015-01-21,1.15843
2015-01-20,1.15804
2015-01-19,1.16224
2015-01-16,1.17398
2015-01-15,1.17914
2015-01-14,1.18201
2015-01-13,1.18389
2015-01-12,1.18284
2015-01-09,1.18261
2015-01-08,1.18838
2015-01-07,1.19336
2015-01-06,1.19643
2015-01-05,1.20368
2015-01-02,1.21163
2015-01-01,1.21469
2014-12-31,1.21655
2014-12-30,1.21828
2014-12-29,1.2186
2014-12-26,1.21913
2014-12-25,1.21972
2014-12-24,1.22258
2014-12-23,1.22391
2014-12-22,1.2262
2014-12-19,1.23698
2014-12-18,1.24703
2014-12-17,1.24669
2014-12-16,1.24505
2014-12-15,1.24508
2014-12-12,1.24182
2014-12-11,1.23777
2014-12-10,1.23262
2014-12-09,1.23046
2014-12-08,1.23046
2014-12-05,1.2341
2014-12-04,1.23809
2014-12-03,1.2447
2014-12-02,1.24574
2014-12-01,1.24654
2014-11-28,1.24874
2014-11-27,1.24651
2014-11-26,1.24277
2014-11-25,1.2399
2014-11-24,1.24472
2014-11-21,1.2538
2014-11-20,1.2521
2014-11-19,1.24996
2014-11-18,1.25131
2014-11-17,1.25008
2014-11-14,1.24582
2014-11-13,1.24513
2014-11-12,1.24434
2014-11-11,1.24605
2014-11-10,1.24616
2014-11-07,1.24881
2014-11-06,1.25171
2014-11-05,1.25092
2014-11-04,1.25044
2014-11-03,1.25545
2014-10-31,1.26539
2014-10-30,1.27233
2014-10-29,1.27086
2014-10-28,1.26866
2014-10-27,1.26619
2014-10-24,1.26642
2014-10-23,1.27234
2014-10-22,1.27727
2014-10-21,1.27655
2014-10-20,1.27744
2014-10-17,1.2762
2014-10-16,1.26929
2014-10-15,1.26836
2014-10-14,1.26579
2014-10-13,1.26667
2014-10-10,1.27067
2014-10-09,1.26537
2014-10-08,1.26022
2014-10-07,1.25386
2014-10-06,1.2561
2014-10-03,1.26327
2014-10-02,1.26275
2014-10-01,1.26652
2014-09-30,1.26856
2014-09-29,1.27103
2014-09-26,1.27777
2014-09-25,1.28405
2014-09-24,1.28558
2014-09-23,1.28396
2014-09-22,1.28496
2014-09-19,1.29076
2014-09-18,1.29486
2014-09-17,1.29468
2014-09-16,1.29517
2014-09-15,1.29471
2014-09-12,1.29244
2014-09-11,1.29161
2014-09-10,1.29126
2014-09-09,1.29441
2014-09-08,1.30011
2014-09-05,1.31006
2014-09-04,1.31332
2014-09-03,1.31265
2014-09-02,1.31318
2014-09-01,1.31543
2014-08-29,1.3187
2014-08-28,1.31844
2014-08-27,1.3196
2014-08-26,1.32157
2014-08-25,1.32506
2014-08-22,1.32765
2014-08-21,1.33149
2014-08-20,1.33585
2014-08-19,1.33891
2014-08-18,1.33885
2014-08-15,1.33682
2014-08-14,1.33663
2014-08-13,1.33764
2014-08-12,1.34007
2014-08-11,1.33971
2014-08-08,1.33701
2014-08-07,1.33783
2014-08-06,1.34075
2014-08-05,1.3426
2014-08-04,1.34176
2014-08-01,1.33947
2014-07-31,1.34093
2014-07-30,1.34297
2014-07-29,1.34326
2014-07-28,1.34433
2014-07-25,1.34773
2014-07-24,1.34773
2014-07-23,1.3509
2014-07-22,1.35258
2014-07-21,1.35251
2014-07-18,1.35347
2014-07-17,1.35671
2014-07-16,1.36067
2014-07-15,1.36119
2014-07-14,1.36135
2014-07-11,1.36231
2014-07-10,1.36141
2014-07-09,1.36009
2014-07-08,1.36114
2014-07-07,1.36114
2014-07-04,1.36489
2014-07-03,1.36742
2014-07-02,1.36775
2014-07-01,1.36561
2014-06-30,1.36369
2014-06-27,1.36188
2014-06-26,1.36125
2014-06-25,1.36016
2014-06-24,1.35974
2014-06-23,1.36033
2014-06-20,1.35908
2014-06-19,1.35596
2014-06-18,1.35546
2014-06-17,1.35462
2014-06-16,1.35423
2014-06-13,1.35389
2014-06-12,1.35474
2014-06-11,1.35881
2014-06-10,1.36301
2014-06-09,1.36298
2014-06-06,1.36112
2014-06-05,1.36142
2014-06-04,1.36138
2014-06-03,1.36225
2014-06-02,1.3623
2014-05-30,1.36095
2014-05-29,1.36268
2014-05-28,1.36396
2014-05-27,1.36325
2014-05-26,1.36438
2014-05-23,1.36771
2014-05-22,1.36953
2014-05-21,1.37055
2014-05-20,1.3704
2014-05-19,1.36967
2014-05-16,1.37053
2014-05-15,1.3721
2014-05-14,1.37444
2014-05-13,1.37606
2014-05-12,1.3811
2014-05-09,1.39104
2014-05-08,1.39184
2014-05-07,1.38967
2014-05-06,1.38748
2014-05-05,1.38726
2014-05-02,1.38566
2014-05-01,1.38364
2014-04-30,1.38448
2014-04-29,1.38406
2014-04-28,1.38287
2014-04-25,1.38226
2014-04-24,1.38146
2014-04-23,1.38043
2014-04-22,1.38104
2014-04-21,1.38201
2014-04-18,1.38299
2014-04-17,1.38184
2014-04-16,1.38209
2014-04-15,1.38554
2014-04-14,1.38781
2014-04-11,1.38419
2014-04-10,1.37907
2014-04-09,1.37492
2014-04-08,1.37136
2014-04-07,1.37209
2014-04-04,1.37639
2014-04-03,1.37876
2014-04-02,1.37795
2014-04-01,1.37623
2014-03-31,1.37589
2014-03-28,1.37826
2014-03-27,1.38114
2014-03-26,1.38129
2014-03-25,1.37945
2014-03-24,1.37963
2014-03-21,1.38435
2014-03-20,1.39142
2014-03-19,1.39162
2014-03-18,1.39104
2014-03-17,1.39135
2014-03-14,1.3902
2014-03-13,1.38705
2014-03-12,1.38705
2014-03-11,1.38796
2014-03-10,1.38399
2014-03-07,1.37554
2014-03-06,1.37372
2014-03-05,1.37544
2014-03-04,1.37822
2014-03-03,1.37561
2014-02-28,1.36972
2014-02-27,1.37305
2014-02-26,1.37412
2014-02-25,1.37388
2014-02-24,1.37342
2014-02-21,1.37367
2014-02-20,1.37452
2014-02-19,1.37188
2014-02-18,1.37009
2014-02-17,1.36731
2014-02-14,1.36294
2014-02-13,1.36323
2014-02-12,1.36491
2014-02-11,1.36331
2014-02-10,1.36039
2014-02-07,1.3538
2014-02-06,1.35184
2014-02-05,1.351
2014-02-04,1.34942
2014-02-03,1.353
2014-01-31,1.36286
2014-01-30,1.36612
2014-01-29,1.36705
2014-01-28,1.36786
2014-01-27,1.36503
2014-01-24,1.35884
2014-01-23,1.35521
2014-01-22,1.35446
2014-01-21,1.35446
2014-01-20,1.35662
2014-01-17,1.36172
2014-01-16,1.36441
2014-01-15,1.36693
2014-01-14,1.3667
2014-01-13,1.36373
2014-01-10,1.35943
2014-01-09,1.36127
2014-01-08,1.36183
2014-01-07,1.3599
2014-01-06,1.36346
2014-01-03,1.37434
2014-01-02,1.37876
2014-01-01,1.37791
2013-12-31,1.37606
2013-12-30,1.37271
2013-12-27,1.36839
2013-12-26,1.3684
2013-12-25,1.3684
2013-12-24,1.3682
2013-12-23,1.36729
2013-12-20,1.37055
2013-12-19,1.37609
2013-12-18,1.37609
2013-12-17,1.37527
2013-12-16,1.37547
2013-12-13,1.37732
2013-12-12,1.37642
2013-12-11,1.37393
2013-12-10,1.37126
2013-12-09,1.36737
2013-12-06,1.36024
2013-12-05,1.3575
2013-12-04,1.3566
2013-12-03,1.3579
2013-12-02,1.35908
2013-11-29,1.35861
2013-11-28,1.35656
2013-11-27,1.35374
2013-11-26,1.35405
2013-11-25,1.35141
2013-11-22,1.34713
2013-11-21,1.3517
2013-11-20,1.351
2013-11-19,1.35004
2013-11-18,1.34835
2013-11-15,1.34529
2013-11-14,1.34259
2013-11-13,1.33985
2013-11-12,1.33771
2013-11-11,1.34105
2013-11-08,1.34857
2013-11-07,1.35003
2013-11-06,1.34957
2013-11-05,1.34954
2013-11-04,1.35533
2013-11-01,1.37009
2013-10-31,1.37571
2013-10-30,1.37815
2013-10-29,1.38017
2013-10-28,1.37999
2013-10-25,1.37874
2013-10-24,1.37506
2013-10-23,1.36967
2013-10-22,1.36798
2013-10-21,1.36561
2013-10-18,1.35727
2013-10-17,1.35272
2013-10-16,1.35433
