Date,CURRFX.GBPAUD.1
2015-03-06,1.95613
2015-03-05,1.96273
2015-03-04,1.97278
2015-03-03,1.97818
2015-03-02,1.97527
2015-02-27,1.97035
2015-02-26,1.97309
2015-02-25,1.97918
2015-02-24,1.96797
2015-02-23,1.96999
2015-02-20,1.97673
2015-02-19,1.97076
2015-02-18,1.97343
2015-02-17,1.98084
2015-02-16,1.98431
2015-02-13,1.981
2015-02-12,1.96373
2015-02-11,1.95506
2015-02-10,1.95539
2015-02-09,1.95574
2015-02-06,1.95404
2015-02-05,1.94957
2015-02-04,1.94288
2015-02-03,1.93459
2015-02-02,1.93638
2015-01-30,1.92122
2015-01-29,1.90519
2015-01-28,1.90422
2015-01-27,1.89876
2015-01-26,1.88484
2015-01-23,1.86322
2015-01-22,1.85007
2015-01-21,1.84568
2015-01-20,1.84262
2015-01-19,1.84638
2015-01-16,1.8592
2015-01-15,1.86312
2015-01-14,1.85495
2015-01-13,1.84922
2015-01-12,1.8527
2015-01-09,1.86628
2015-01-08,1.87453
2015-01-07,1.88082
2015-01-06,1.89225
2015-01-05,1.9002
2015-01-02,1.90634
2015-01-01,1.90311
2014-12-31,1.90706
2014-12-30,1.91294
2014-12-29,1.91673
2014-12-26,1.91754
2014-12-25,1.91582
2014-12-24,1.91728
2014-12-23,1.91833
2014-12-22,1.9174
2014-12-19,1.91651
2014-12-18,1.91461
2014-12-17,1.9068
2014-12-16,1.90604
2014-12-15,1.90062
2014-12-12,1.89051
2014-12-11,1.88858
2014-12-10,1.88624
2014-12-09,1.87699
2014-12-08,1.8714
2014-12-05,1.86651
2014-12-04,1.85753
2014-12-03,1.85074
2014-12-02,1.84529
2014-12-01,1.84036
2014-11-28,1.84283
2014-11-27,1.83997
2014-11-26,1.82366
2014-11-25,1.80889
2014-11-24,1.81153
2014-11-21,1.81597
2014-11-20,1.80239
2014-11-19,1.7933
2014-11-18,1.79083
2014-11-17,1.796
2014-11-14,1.81289
2014-11-13,1.82822
2014-11-12,1.83583
2014-11-11,1.83679
2014-11-10,1.84493
2014-11-07,1.85
2014-11-06,1.83944
2014-11-05,1.83348
2014-11-04,1.82661
2014-11-03,1.81845
2014-10-31,1.81866
2014-10-30,1.82156
2014-10-29,1.82765
2014-10-28,1.8292
2014-10-27,1.82878
2014-10-24,1.82939
2014-10-23,1.83245
2014-10-22,1.83642
2014-10-21,1.83851
2014-10-20,1.83504
2014-10-17,1.82488
2014-10-16,1.82428
2014-10-15,1.83336
2014-10-14,1.84554
2014-10-13,1.84311
2014-10-10,1.8295
2014-10-09,1.82992
2014-10-08,1.8321
2014-10-07,1.83751
2014-10-06,1.84106
2014-10-03,1.84852
2014-10-02,1.85866
2014-10-01,1.85915
2014-09-30,1.85832
2014-09-29,1.85253
2014-09-26,1.8489
2014-09-25,1.84617
2014-09-24,1.84151
2014-09-23,1.8321
2014-09-22,1.82295
2014-09-19,1.81224
2014-09-18,1.79762
2014-09-17,1.7975
2014-09-16,1.80119
2014-09-15,1.79027
2014-09-12,1.76907
2014-09-11,1.75338
2014-09-10,1.73682
2014-09-09,1.73491
2014-09-08,1.74716
2014-09-05,1.76069
2014-09-04,1.77268
2014-09-03,1.7794
2014-09-02,1.77806
2014-09-01,1.77576
2014-08-29,1.77431
2014-08-28,1.77808
2014-08-27,1.78126
2014-08-26,1.78009
2014-08-25,1.78188
2014-08-22,1.78739
2014-08-21,1.78789
2014-08-20,1.79026
2014-08-19,1.7932
2014-08-18,1.7914
2014-08-15,1.79659
2014-08-14,1.80682
2014-08-13,1.81129
2014-08-12,1.80959
2014-08-11,1.81025
2014-08-08,1.81182
2014-08-07,1.80928
2014-08-06,1.80836
2014-08-05,1.80617
2014-08-04,1.80964
2014-08-01,1.81286
2014-07-31,1.80768
2014-07-30,1.80613
2014-07-29,1.8053
2014-07-28,1.8053
2014-07-25,1.80485
2014-07-24,1.81196
2014-07-23,1.81904
2014-07-22,1.82012
2014-07-21,1.82277
2014-07-18,1.82875
2014-07-17,1.8292
2014-07-16,1.8236
2014-07-15,1.82152
2014-07-14,1.82336
2014-07-11,1.82369
2014-07-10,1.8225
2014-07-09,1.82625
2014-07-08,1.8312
2014-07-07,1.83122
2014-07-04,1.82309
2014-07-03,1.81287
2014-07-02,1.81107
2014-07-01,1.80963
2014-06-30,1.80724
2014-06-27,1.80906
2014-06-26,1.81011
2014-06-25,1.80791
2014-06-24,1.80885
2014-06-23,1.81089
2014-06-20,1.81107
2014-06-19,1.81431
2014-06-18,1.81134
2014-06-17,1.80652
2014-06-16,1.79919
2014-06-13,1.78845
2014-06-12,1.78955
2014-06-11,1.7947
2014-06-10,1.79839
2014-06-09,1.80137
2014-06-06,1.80416
2014-06-05,1.80695
2014-06-04,1.80911
2014-06-03,1.80494
2014-06-02,1.80069
2014-05-30,1.80639
2014-05-29,1.81561
2014-05-28,1.82041
2014-05-27,1.82307
2014-05-26,1.82465
2014-05-23,1.82659
2014-05-22,1.82165
2014-05-21,1.80748
2014-05-20,1.79764
2014-05-19,1.79397
2014-05-16,1.79108
2014-05-15,1.7953
2014-05-14,1.80143
2014-05-13,1.80085
2014-05-12,1.80375
2014-05-09,1.81218
2014-05-08,1.81706
2014-05-07,1.81819
2014-05-06,1.81943
2014-05-05,1.81907
2014-05-02,1.8177
2014-05-01,1.81579
2014-04-30,1.8152
2014-04-29,1.81219
2014-04-28,1.81095
2014-04-25,1.80896
2014-04-24,1.80332
2014-04-23,1.79834
2014-04-22,1.79997
2014-04-21,1.79846
2014-04-18,1.79486
2014-04-17,1.78742
2014-04-16,1.78121
2014-04-15,1.7798
2014-04-14,1.78189
2014-04-11,1.785
2014-04-10,1.78904
2014-04-09,1.78947
2014-04-08,1.7865
2014-04-07,1.79003
2014-04-04,1.80019
2014-04-03,1.7994
2014-04-02,1.79925
2014-04-01,1.7999
