Date,CURRFX.GBPCAD.1
2015-03-06,1.90403
2015-03-05,1.91709
2015-03-04,1.92381
2015-03-03,1.92819
2015-03-02,1.93023
2015-02-27,1.92919
2015-02-26,1.93497
2015-02-25,1.94134
2015-02-24,1.93346
2015-02-23,1.92857
2015-02-20,1.92014
2015-02-19,1.91012
2015-02-18,1.9116
2015-02-17,1.91695
2015-02-16,1.91919
2015-02-13,1.92319
2015-02-12,1.91587
2015-02-11,1.90364
2015-02-10,1.90563
2015-02-09,1.90838
2015-02-06,1.90203
2015-02-05,1.89175
2015-02-04,1.89702
2015-02-03,1.91243
2015-02-02,1.91002
2015-01-30,1.89427
2015-01-29,1.88618
2015-01-28,1.87884
2015-01-27,1.86725
2015-01-26,1.86455
2015-01-23,1.85717
2015-01-22,1.83028
2015-01-21,1.81426
2015-01-20,1.81334
2015-01-19,1.81599
2015-01-16,1.81755
2015-01-15,1.81621
2015-01-14,1.80891
2015-01-13,1.80034
2015-01-12,1.79284
2015-01-09,1.78602
2015-01-08,1.79075
2015-01-07,1.79474
2015-01-06,1.80259
2015-01-05,1.80739
2015-01-02,1.8082
2015-01-01,1.80645
2014-12-31,1.80707
2014-12-30,1.80872
2014-12-29,1.80935
2014-12-26,1.80786
2014-12-25,1.80622
2014-12-24,1.81069
2014-12-23,1.81414
2014-12-22,1.81378
2014-12-19,1.81943
2014-12-18,1.82721
2014-12-17,1.82353
2014-12-16,1.8187
2014-12-15,1.81348
2014-12-12,1.80139
2014-12-11,1.79656
2014-12-10,1.79154
2014-12-09,1.78412
2014-12-08,1.7821
2014-12-05,1.783
2014-12-04,1.78289
2014-12-03,1.7841
2014-12-02,1.78715
2014-12-01,1.78343
2014-11-28,1.77571
2014-11-27,1.77114
2014-11-26,1.76715
2014-11-25,1.76123
2014-11-24,1.76541
2014-11-21,1.77556
2014-11-20,1.77052
2014-11-19,1.76798
2014-11-18,1.76953
2014-11-17,1.77494
2014-11-14,1.78928
2014-11-13,1.79982
2014-11-12,1.80209
2014-11-11,1.7991
2014-11-10,1.80507
2014-11-07,1.8196
2014-11-06,1.82154
2014-11-05,1.81454
2014-11-04,1.80436
2014-11-03,1.79795
2014-10-31,1.79394
2014-10-30,1.80354
2014-10-29,1.80993
2014-10-28,1.80885
2014-10-27,1.80585
2014-10-24,1.80402
2014-10-23,1.81023
2014-10-22,1.81788
2014-10-21,1.81675
2014-10-20,1.81151
2014-10-17,1.8046
2014-10-16,1.80046
2014-10-15,1.79869
2014-10-14,1.80143
2014-10-13,1.79919
2014-10-10,1.797
2014-10-09,1.7958
2014-10-08,1.7946
2014-10-07,1.79462
2014-10-06,1.79748
2014-10-03,1.80523
2014-10-02,1.81358
2014-10-01,1.8126
2014-09-30,1.81233
2014-09-29,1.81179
2014-09-26,1.81163
2014-09-25,1.81164
2014-09-24,1.80248
2014-09-23,1.79089
2014-09-22,1.78808
2014-09-19,1.79036
2014-09-18,1.78832
2014-09-17,1.79377
2014-09-16,1.80123
2014-09-15,1.79664
2014-09-12,1.77813
2014-09-11,1.7702
2014-09-10,1.76732
2014-09-09,1.76875
2014-09-08,1.78075
2014-09-05,1.79093
2014-09-04,1.7994
2014-09-03,1.80448
2014-09-02,1.80536
2014-09-01,1.80387
2014-08-29,1.80279
2014-08-28,1.81098
2014-08-27,1.81749
2014-08-26,1.81557
2014-08-25,1.81557
2014-08-22,1.81928
2014-08-21,1.81966
2014-08-20,1.81955
2014-08-19,1.82042
2014-08-18,1.81981
2014-08-15,1.82405
2014-08-14,1.83236
2014-08-13,1.83704
2014-08-12,1.83976
2014-08-11,1.84038
2014-08-08,1.84235
2014-08-07,1.84545
2014-08-06,1.84202
2014-08-05,1.83767
2014-08-04,1.83884
2014-08-01,1.84183
2014-07-31,1.83869
2014-07-30,1.83557
2014-07-29,1.83577
2014-07-28,1.8325
2014-07-25,1.82781
2014-07-24,1.83137
2014-07-23,1.83365
2014-07-22,1.8363
2014-07-21,1.8363
2014-07-18,1.841
2014-07-17,1.84143
2014-07-16,1.83672
2014-07-15,1.83612
2014-07-14,1.8334
2014-07-11,1.8268
2014-07-10,1.82821
2014-07-09,1.82831
2014-07-08,1.8272
2014-07-07,1.82793
2014-07-04,1.82722
2014-07-03,1.82618
2014-07-02,1.8237
2014-07-01,1.81902
2014-06-30,1.81878
2014-06-27,1.82192
2014-06-26,1.82361
2014-06-25,1.82569
2014-06-24,1.82857
2014-06-23,1.8348
2014-06-20,1.84235
2014-06-19,1.84248
2014-06-18,1.84271
2014-06-17,1.84304
2014-06-16,1.83636
2014-06-13,1.82635
2014-06-12,1.82797
2014-06-11,1.83266
2014-06-10,1.83594
2014-06-09,1.83577
2014-06-06,1.83256
2014-06-05,1.82859
2014-06-04,1.82442
2014-06-03,1.81931
2014-06-02,1.81663
2014-05-30,1.81729
2014-05-29,1.82328
2014-05-28,1.82787
2014-05-27,1.82936
