Date,CURRFX.GBPCHF.1
2015-03-06,1.47518
2015-03-05,1.47441
2015-03-04,1.47324
2015-03-03,1.47192
2015-03-02,1.47206
2015-02-27,1.47135
2015-02-26,1.46923
2015-02-25,1.46349
2015-02-24,1.45206
2015-02-23,1.44984
2015-02-20,1.45316
2015-02-19,1.44106
2015-02-18,1.43334
2015-02-17,1.43392
2015-02-16,1.43029
2015-02-13,1.41864
2015-02-12,1.41228
2015-02-11,1.41041
2015-02-10,1.41041
2015-02-09,1.41141
2015-02-06,1.40761
2015-02-05,1.40071
2015-02-04,1.39514
2015-02-03,1.39239
2015-02-02,1.38581
2015-01-30,1.37827
2015-01-29,1.36907
2015-01-28,1.35261
2015-01-27,1.32792
2015-01-26,1.31418
2015-01-23,1.30811
2015-01-22,1.31821
2015-01-21,1.32198
2015-01-20,1.30789
2015-01-19,1.3629
2015-01-16,1.49256
2015-01-15,1.54586
2015-01-14,1.54014
2015-01-13,1.53776
2015-01-12,1.5364
2015-01-09,1.53374
2015-01-08,1.53232
2015-01-07,1.53427
2015-01-06,1.53619
2015-01-05,1.54022
2015-01-02,1.5458
2015-01-01,1.54042
2014-12-31,1.5365
2014-12-30,1.53599
2014-12-29,1.53569
2014-12-26,1.53351
2014-12-25,1.53253
2014-12-24,1.53345
2014-12-23,1.53626
2014-12-22,1.53357
2014-12-19,1.52114
2014-12-18,1.51192
2014-12-17,1.51159
2014-12-16,1.51434
2014-12-15,1.51605
2014-12-12,1.51974
2014-12-11,1.52249
2014-12-10,1.52491
2014-12-09,1.52588
2014-12-08,1.52692
2014-12-05,1.52845
2014-12-04,1.52363
2014-12-03,1.51689
2014-12-02,1.51228
2014-12-01,1.51307
2014-11-28,1.51709
2014-11-27,1.51649
2014-11-26,1.51783
2014-11-25,1.51893
2014-11-24,1.51238
2014-11-21,1.50123
2014-11-20,1.50125
2014-11-19,1.5047
2014-11-18,1.5042
2014-11-17,1.50895
2014-11-14,1.52506
2014-11-13,1.53313
2014-11-12,1.53417
2014-11-11,1.53508
2014-11-10,1.53508
2014-11-07,1.53775
2014-11-06,1.53787
2014-11-05,1.54097
2014-11-04,1.5415
2014-11-03,1.53608
2014-10-31,1.52886
2014-10-30,1.52829
2014-10-29,1.53019
2014-10-28,1.5309
2014-10-27,1.53085
2014-10-24,1.52923
2014-10-23,1.52751
2014-10-22,1.52511
2014-10-21,1.52356
2014-10-20,1.51794
2014-10-17,1.51155
2014-10-16,1.51751
2014-10-15,1.5273
2014-10-14,1.53585
2014-10-13,1.53882
2014-10-10,1.53889
2014-10-09,1.54071
2014-10-08,1.54315
2014-10-07,1.54442
2014-10-06,1.54472
2014-10-03,1.54636
2014-10-02,1.54869
2014-10-01,1.54666
2014-09-30,1.54535
2014-09-29,1.54574
2014-09-26,1.5443
2014-09-25,1.54023
2014-09-24,1.53668
2014-09-23,1.5345
2014-09-22,1.53206
2014-09-19,1.52794
2014-09-18,1.52005
2014-09-17,1.51664
2014-09-16,1.51469
2014-09-15,1.51469
2014-09-12,1.51469
2014-09-11,1.50743
2014-09-10,1.50634
2014-09-09,1.5123
2014-09-08,1.51848
2014-09-05,1.51466
2014-09-04,1.51639
2014-09-03,1.52393
2014-09-02,1.52567
2014-09-01,1.52149
2014-08-29,1.5172
2014-08-28,1.51789
2014-08-27,1.51651
2014-08-26,1.51651
2014-08-25,1.51435
2014-08-22,1.51402
2014-08-21,1.51363
2014-08-20,1.51312
2014-08-19,1.51074
2014-08-18,1.50903
2014-08-15,1.51576
2014-08-14,1.52237
2014-08-13,1.52299
2014-08-12,1.5201
2014-08-11,1.52307
2014-08-08,1.53121
2014-08-07,1.53262
2014-08-06,1.52953
2014-08-05,1.52497
2014-08-04,1.52823
2014-08-01,1.53604
2014-07-31,1.53647
2014-07-30,1.53568
2014-07-29,1.53604
2014-07-28,1.53579
2014-07-25,1.53658
2014-07-24,1.53802
2014-07-23,1.53545
2014-07-22,1.53441
2014-07-21,1.53592
2014-07-18,1.53731
2014-07-17,1.53408
2014-07-16,1.52762
2014-07-15,1.52611
2014-07-14,1.52727
2014-07-11,1.52823
2014-07-10,1.52928
2014-07-09,1.53121
2014-07-08,1.53358
2014-07-07,1.53214
2014-07-04,1.52647
2014-07-03,1.52214
2014-07-02,1.51847
2014-07-01,1.51731
2014-06-30,1.51815
2014-06-27,1.51808
2014-06-26,1.51809
2014-06-25,1.52192
2014-06-24,1.52337
2014-06-23,1.52253
2014-06-20,1.52273
2014-06-19,1.5241
2014-06-18,1.52545
2014-06-17,1.52676
2014-06-16,1.52148
2014-06-13,1.51128
2014-06-12,1.50877
2014-06-11,1.50666
2014-06-10,1.50311
2014-06-09,1.50172
2014-06-06,1.50177
2014-06-05,1.50203
2014-06-04,1.50311
2014-06-03,1.50163
2014-06-02,1.50034
2014-05-30,1.50198
2014-05-29,1.50595
2014-05-28,1.50784
2014-05-27,1.5081
2014-05-26,1.50855
2014-05-23,1.50753
2014-05-22,1.50402
2014-05-21,1.50095
2014-05-20,1.50042
2014-05-19,1.49879
2014-05-16,1.49483
2014-05-15,1.49622
2014-05-14,1.49723
2014-05-13,1.49549
2014-05-12,1.49079
2014-05-09,1.48534
2014-05-08,1.48362
2014-05-07,1.48169
2014-05-06,1.48098
2014-05-05,1.48288
2014-05-02,1.48532
2014-05-01,1.48417
2014-04-30,1.48139
2014-04-29,1.48042
2014-04-28,1.48142
2014-04-25,1.48288
2014-04-24,1.48545
2014-04-23,1.48633
2014-04-22,1.48386
2014-04-21,1.48244
2014-04-18,1.47917
2014-04-17,1.47467
2014-04-16,1.47102
2014-04-15,1.46779
2014-04-14,1.46884
2014-04-11,1.47612
2014-04-10,1.47836
2014-04-09,1.47709
2014-04-08,1.47744
2014-04-07,1.47778
2014-04-04,1.47435
2014-04-03,1.47134
2014-04-02,1.47246
2014-04-01,1.4747
2014-03-31,1.47341
2014-03-28,1.46758
2014-03-27,1.46058
2014-03-26,1.45631
2014-03-25,1.45628
2014-03-24,1.45679
2014-03-21,1.45664
2014-03-20,1.45203
2014-03-19,1.45187
2014-03-18,1.45268
2014-03-17,1.45297
2014-03-14,1.45474
2014-03-13,1.45824
2014-03-12,1.46239
2014-03-11,1.46545
2014-03-10,1.47263
2014-03-07,1.48126
2014-03-06,1.47872
2014-03-05,1.47385
2014-03-04,1.4729
2014-03-03,1.47749
2014-02-28,1.48253
2014-02-27,1.48113
2014-02-26,1.47944
2014-02-25,1.47666
2014-02-24,1.4775
2014-02-21,1.48392
2014-02-20,1.48392
2014-02-19,1.48979
2014-02-18,1.49384
2014-02-17,1.49325
2014-02-14,1.48823
2014-02-13,1.47977
2014-02-12,1.47255
2014-02-11,1.47307
2014-02-10,1.47318
2014-02-07,1.47341
2014-02-06,1.47395
2014-02-05,1.47664
2014-02-04,1.48508
2014-02-03,1.48785
2014-01-31,1.48576
2014-01-30,1.4882
2014-01-29,1.48557
2014-01-28,1.47821
2014-01-27,1.48465
2014-01-24,1.50357
2014-01-23,1.50221
2014-01-22,1.49774
2014-01-21,1.49537
2014-01-20,1.49107
2014-01-17,1.48526
2014-01-16,1.4837
2014-01-15,1.48028
2014-01-14,1.48485
2014-01-13,1.49128
2014-01-10,1.49648
2014-01-09,1.49138
2014-01-08,1.48548
2014-01-07,1.4843
2014-01-06,1.48415
2014-01-03,1.47783
2014-01-02,1.47098
2014-01-01,1.46862
2013-12-31,1.46853
2013-12-30,1.46906
2013-12-27,1.46815
2013-12-26,1.46562
2013-12-25,1.46393
2013-12-24,1.46384
2013-12-23,1.4649
2013-12-20,1.45914
2013-12-19,1.44675
2013-12-18,1.44612
2013-12-17,1.44874
2013-12-16,1.45094
2013-12-13,1.45408
2013-12-12,1.45813
2013-12-11,1.46085
2013-12-10,1.45929
2013-12-09,1.46412
2013-12-06,1.47642
2013-12-05,1.48267
2013-12-04,1.48624
2013-12-03,1.48551
2013-12-02,1.48201
2013-11-29,1.47716
2013-11-28,1.47246
2013-11-27,1.47192
2013-11-26,1.47261
2013-11-25,1.47329
2013-11-22,1.47442
2013-11-21,1.47033
2013-11-20,1.47062
2013-11-19,1.47324
2013-11-18,1.47263
2013-11-15,1.4667
2013-11-14,1.46316
2013-11-13,1.46858
2013-11-12,1.47437
2013-11-11,1.47326
2013-11-08,1.46824
2013-11-07,1.46352
2013-11-06,1.45713
2013-11-05,1.45357
2013-11-04,1.45087
2013-11-01,1.44532
2013-10-31,1.44276
2013-10-30,1.44396
2013-10-29,1.44461
2013-10-28,1.44474
2013-10-25,1.44474
2013-10-24,1.45048
2013-10-23,1.4567
2013-10-22,1.45849
2013-10-21,1.45753
2013-10-20,1.45851
2013-10-19,1.45835
2013-10-18,1.45785
2013-10-17,1.45903
2013-10-16,1.45634
2013-10-15,1.45411
2013-10-14,1.45405
2013-10-13,1.4542
2013-10-12,1.45336
2013-10-11,1.45337
2013-10-10,1.45411
2013-10-09,1.45375
2013-10-08,1.45234
2013-10-07,1.45521
2013-10-06,1.45226
2013-10-05,1.45493
2013-10-04,1.46227
2013-10-03,1.46604
2013-10-02,1.46538
2013-10-01,1.46267
2013-09-30,1.46184
2013-09-29,1.46132
2013-09-28,1.4605
2013-09-27,1.46121
2013-09-26,1.46035
2013-09-25,1.45991
2013-09-24,1.4594
2013-09-23,1.46074
2013-09-22,1.45809
2013-09-21,1.46215
2013-09-20,1.46996
2013-09-19,1.47455
2013-09-18,1.47414
2013-09-17,1.47516
2013-09-16,1.47408
2013-09-15,1.47505
2013-09-14,1.47289
2013-09-13,1.47149
2013-09-12,1.47001
2013-09-11,1.46673
2013-09-10,1.4663
2013-09-09,1.4663
2013-09-08,1.46768
2013-09-07,1.46944
2013-09-06,1.46468
2013-09-05,1.45881
2013-09-04,1.45358
2013-09-03,1.44715
2013-09-02,1.44031
2013-09-01,1.442
2013-08-31,1.44078
2013-08-30,1.43379
2013-08-29,1.42881
2013-08-28,1.43332
2013-08-27,1.4362
2013-08-26,1.43765
2013-08-25,1.4366
2013-08-24,1.44012
2013-08-23,1.44132
2013-08-22,1.44115
2013-08-21,1.44458
2013-08-20,1.44799
2013-08-19,1.44907
2013-08-18,1.44794
2013-08-17,1.44942
2013-08-16,1.44956
2013-08-15,1.44285
2013-08-14,1.43494
2013-08-13,1.43134
2013-08-12,1.42932
2013-08-11,1.42974
2013-08-10,1.4294
2013-08-09,1.42686
2013-08-08,1.42382
2013-08-07,1.42369
2013-08-06,1.42298
2013-08-05,1.41752
2013-08-04,1.42017
2013-08-03,1.41605
2013-08-02,1.41199
2013-08-01,1.41681
