Date,CURRFX.GBPJPY.1
2015-03-06,183.087
2015-03-05,183.704
2015-03-04,184.272
2015-03-03,184.592
2015-03-02,184.579
2015-02-27,184.285
2015-02-26,184.043
2015-02-25,183.767
2015-02-24,183.257
2015-02-23,183.296
2015-02-20,183.413
2015-02-19,183.013
2015-02-18,182.439
2015-02-17,182.697
2015-02-16,183.013
2015-02-13,182.972
2015-02-12,182.131
2015-02-11,181.059
2015-02-10,181.186
2015-02-09,180.627
2015-02-06,178.702
2015-02-05,177.878
2015-02-04,176.864
2015-02-03,176.949
2015-02-02,177.558
2015-01-30,178.51
2015-01-29,178.786
2015-01-28,178.109
2015-01-27,177.074
2015-01-26,177.299
2015-01-23,178.457
2015-01-22,178.698
2015-01-21,178.5
2015-01-20,177.843
2015-01-19,178.151
2015-01-16,178.163
2015-01-15,178.418
2015-01-14,179.417
2015-01-13,179.66
2015-01-12,179.969
2015-01-09,180.316
2015-01-08,180.447
2015-01-07,181.96
2015-01-06,183.902
2015-01-05,185.424
2015-01-02,186.566
2015-01-01,186.264
2014-12-31,186.687
2014-12-30,187.337
2014-12-29,187.326
2014-12-26,187.33
2014-12-25,187.146
2014-12-24,187.094
2014-12-23,186.933
2014-12-22,186.309
2014-12-19,184.845
2014-12-18,183.907
2014-12-17,184.538
2014-12-16,186.092
2014-12-15,186.435
2014-12-12,186.335
2014-12-11,187.158
2014-12-10,188.306
2014-12-09,189.132
2014-12-08,188.827
2014-12-05,187.609
2014-12-04,186.831
2014-12-03,186.195
2014-12-02,185.745
2014-12-01,185.523
2014-11-28,185.381
2014-11-27,185.304
2014-11-26,185.149
2014-11-25,184.841
2014-11-24,184.863
2014-11-21,184.741
2014-11-20,183.26
2014-11-19,182.388
2014-11-18,182.107
2014-11-17,182.176
2014-11-14,182.565
2014-11-13,183.181
2014-11-12,182.492
2014-11-11,181.768
2014-11-10,182.223
2014-11-07,182.68
2014-11-06,182.15
2014-11-05,181.332
2014-11-04,180.418
2014-11-03,177.834
2014-10-31,174.425
2014-10-30,174.3
2014-10-29,174.017
2014-10-28,173.905
2014-10-27,173.5
2014-10-24,172.401
2014-10-23,172.231
2014-10-22,172.471
2014-10-21,172.367
2014-10-20,171.179
2014-10-17,169.87
2014-10-16,170.493
2014-10-15,171.785
2014-10-14,172.786
2014-10-13,173.599
2014-10-10,174.33
2014-10-09,174.261
2014-10-08,174.71
2014-10-07,175.086
2014-10-06,175.446
2014-10-03,176.404
2014-10-02,177.646
2014-10-01,177.749
2014-09-30,177.676
2014-09-29,177.713
2014-09-26,178.007
2014-09-25,178.084
2014-09-24,178.005
2014-09-23,177.835
2014-09-22,177.481
2014-09-19,176.466
2014-09-18,174.526
2014-09-17,173.977
2014-09-16,174.368
2014-09-15,174.187
2014-09-12,172.862
2014-09-11,171.552
2014-09-10,170.711
2014-09-09,170.797
2014-09-08,171.898
2014-09-05,172.626
2014-09-04,173.129
2014-09-03,173.341
2014-09-02,172.963
2014-09-01,172.508
2014-08-29,172.158
2014-08-28,172.276
2014-08-27,172.379
2014-08-26,172.393
2014-08-25,172.232
2014-08-22,171.973
2014-08-21,171.464
2014-08-20,171.265
2014-08-19,171.166
2014-08-18,170.904
2014-08-15,171.185
2014-08-14,171.583
2014-08-13,171.548
2014-08-12,171.308
2014-08-11,171.519
2014-08-08,172.327
2014-08-07,172.803
2014-08-06,172.937
2014-08-05,172.65
2014-08-04,173.05
2014-08-01,173.592
2014-07-31,173.194
2014-07-30,172.975
2014-07-29,172.915
2014-07-28,172.894
2014-07-25,172.938
2014-07-24,173.079
2014-07-23,173.156
2014-07-22,173.086
2014-07-21,173.371
2014-07-18,173.933
2014-07-17,174.151
2014-07-16,173.772
2014-07-15,173.46
2014-07-14,173.476
2014-07-11,173.904
2014-07-10,174.123
2014-07-09,174.435
2014-07-08,174.95
2014-07-07,175.087
2014-07-04,174.7
2014-07-03,174.135
2014-07-02,173.415
2014-07-01,172.813
2014-06-30,172.864
2014-06-27,172.973
2014-06-26,173.099
2014-06-25,173.42
2014-06-24,173.576
2014-06-23,173.549
2014-06-20,173.326
2014-06-19,173.204
2014-06-18,173.065
2014-06-17,173.044
2014-06-16,172.509
2014-06-13,171.431
2014-06-12,171.513
2014-06-11,171.993
2014-06-10,172.255
2014-06-09,172.118
2014-06-06,171.865
2014-06-05,171.7
2014-06-04,171.353
2014-06-03,170.812
2014-06-02,170.312
2014-05-30,170.276
2014-05-29,171.125
2014-05-28,171.663
2014-05-27,171.663
2014-05-26,171.629
2014-05-23,171.22
2014-05-22,170.702
2014-05-21,170.584
2014-05-20,170.604
2014-05-19,170.712
2014-05-16,170.973
2014-05-15,171.791
2014-05-14,172.214
2014-05-13,171.908
2014-05-12,171.98
2014-05-09,172.508
2014-05-08,172.505
2014-05-07,172.362
2014-05-06,172.28
2014-05-05,172.551
2014-05-02,172.587
2014-05-01,172.463
2014-04-30,172.315
2014-04-29,171.88
2014-04-28,171.787
2014-04-25,172.012
2014-04-24,172.286
2014-04-23,172.421
2014-04-22,172.175
2014-04-21,171.889
2014-04-18,171.621
2014-04-17,170.919
2014-04-16,170.192
2014-04-15,170.056
2014-04-14,170.306
2014-04-11,170.771
2014-04-10,170.859
2014-04-09,171.047
2014-04-08,171.172
2014-04-07,171.738
2014-04-04,172.641
2014-04-03,172.436
2014-04-02,171.918
2014-04-01,171.35
2014-03-31,170.512
2014-03-28,169.392
2014-03-27,169.063
2014-03-26,168.789
2014-03-25,168.712
2014-03-24,168.848
2014-03-21,169.009
2014-03-20,168.742
2014-03-19,168.878
2014-03-18,168.918
2014-03-17,169.458
2014-03-14,170.709
2014-03-13,171.159
2014-03-12,171.867
2014-03-11,172.355
2014-03-10,172.313
2014-03-07,171.41
2014-03-06,170.382
2014-03-05,169.686
2014-03-04,169.897
2014-03-03,170.378
2014-02-28,170.41
2014-02-27,170.632
2014-02-26,170.613
2014-02-25,170.402
2014-02-24,170.261
2014-02-21,170.336
2014-02-20,170.718
2014-02-19,170.758
2014-02-18,170.472
2014-02-17,170.255
2014-02-14,169.613
2014-02-13,168.743
2014-02-12,168.031
2014-02-11,167.867
2014-02-10,167.114
2014-02-07,165.597
2014-02-06,165.299
2014-02-05,165.827
2014-02-04,167.149
2014-02-03,168.277
2014-01-31,169.686
2014-01-30,170.43
2014-01-29,170.075
2014-01-28,169.177
2014-01-27,170.295
2014-01-24,172.589
2014-01-23,172.129
2014-01-22,171.483
2014-01-21,171.141
2014-01-20,171.234
2014-01-17,171.107
2014-01-16,170.712
2014-01-15,170.004
2014-01-14,170.727
2014-01-13,172.042
2014-01-10,172.427
2014-01-09,171.822
2014-01-08,171.27
2014-01-07,171.584
2014-01-06,172.76
2014-01-03,174.032
2014-01-02,174.069
2014-01-01,173.523
2013-12-31,173.444
2013-12-30,172.669
2013-12-27,171.259
2013-12-26,170.6
2013-12-25,170.356
2013-12-24,170.045
2013-12-23,170.19
2013-12-20,169.63
2013-12-19,167.991
2013-12-18,167.786
2013-12-17,168.09
2013-12-16,168.262
2013-12-13,168.333
2013-12-12,168.84
2013-12-11,169.185
2013-12-10,168.555
2013-12-09,167.774
2013-12-06,167.304
2013-12-05,168.036
2013-12-04,168.392
2013-12-03,168.034
2013-12-02,167.322
2013-11-29,166.219
2013-11-28,164.82
2013-11-27,164.288
2013-11-26,164.523
2013-11-25,163.5
2013-11-22,161.893
2013-11-21,161.195
2013-11-20,161.076
2013-11-19,161.364
2013-11-18,160.927
2013-11-15,159.51
2013-11-14,158.622
2013-11-13,158.648
2013-11-12,158.618
2013-11-11,158.615
2013-11-08,158.526
2013-11-07,158.148
2013-11-06,157.49
2013-11-05,157.257
2013-11-04,157.341
2013-11-01,157.533
2013-10-31,157.533
2013-10-30,157.497
2013-10-29,157.725
2013-10-28,157.5
2013-10-25,157.703
2013-10-24,158.248
2013-10-23,158.679
2013-10-22,158.287
2013-10-21,157.885
2013-10-18,157.64
2013-10-17,157.416
2013-10-16,157.262
2013-10-15,157.179
2013-10-14,156.811
2013-10-11,155.914
2013-10-10,155.801
2013-10-09,155.899
2013-10-08,155.911
2013-10-07,156.767
2013-10-04,158.049
2013-10-03,158.453
2013-10-02,158.755
2013-10-01,158.391
2013-09-30,158.578
2013-09-27,158.4
2013-09-26,158.123
2013-09-25,158.423
2013-09-24,158.831
2013-09-23,158.989
2013-09-20,158.552
2013-09-19,157.832
2013-09-18,157.694
2013-09-17,157.668
2013-09-16,157.592
2013-09-13,157.577
2013-09-12,157.661
2013-09-11,156.724
2013-09-10,155.633
2013-09-09,155.333
2013-09-06,155.709
2013-09-05,155.133
2013-09-04,154.451
2013-09-03,153.236
2013-09-02,152.164
2013-08-30,151.726
2013-08-29,151.475
2013-08-28,152.634
2013-08-27,153.622
2013-08-26,153.59
2013-08-23,153.166
2013-08-22,152.695
2013-08-21,152.635
2013-08-20,152.661
2013-08-19,152.318
2013-08-16,152.116
2013-08-15,151.605
2013-08-14,150.513
2013-08-13,149.359
2013-08-12,149.29
2013-08-09,149.497
2013-08-08,149.839
2013-08-07,150.774
2013-08-06,151.156
2013-08-05,150.634
2013-08-02,149.424
2013-08-01,149.471
2013-07-31,150.271
2013-07-30,150.779
2013-07-29,151.901
2013-07-26,153.219
2013-07-25,153.292
2013-07-24,153.037
2013-07-23,153.213
2013-07-22,153.109
2013-07-19,151.69
2013-07-18,150.719
2013-07-17,150.426
2013-07-16,150.205
2013-07-15,149.851
2013-07-12,149.777
2013-07-11,150.072
2013-07-10,150.69
2013-07-09,150.727
2013-07-08,151.04
2013-07-05,151.95
2013-07-04,152.181
2013-07-03,151.709
2013-07-02,151.218
2013-07-01,150.503
2013-06-28,150.07
2013-06-27,150.437
2013-06-26,150.777
2013-06-25,150.928
2013-06-24,150.819
2013-06-21,150.034
2013-06-20,149.002
2013-06-19,148.913
2013-06-18,148.43
2013-06-17,148.092
