Date,CURRFX.GBPNZD.1
2015-03-06,2.0253
2015-03-05,2.03026
2015-03-04,2.04132
2015-03-03,2.0433
2015-03-02,2.04391
2015-02-27,2.05157
2015-02-26,2.05916
2015-02-25,2.05866
2015-02-24,2.04754
2015-02-23,2.04709
2015-02-20,2.04611
2015-02-19,2.04314
2015-02-18,2.04648
2015-02-17,2.0569
2015-02-16,2.06739
2015-02-13,2.0685
2015-02-12,2.05908
2015-02-11,2.05755
2015-02-10,2.06447
2015-02-09,2.06828
2015-02-06,2.0607
2015-02-05,2.06192
2015-02-04,2.0718
2015-02-03,2.07154
2015-02-02,2.07383
2015-01-30,2.0574
2015-01-29,2.03501
2015-01-28,2.02885
2015-01-27,2.01791
2015-01-26,2.00862
2015-01-23,1.99612
2015-01-22,1.97242
2015-01-21,1.95279
2015-01-20,1.95066
2015-01-19,1.95066
2015-01-16,1.96202
2015-01-15,1.96125
2015-01-14,1.94977
2015-01-13,1.93936
2015-01-12,1.93501
2015-01-09,1.94095
2015-01-08,1.95703
2015-01-07,1.97578
2015-01-06,1.99064
2015-01-05,1.99374
2015-01-02,1.9958
2015-01-01,1.98997
2014-12-31,1.99347
2014-12-30,2.00167
2014-12-29,2.00789
2014-12-26,2.01317
2014-12-25,2.01203
2014-12-24,2.01485
2014-12-23,2.01749
2014-12-22,2.01838
2014-12-19,2.0233
2014-12-18,2.02482
2014-12-17,2.02133
2014-12-16,2.02244
2014-12-15,2.01703
2014-12-12,2.02054
2014-12-11,2.03814
2014-12-10,2.0397
2014-12-09,2.03039
2014-12-08,2.02058
2014-12-05,2.01816
2014-12-04,2.00898
2014-12-03,2.00008
2014-12-02,1.99691
2014-12-01,1.99654
2014-11-28,2.00288
2014-11-27,2.00763
2014-11-26,1.99968
2014-11-25,1.98772
2014-11-24,1.99068
2014-11-21,1.99364
2014-11-20,1.98107
2014-11-19,1.9722
2014-11-18,1.9769
2014-11-17,1.98773
2014-11-14,2.00746
2014-11-13,2.03028
2014-11-12,2.04269
2014-11-11,2.04435
2014-11-10,2.05452
2014-11-07,2.0611
2014-11-06,2.05815
2014-11-05,2.062
2014-11-04,2.05747
2014-11-03,2.0509
2014-10-31,2.04283
2014-10-30,2.03656
2014-10-29,2.04203
2014-10-28,2.04671
2014-10-27,2.04654
2014-10-24,2.03477
2014-10-23,2.02164
2014-10-22,2.02543
2014-10-21,2.02945
2014-10-20,2.02482
2014-10-17,2.01677
2014-10-16,2.02635
2014-10-15,2.03791
2014-10-14,2.04998
2014-10-13,2.05176
2014-10-10,2.04849
2014-10-09,2.05548
2014-10-08,2.05404
2014-10-07,2.05618
2014-10-06,2.05711
2014-10-03,2.06505
2014-10-02,2.08071
2014-10-01,2.08567
2014-09-30,2.07887
2014-09-29,2.05754
2014-09-26,2.03932
2014-09-25,2.0263
2014-09-24,2.01694
2014-09-23,2.0074
2014-09-22,2.00625
2014-09-19,2.00383
2014-09-18,1.99074
2014-09-17,1.98775
2014-09-16,1.99392
2014-09-15,1.99066
2014-09-12,1.97316
2014-09-11,1.95516
2014-09-10,1.94809
2014-09-09,1.95156
2014-09-08,1.96543
2014-09-05,1.97644
2014-09-04,1.98154
2014-09-03,1.98373
2014-09-02,1.98386
2014-09-01,1.98267
2014-08-29,1.97944
2014-08-28,1.98396
2014-08-27,1.98701
2014-08-26,1.97932
2014-08-25,1.97442
2014-08-22,1.97899
2014-08-21,1.97698
2014-08-20,1.97321
2014-08-19,1.96983
2014-08-18,1.96664
2014-08-15,1.9733
2014-08-14,1.98712
2014-08-13,1.98734
2014-08-12,1.98275
2014-08-11,1.98463
2014-08-08,1.99098
2014-08-07,1.99036
2014-08-06,1.98113
2014-08-05,1.97705
2014-08-04,1.98147
2014-08-01,1.99036
2014-07-31,1.99141
2014-07-30,1.98938
2014-07-29,1.98618
2014-07-28,1.98287
2014-07-25,1.97418
2014-07-24,1.96578
2014-07-23,1.96649
2014-07-22,1.96443
2014-07-21,1.96673
2014-07-18,1.96802
2014-07-17,1.95907
2014-07-16,1.94449
2014-07-15,1.94173
2014-07-14,1.94291
2014-07-11,1.94461
2014-07-10,1.94819
2014-07-09,1.95513
2014-07-08,1.96172
2014-07-07,1.96127
2014-07-04,1.95776
2014-07-03,1.95614
2014-07-02,1.95177
2014-07-01,1.94507
2014-06-30,1.94042
2014-06-27,1.94471
2014-06-26,1.95257
2014-06-25,1.95284
2014-06-24,1.9532
2014-06-23,1.95413
2014-06-20,1.95305
2014-06-19,1.95671
2014-06-18,1.95834
2014-06-17,1.95719
2014-06-16,1.95198
2014-06-13,1.94961
2014-06-12,1.96613
2014-06-11,1.97382
2014-06-10,1.97569
2014-06-09,1.97867
2014-06-06,1.98514
2014-06-05,1.9858
2014-06-04,1.98047
2014-06-03,1.97567
2014-06-02,1.97173
2014-05-30,1.96987
2014-05-29,1.96952
2014-05-28,1.96952
2014-05-27,1.97053
2014-05-26,1.96966
2014-05-23,1.96964
2014-05-22,1.96544
2014-05-21,1.95411
2014-05-20,1.94823
2014-05-19,1.94458
2014-05-16,1.93893
2014-05-15,1.94607
2014-05-14,1.95374
2014-05-13,1.95649
2014-05-12,1.9579
2014-05-09,1.95714
2014-05-08,1.94894
2014-05-07,1.94259
2014-05-06,1.94701
2014-05-05,1.95191
2014-05-02,1.96081
2014-05-01,1.96644
2014-04-30,1.9681
2014-04-29,1.96241
2014-04-28,1.95732
2014-04-25,1.9548
2014-04-24,1.9563
2014-04-23,1.95817
2014-04-22,1.95845
2014-04-21,1.95497
2014-04-18,1.95125
2014-04-17,1.94195
2014-04-16,1.93111
2014-04-15,1.92775
2014-04-14,1.92576
2014-04-11,1.9277
2014-04-10,1.92864
2014-04-09,1.92843
2014-04-08,1.92801
2014-04-07,1.93348
2014-04-04,1.94184
2014-04-03,1.93141
2014-04-02,1.92092
2014-04-01,1.92145
2014-03-31,1.92042
2014-03-28,1.92153
2014-03-27,1.92643
2014-03-26,1.92994
2014-03-25,1.9315
2014-03-24,1.93367
2014-03-21,1.93385
2014-03-20,1.93109
2014-03-19,1.93833
2014-03-18,1.94674
2014-03-17,1.94841
2014-03-14,1.95167
2014-03-13,1.96174
2014-03-12,1.96501
2014-03-11,1.97284
2014-03-10,1.97647
2014-03-07,1.98177
2014-03-06,1.98744
2014-03-05,1.99372
2014-03-04,1.99845
2014-03-03,1.99726
2014-02-28,1.99987
2014-02-27,2.0028
2014-02-26,2.00318
2014-02-25,2.00631
2014-02-24,2.00922
2014-02-21,2.01138
2014-02-20,2.007
2014-02-19,2.00393
2014-02-18,2.00209
2014-02-17,2.00025
2014-02-14,1.99025
2014-02-13,1.97926
2014-02-12,1.97977
2014-02-11,1.98133
2014-02-10,1.97899
2014-02-07,1.98209
2014-02-06,1.99272
2014-02-05,2.01028
2014-02-04,2.02515
2014-02-03,2.0292
2014-01-31,2.01509
2014-01-30,2.00495
2014-01-29,2.00779
2014-01-28,2.00728
2014-01-27,2.00377
2014-01-24,1.9937
2014-01-23,1.98246
2014-01-22,1.98163
2014-01-21,1.98968
2014-01-20,1.9803
2014-01-17,1.96436
2014-01-16,1.96147
2014-01-15,1.96295
2014-01-14,1.97694
2014-01-13,1.98837
2014-01-10,1.98951
2014-01-09,1.98203
2014-01-08,1.98118
2014-01-07,1.9823
2014-01-06,1.99697
2014-01-03,2.01414
2014-01-02,2.01042
2014-01-01,2.01343
2013-12-31,2.02077
2013-12-30,2.0166
2013-12-27,2.00411
2013-12-26,1.99828
2013-12-25,1.99614
2013-12-24,1.99288
2013-12-23,1.99504
2013-12-20,1.99137
2013-12-19,1.97551
2013-12-18,1.97144
2013-12-17,1.97258
2013-12-16,1.97444
2013-12-13,1.9816
2013-12-12,1.98377
2013-12-11,1.9794
2013-12-10,1.97545
2013-12-09,1.98215
2013-12-06,1.99582
2013-12-05,1.99691
2013-12-04,1.99832
2013-12-03,2.0074
2013-12-02,2.01119
2013-11-29,1.99715
2013-11-28,1.98072
2013-11-27,1.97088
2013-11-26,1.97665
2013-11-25,1.97126
2013-11-22,1.95012
2013-11-21,1.93513
2013-11-20,1.9306
2013-11-19,1.92943
2013-11-18,1.93459
2013-11-15,1.93761
2013-11-14,1.93648
2013-11-13,1.93726
2013-11-12,1.93895
2013-11-11,1.93434
2013-11-08,1.9208
2013-11-07,1.92222
2013-11-06,1.92823
2013-11-05,1.92609
2013-11-04,1.93161
2013-11-01,1.94146
2013-10-31,1.9445
2013-10-30,1.94691
2013-10-29,1.94998
2013-10-28,1.94372
2013-10-25,1.92739
2013-10-24,1.91642
2013-10-23,1.90707
2013-10-22,1.90465
2013-10-21,1.89965
2013-10-18,1.89848
2013-10-17,1.90307
2013-10-16,1.90986
2013-10-15,1.91522
2013-10-14,1.92058
2013-10-11,1.92862
2013-10-10,1.93251
2013-10-09,1.93616
2013-10-08,1.93076
2013-10-07,1.93528
2013-10-04,1.95649
2013-10-03,1.96106
2013-10-02,1.95379
2013-10-01,1.95036
2013-09-30,1.94654
2013-09-27,1.94244
2013-09-26,1.93759
2013-09-25,1.92249
2013-09-24,1.91449
2013-09-23,1.91514
2013-09-20,1.9251
2013-09-19,1.9373
2013-09-18,1.94131
2013-09-17,1.94769
2013-09-16,1.94888
2013-09-13,1.94823
2013-09-12,1.95462
2013-09-11,1.95493
2013-09-10,1.95672
2013-09-09,1.96378
2013-09-06,1.9809
2013-09-05,1.98689
2013-09-04,1.99275
2013-09-03,1.99896
2013-09-02,2.00033
2013-08-30,1.99223
2013-08-29,1.99403
2013-08-28,1.99063
2013-08-27,1.99093
2013-08-26,1.99364
2013-08-23,1.98705
2013-08-22,1.97198
2013-08-21,1.94729
2013-08-20,1.92874
2013-08-19,1.92902
2013-08-16,1.93151
2013-08-15,1.93499
2013-08-14,1.93431
2013-08-13,1.92942
2013-08-12,1.9342
2013-08-09,1.94362
2013-08-08,1.94725
2013-08-07,1.95891
2013-08-06,1.96282
2013-08-05,1.93729
2013-08-02,1.91003
2013-08-01,1.90938
2013-07-31,1.91091
2013-07-30,1.90515
2013-07-29,1.90639
2013-07-26,1.91796
2013-07-25,1.92628
2013-07-24,1.92566
2013-07-23,1.92767
2013-07-22,1.92624
2013-07-19,1.92643
2013-07-18,1.92431
2013-07-17,1.92844
2013-07-16,1.93737
2013-07-15,1.93252
2013-07-12,1.91236
2013-07-11,1.90141
2013-07-10,1.9096
2013-07-09,1.92579
2013-07-08,1.93687
2013-07-05,1.95139
2013-07-04,1.95771
2013-07-03,1.95367
2013-07-02,1.96047
2013-07-01,1.96305
2013-06-28,1.96691
2013-06-27,1.98495
2013-06-26,1.99139
2013-06-25,1.98865
2013-06-24,1.98628
2013-06-21,1.97111
2013-06-20,1.95753
2013-06-19,1.95729
2013-06-18,1.95091
2013-06-17,1.95657
2013-06-14,1.96785
2013-06-13,1.97689
2013-06-12,1.98016
2013-06-11,1.97325
2013-06-10,1.96023
2013-06-07,1.9334
2013-06-06,1.91411
2013-06-05,1.90549
2013-06-04,1.9095
2013-06-03,1.8994
2013-05-31,1.87018
2013-05-30,1.86252
2013-05-29,1.86608
2013-05-28,1.8693
2013-05-27,1.86688
2013-05-24,1.86225
2013-05-23,1.85962
2013-05-22,1.86486
2013-05-21,1.87375
2013-05-20,1.87282
2013-05-17,1.85672
2013-05-16,1.85321
2013-05-15,1.8532
2013-05-14,1.8525
2013-05-13,1.84605
2013-05-10,1.84153
2013-05-09,1.8393
2013-05-08,1.82819
2013-05-07,1.82487
2013-05-06,1.82753
2013-05-03,1.82771
2013-05-02,1.81692
2013-05-01,1.81347
2013-04-30,1.82039
2013-04-29,1.81768
2013-04-26,1.80512
2013-04-25,1.80971
2013-04-24,1.8141
2013-04-23,1.80964
2013-04-22,1.80878
2013-04-19,1.80777
2013-04-18,1.80749
2013-04-17,1.80677
2013-04-16,1.7976
2013-04-15,1.78492
2013-04-12,1.78592
2013-04-11,1.79585
2013-04-10,1.80585
2013-04-09,1.81636
2013-04-08,1.81309
2013-04-05,1.79976
2013-04-04,1.7991
2013-04-03,1.81036
2013-04-02,1.81693
2013-04-01,1.81371
2013-03-29,1.80971
2013-03-28,1.81072
2013-03-27,1.81735
2013-03-26,1.82205
2013-03-25,1.82381
2013-03-22,1.83002
2013-03-21,1.83452
2013-03-20,1.83205
2013-03-19,1.83098
2013-03-18,1.8274
2013-03-15,1.82149
2013-03-14,1.80827
2013-03-13,1.80809
2013-03-12,1.81448
2013-03-11,1.81462
2013-03-08,1.81395
2013-03-07,1.81951
2013-03-06,1.82756
2013-03-05,1.82726
2013-03-04,1.82507
2013-03-01,1.83104
2013-02-28,1.83118
2013-02-27,1.81831
2013-02-26,1.80735
2013-02-25,1.81473
2013-02-22,1.82646
2013-02-21,1.82949
2013-02-20,1.83101
2013-02-19,1.83426
2013-02-18,1.83434
2013-02-15,1.83994
2013-02-14,1.86125
2013-02-13,1.87474
2013-02-12,1.88782
2013-02-11,1.88515
2013-02-08,1.86926
2013-02-07,1.86013
2013-02-06,1.86284
2013-02-05,1.85768
2013-02-04,1.86845
2013-02-01,1.88888
2013-01-31,1.88524
2013-01-30,1.88377
2013-01-29,1.88828
2013-01-28,1.88439
2013-01-25,1.88113
2013-01-24,1.88388
2013-01-23,1.89055
2013-01-22,1.89625
2013-01-21,1.89847
2013-01-18,1.9061
2013-01-17,1.90982
2013-01-16,1.91381
2013-01-15,1.92147
2013-01-14,1.92066
2013-01-11,1.90957
2013-01-10,1.91724
2013-01-09,1.92579
2013-01-08,1.93014
2013-01-07,1.93693
2013-01-04,1.94828
2013-01-03,1.95839
2013-01-02,1.96567
2013-01-01,1.96783
2012-12-31,1.97029
2012-12-28,1.96773
2012-12-27,1.9645
2012-12-26,1.96302
2012-12-25,1.96476
2012-12-24,1.95924
2012-12-21,1.94568
2012-12-20,1.93446
2012-12-19,1.92142
2012-12-18,1.9148
2012-12-17,1.91128
2012-12-14,1.91386
2012-12-13,1.92052
2012-12-12,1.92428
2012-12-11,1.92595
2012-12-10,1.93092
2012-12-07,1.94266
2012-12-06,1.95343
2012-12-05,1.95659
2012-12-04,1.9551
2012-12-03,1.949
2012-11-30,1.94603
2012-11-29,1.94896
2012-11-28,1.94856
2012-11-27,1.9464
2012-11-26,1.95031
2012-11-23,1.95639
2012-11-22,1.9524
2012-11-21,1.94845
2012-11-20,1.9519
2012-11-19,1.95439
2012-11-16,1.95205
2012-11-15,1.94552
2012-11-14,1.94339
2012-11-13,1.94877
2012-11-12,1.95333
2012-11-09,1.94672
2012-11-08,1.9334
2012-11-07,1.93555
2012-11-06,1.94037
2012-11-05,1.94832
2012-11-02,1.95876
2012-11-01,1.95791
2012-10-31,1.95649
2012-10-30,1.95749
2012-10-29,1.95715
2012-10-26,1.95977
2012-10-25,1.9633
2012-10-24,1.96132
2012-10-23,1.96106
2012-10-22,1.96287
2012-10-19,1.96689
2012-10-18,1.97238
2012-10-17,1.97236
2012-10-16,1.96492
2012-10-15,1.96492
2012-10-12,1.95939
2012-10-11,1.95672
2012-10-10,1.95745
2012-10-09,1.96759
2012-10-08,1.96977
2012-10-05,1.96293
2012-10-04,1.95452
2012-10-03,1.9468
2012-10-02,1.95114
2012-10-01,1.95114
2012-09-28,1.96207
2012-09-27,1.96968
2012-09-26,1.96941
2012-09-25,1.96515
2012-09-24,1.95893
2012-09-21,1.96134
2012-09-20,1.96249
2012-09-19,1.96306
2012-09-18,1.95855
2012-09-17,1.95689
2012-09-14,1.95992
2012-09-13,1.9663
2012-09-12,1.97209
2012-09-11,1.97273
2012-09-10,1.97998
2012-09-07,1.99645
2012-09-06,1.99813
2012-09-05,1.99226
2012-09-04,1.98248
2012-09-03,1.9757
2012-08-31,1.97378
2012-08-30,1.96526
2012-08-29,1.95529
2012-08-28,1.9502
2012-08-27,1.94831
2012-08-24,1.94821
2012-08-23,1.9471
2012-08-22,1.94109
2012-08-21,1.94247
2012-08-20,1.94352
2012-08-17,1.9439
2012-08-16,1.94414
2012-08-15,1.93835
2012-08-14,1.93273
2012-08-13,1.92804
2012-08-10,1.92328
2012-08-09,1.91429
2012-08-08,1.90608
2012-08-07,1.90732
2012-08-06,1.91352
2012-08-03,1.92222
2012-08-02,1.93175
2012-08-01,1.93979
2012-07-31,1.94408
2012-07-30,1.95069
2012-07-27,1.96323
2012-07-26,1.97061
2012-07-25,1.96515
2012-07-24,1.95978
2012-07-23,1.95418
2012-07-20,1.95752
2012-07-19,1.96131
2012-07-18,1.95851
2012-07-17,1.95622
2012-07-16,1.95525
2012-07-13,1.95336
2012-07-12,1.95055
2012-07-11,1.94889
2012-07-10,1.945
2012-07-09,1.93996
2012-07-06,1.94047
2012-07-05,1.94785
2012-07-04,1.95269
2012-07-03,1.95607
2012-07-02,1.96235
2012-06-29,1.96967
2012-06-28,1.97496
2012-06-27,1.97616
2012-06-26,1.97572
2012-06-25,1.97081
2012-06-22,1.97167
2012-06-21,1.97522
2012-06-20,1.97718
2012-06-19,1.98564
2012-06-18,1.99429
2012-06-15,1.99694
2012-06-14,2.00306
2012-06-13,2.00637
2012-06-12,2.00547
2012-06-11,2.00844
2012-06-08,2.01647
2012-06-07,2.02681
2012-06-06,2.0346
2012-06-05,2.03694
2012-06-04,2.04201
2012-06-01,2.05271
2012-05-31,2.05584
2012-05-30,2.0593
2012-05-29,2.06654
2012-05-28,2.08027
2012-05-25,2.08943
2012-05-24,2.08656
2012-05-23,2.07543
2012-05-22,2.08619
2012-05-21,2.08491
2012-05-18,2.07633
2012-05-17,2.07802
2012-05-16,2.06906
2012-05-15,2.05822
2012-05-14,2.05166
2012-05-11,2.05338
2012-05-10,2.04967
2012-05-09,2.0398
2012-05-08,2.03277
2012-05-07,2.02405
2012-05-04,2.00603
2012-05-03,1.99253
2012-05-02,1.9866
2012-05-01,1.98039
2012-04-30,1.98008
2012-04-27,1.98443
2012-04-26,1.98515
2012-04-25,1.98316
2012-04-24,1.97573
2012-04-23,1.96821
2012-04-20,1.95904
2012-04-19,1.94645
2012-04-18,1.93898
2012-04-17,1.92979
2012-04-16,1.93064
2012-04-13,1.94068
2012-04-12,1.94289
2012-04-11,1.93978
2012-04-10,1.93757
2012-04-09,1.93978
2012-04-06,1.94572
2012-04-05,1.94634
2012-04-04,1.94612
2012-04-03,1.95199
2012-04-02,1.95304
2012-03-30,1.94762
2012-03-29,1.9437
2012-03-28,1.94058
2012-03-27,1.94058
2012-03-26,1.94578
2012-03-23,1.95072
2012-03-22,1.93828
2012-03-21,1.92892
2012-03-20,1.92106
2012-03-19,1.92339
2012-03-16,1.9254
2012-03-15,1.9182
2012-03-14,1.91023
2012-03-13,1.9123
2012-03-12,1.91303
2012-03-09,1.92301
2012-03-08,1.93104
2012-03-07,1.93157
2012-03-06,1.91498
2012-03-05,1.90799
2012-03-02,1.90088
2012-03-01,1.89159
2012-02-29,1.89243
2012-02-28,1.89763
2012-02-27,1.89473
2012-02-24,1.88923
2012-02-23,1.89116
2012-02-22,1.88946
2012-02-21,1.89205
2012-02-20,1.89672
2012-02-17,1.88669
2012-02-16,1.8817
2012-02-15,1.8916
2012-02-14,1.89835
2012-02-13,1.90214
2012-02-10,1.89667
2012-02-09,1.89782
2012-02-08,1.89704
2012-02-07,1.89539
2012-02-06,1.89485
2012-02-03,1.90171
2012-02-02,1.9075
2012-02-01,1.9116
2012-01-31,1.91195
2012-01-30,1.90957
2012-01-27,1.91839
2012-01-26,1.92582
2012-01-25,1.92626
2012-01-24,1.92626
2012-01-23,1.92898
2012-01-20,1.92052
2012-01-19,1.91607
2012-01-18,1.92525
2012-01-17,1.9288
2012-01-16,1.92744
2012-01-13,1.93221
2012-01-12,1.94504
2012-01-11,1.9591
2012-01-10,1.97304
2012-01-09,1.97928
2012-01-06,1.98368
2012-01-05,1.98286
2012-01-04,1.98678
2012-01-03,1.99488
2012-01-02,2.0016
2011-12-30,2.01174
2011-12-29,2.02076
2011-12-28,2.02137
2011-12-27,2.01615
2011-12-26,2.0202
2011-12-23,2.03409
2011-12-22,2.03883
2011-12-21,2.04285
2011-12-20,2.04067
2011-12-19,2.04903
2011-12-16,2.05848
2011-12-15,2.0477
2011-12-14,2.03735
2011-12-13,2.02782
2011-12-12,2.01841
2011-12-09,2.01101
2011-12-08,2.00642
2011-12-07,2.00608
2011-12-06,2.0051
2011-12-05,2.01059
2011-12-02,2.02451
2011-12-01,2.04186
2011-11-30,2.05468
2011-11-29,2.06988
2011-11-28,2.08701
2011-11-25,2.09353
2011-11-24,2.09409
2011-11-23,2.0904
2011-11-22,2.08858
2011-11-21,2.07962
2011-11-18,2.05969
2011-11-17,2.05459
2011-11-16,2.04819
2011-11-15,2.041
2011-11-14,2.04565
2011-11-11,2.03922
2011-11-10,2.02423
2011-11-09,2.01789
2011-11-08,2.01675
2011-11-07,2.02204
2011-11-04,2.02119
2011-11-03,2.00801
2011-11-02,1.98944
2011-11-01,1.97089
2011-10-31,1.96898
2011-10-28,1.98858
2011-10-27,2.00298
2011-10-26,1.98989
2011-10-25,1.98351
2011-10-24,1.98657
2011-10-21,1.98432
2011-10-20,1.98274
2011-10-19,1.98164
2011-10-18,1.96973
2011-10-17,1.97141
2011-10-14,1.98452
2011-10-13,1.99273
2011-10-12,2.00325
2011-10-11,2.01292
2011-10-10,2.01597
2011-10-07,2.01686
2011-10-06,2.03634
2011-10-05,2.04455
2011-10-04,2.04327
2011-10-03,2.03409
2011-09-30,2.00533
2011-09-29,1.98852
2011-09-28,1.99106
2011-09-27,1.99853
2011-09-26,1.97788
2011-09-23,1.93937
2011-09-22,1.91196
2011-09-21,1.90882
2011-09-20,1.90696
2011-09-19,1.91235
2011-09-16,1.92388
2011-09-15,1.92131
2011-09-14,1.92728
2011-09-13,1.93395
2011-09-12,1.92641
2011-09-09,1.92114
2011-09-08,1.9324
2011-09-07,1.9329
2011-09-06,1.92046
2011-09-05,1.91027
2011-09-02,1.90735
2011-09-01,1.91378
2011-08-31,1.92902
2011-08-30,1.944
2011-08-29,1.9575
2011-08-26,1.97596
2011-08-25,1.9859
2011-08-24,1.99481
2011-08-23,2.00812
2011-08-22,2.00408
2011-08-19,1.98055
2011-08-18,1.96963
2011-08-17,1.96417
2011-08-16,1.95701
2011-08-15,1.96271
2011-08-12,1.96786
2011-08-11,1.97189
2011-08-10,1.98568
2011-08-09,1.96228
2011-08-08,1.93469
2011-08-05,1.90949
2011-08-04,1.88279
2011-08-03,1.86456
2011-08-02,1.86437
2011-08-01,1.86996
2011-07-29,1.87515
2011-07-28,1.87942
2011-07-27,1.88262
2011-07-26,1.88449
2011-07-25,1.88622
2011-07-22,1.88711
2011-07-21,1.88942
2011-07-20,1.89832
2011-07-19,1.90639
2011-07-18,1.91021
2011-07-15,1.91974
2011-07-14,1.93459
2011-07-13,1.92989
2011-07-12,1.91707
2011-07-11,1.92129
2011-07-08,1.9324
2011-07-07,1.93842
2011-07-06,1.93944
2011-07-05,1.94064
2011-07-04,1.94124
2011-07-01,1.94702
2011-06-30,1.9684
2011-06-29,1.98288
2011-06-28,1.97802
2011-06-27,1.96776
2011-06-24,1.97502
2011-06-23,1.98981
2011-06-22,1.99912
2011-06-21,1.99696
2011-06-20,2.00046
2011-06-17,2.00922
2011-06-16,2.00418
2011-06-15,2.00181
2011-06-14,1.98949
2011-06-13,1.98164
2011-06-10,1.99716
2011-06-09,2.00562
2011-06-08,2.00553
2011-06-07,2.01174
2011-06-06,2.01084
2011-06-03,2.00323
2011-06-02,1.99996
2011-06-01,2.00809
2011-05-31,2.01461
2011-05-30,2.01835
2011-05-27,2.02853
2011-05-26,2.03389
2011-05-25,2.03458
2011-05-24,2.04226
2011-05-23,2.04202
2011-05-20,2.05098
2011-05-19,2.06515
2011-05-18,2.0742
2011-05-17,2.06448
2011-05-16,2.05988
2011-05-13,2.06466
2011-05-12,2.06591
2011-05-11,2.06536
2011-05-10,2.06766
2011-05-09,2.0767
2011-05-06,2.08563
2011-05-05,2.07354
2011-05-04,2.06335
2011-05-03,2.06465
2011-05-02,2.06777
2011-04-29,2.06579
2011-04-28,2.0519
2011-04-27,2.05655
2011-04-26,2.06057
2011-04-25,2.05959
2011-04-22,2.05996
2011-04-21,2.06261
2011-04-20,2.064
2011-04-19,2.05077
2011-04-18,2.04967
2011-04-15,2.06364
2011-04-14,2.07116
2011-04-13,2.08518
2011-04-12,2.09202
2011-04-11,2.09484
2011-04-08,2.10193
2011-04-07,2.10754
2011-04-06,2.10434
2011-04-05,2.09945
2011-04-04,2.10296
2011-04-01,2.11058
2011-03-31,2.11621
2011-03-30,2.12691
2011-03-29,2.12904
2011-03-28,2.143
2011-03-25,2.18256
2011-03-24,2.20611
2011-03-23,2.21212
2011-03-22,2.2179
2011-03-21,2.22444
2011-03-18,2.217
2011-03-17,2.19507
2011-03-16,2.18916
2011-03-15,2.17346
2011-03-14,2.17703
2011-03-11,2.19242
2011-03-10,2.18828
2011-03-09,2.19525
2011-03-08,2.20487
2011-03-07,2.20005
2011-03-04,2.19177
2011-03-03,2.1824
2011-03-02,2.16121
2011-03-01,2.14836
2011-02-28,2.1528
2011-02-25,2.16771
2011-02-24,2.16163
2011-02-23,2.14147
2011-02-22,2.12907
2011-02-21,2.13345
2011-02-18,2.13499
2011-02-17,2.13524
2011-02-16,2.12492
2011-02-15,2.11223
2011-02-14,2.10081
2011-02-11,2.08876
2011-02-10,2.08131
2011-02-09,2.08571
2011-02-08,2.09314
2011-02-07,2.0934
2011-02-04,2.08614
2011-02-03,2.07195
2011-02-02,2.06883
2011-02-01,2.05731
2011-01-31,2.05444
2011-01-28,2.06256
2011-01-27,2.0689
2011-01-26,2.08674
2011-01-25,2.10501
2011-01-24,2.10414
2011-01-21,2.08174
2011-01-20,2.06719
2011-01-19,2.06486
2011-01-18,2.0643
2011-01-17,2.0677
2011-01-14,2.06118
2011-01-13,2.05611
2011-01-12,2.04726
2011-01-11,2.044
2011-01-10,2.04503
2011-01-07,2.04205
2011-01-06,2.03006
2011-01-05,2.01204
2011-01-04,2.00039
2011-01-03,2.00611
2010-12-31,2.01712
2010-12-30,2.03416
2010-12-29,2.05304
2010-12-28,2.06165
2010-12-27,2.06435
2010-12-24,2.07198
2010-12-23,2.08019
2010-12-22,2.08934
2010-12-21,2.10267
2010-12-20,2.10993
2010-12-17,2.10695
2010-12-16,2.10185
2010-12-15,2.10413
2010-12-14,2.10815
2010-12-13,2.11379
2010-12-10,2.1055
2010-12-09,2.08537
2010-12-08,2.06573
2010-12-07,2.06125
2010-12-06,2.06535
2010-12-03,2.08181
2010-12-02,2.09015
2010-12-01,2.08659
2010-11-30,2.08121
2010-11-29,2.07688
2010-11-26,2.07424
2010-11-25,2.07354
2010-11-24,2.06873
2010-11-23,2.05829
2010-11-22,2.05472
2010-11-19,2.06338
2010-11-18,2.07113
2010-11-17,2.07744
2010-11-16,2.08186
2010-11-15,2.07398
2010-11-12,2.05911
2010-11-11,2.05468
2010-11-10,2.04826
2010-11-09,2.04134
2010-11-08,2.03943
2010-11-05,2.06002
2010-11-04,2.08051
2010-11-03,2.08881
2010-11-02,2.09348
