Date,CURRFX.GBPUSD.1
2015-03-06,1.52758
2015-03-05,1.53443
2015-03-04,1.53801
2015-03-03,1.54117
2015-03-02,1.54594
2015-02-27,1.54932
2015-02-26,1.54729
2015-02-25,1.54288
2015-02-24,1.53992
2015-02-23,1.54137
2015-02-20,1.54201
2015-02-19,1.53795
2015-02-18,1.5376
2015-02-17,1.536
2015-02-16,1.536
2015-02-13,1.52809
2015-02-12,1.52504
2015-02-11,1.52358
2015-02-10,1.52388
2015-02-09,1.52409
2015-02-06,1.52187
2015-02-05,1.51404
2015-02-04,1.50619
2015-02-03,1.50583
2015-02-02,1.50854
2015-01-30,1.51412
2015-01-29,1.51596
2015-01-28,1.50883
2015-01-27,1.50138
2015-01-26,1.50393
2015-01-23,1.51284
2015-01-22,1.51317
2015-01-21,1.51322
2015-01-20,1.51437
2015-01-19,1.51704
2015-01-16,1.52047
2015-01-15,1.51765
2015-01-14,1.51321
2015-01-13,1.51321
2015-01-12,1.51321
2015-01-09,1.50998
2015-01-08,1.51603
2015-01-07,1.52384
2015-01-06,1.52926
2015-01-05,1.54195
2015-01-02,1.55758
2015-01-01,1.55586
2014-12-31,1.55408
2014-12-30,1.55546
2014-12-29,1.55582
2014-12-26,1.55509
2014-12-25,1.55431
2014-12-24,1.55833
2014-12-23,1.56265
2014-12-22,1.56237
2014-12-19,1.56488
2014-12-18,1.56988
2014-12-17,1.56892
2014-12-16,1.56984
2014-12-15,1.57109
2014-12-12,1.56965
2014-12-11,1.56742
2014-12-10,1.56341
2014-12-09,1.55917
2014-12-08,1.5618
2014-12-05,1.56738
2014-12-04,1.56745
2014-12-03,1.56877
2014-12-02,1.56651
2014-12-01,1.5692
2014-11-28,1.57576
2014-11-27,1.57212
2014-11-26,1.56836
2014-11-25,1.56646
2014-11-24,1.56654
2014-11-21,1.56674
2014-11-20,1.56459
2014-11-19,1.56559
2014-11-18,1.56674
2014-11-17,1.57004
2014-11-14,1.57982
2014-11-13,1.58701
2014-11-12,1.58708
2014-11-11,1.58803
2014-11-10,1.58976
2014-11-07,1.59493
2014-11-06,1.59796
2014-11-05,1.59885
2014-11-04,1.59867
2014-11-03,1.59966
2014-10-31,1.6044
2014-10-30,1.61238
2014-10-29,1.61236
2014-10-28,1.61017
2014-10-27,1.60704
2014-10-24,1.60521
2014-10-23,1.61089
2014-10-22,1.61422
2014-10-21,1.61109
2014-10-20,1.60626
2014-10-17,1.59782
2014-10-16,1.59506
2014-10-15,1.60319
2014-10-14,1.60841
2014-10-13,1.61093
2014-10-10,1.61341
2014-10-09,1.60804
2014-10-08,1.60437
2014-10-07,1.59846
2014-10-06,1.60438
2014-10-03,1.61826
2014-10-02,1.62102
2014-10-01,1.62331
2014-09-30,1.62439
2014-09-29,1.62759
2014-09-26,1.63389
2014-09-25,1.63779
2014-09-24,1.63625
2014-09-23,1.63209
2014-09-22,1.62991
2014-09-19,1.63082
2014-09-18,1.6269
2014-09-17,1.62326
2014-09-16,1.62533
2014-09-15,1.625
2014-09-12,1.61888
2014-09-11,1.6121
2014-09-10,1.61242
2014-09-09,1.62236
2014-09-08,1.6364
2014-09-05,1.6441
2014-09-04,1.64968
2014-09-03,1.65695
2014-09-02,1.66052
2014-09-01,1.65939
2014-08-29,1.6579
2014-08-28,1.65697
2014-08-27,1.65729
2014-08-26,1.65717
2014-08-25,1.65777
2014-08-22,1.66001
2014-08-21,1.6643
2014-08-20,1.66933
2014-08-19,1.67142
2014-08-18,1.669
2014-08-15,1.67137
2014-08-14,1.67687
2014-08-13,1.67848
2014-08-12,1.67805
2014-08-11,1.6802
2014-08-08,1.68497
2014-08-07,1.68609
2014-08-06,1.68546
2014-08-05,1.68297
2014-08-04,1.68518
2014-08-01,1.69094
2014-07-31,1.69425
2014-07-30,1.69707
2014-07-29,1.69808
2014-07-28,1.69915
2014-07-25,1.70296
2014-07-24,1.70595
2014-07-23,1.70729
2014-07-22,1.70833
2014-07-21,1.71002
2014-07-18,1.71257
2014-07-17,1.71287
2014-07-16,1.71123
2014-07-15,1.71087
2014-07-14,1.71237
2014-07-11,1.71338
2014-07-10,1.71283
2014-07-09,1.7131
2014-07-08,1.71468
2014-07-07,1.71572
2014-07-04,1.71531
2014-07-03,1.71447
2014-07-02,1.70996
2014-07-01,1.70468
2014-06-30,1.70248
2014-06-27,1.69942
2014-06-26,1.69884
2014-06-25,1.70115
2014-06-24,1.70185
2014-06-23,1.70145
2014-06-20,1.69949
2014-06-19,1.69627
2014-06-18,1.6973
2014-06-17,1.69758
2014-06-16,1.69149
2014-06-13,1.68007
2014-06-12,1.67773
2014-06-11,1.67934
2014-06-10,1.68039
2014-06-09,1.67882
2014-06-06,1.67558
2014-06-05,1.67417
2014-06-04,1.67496
2014-06-03,1.67515
2014-06-02,1.6741
2014-05-30,1.67354
2014-05-29,1.67896
2014-05-28,1.68363
2014-05-27,1.68377
2014-05-26,1.68516
2014-05-23,1.68742
2014-05-22,1.68506
2014-05-21,1.68255
2014-05-20,1.68211
2014-05-19,1.68002
2014-05-16,1.67864
2014-05-15,1.68273
2014-05-14,1.68595
2014-05-13,1.68635
2014-05-12,1.68905
2014-05-09,1.69597
2014-05-08,1.69562
2014-05-07,1.69088
2014-05-06,1.68721
2014-05-05,1.68787
2014-05-02,1.68686
2014-05-01,1.68323
2014-04-30,1.68179
2014-04-29,1.681
2014-04-28,1.67985
2014-04-25,1.67955
2014-04-24,1.68073
2014-04-23,1.68067
2014-04-22,1.67957
2014-04-21,1.67986
2014-04-18,1.67972
2014-04-17,1.67497
2014-04-16,1.67243
2014-04-15,1.67288
2014-04-14,1.6752
2014-04-11,1.67741
2014-04-10,1.67241
2014-04-09,1.6642
2014-04-08,1.65828
2014-04-07,1.65908
2014-04-04,1.66222
2014-04-03,1.6641
2014-04-02,1.66499
2014-04-01,1.66451
2014-03-31,1.66237
2014-03-28,1.65778
2014-03-27,1.65297
2014-03-26,1.64995
2014-03-25,1.65031
2014-03-24,1.65031
2014-03-21,1.65538
2014-03-20,1.66056
2014-03-19,1.66205
2014-03-18,1.66411
2014-03-17,1.66502
2014-03-14,1.66384
2014-03-13,1.66219
2014-03-12,1.66513
2014-03-11,1.66986
2014-03-10,1.67194
2014-03-07,1.67107
2014-03-06,1.66831
2014-03-05,1.66906
2014-03-04,1.67306
2014-03-03,1.67128
2014-02-28,1.66668
2014-02-27,1.66725
2014-02-26,1.66634
2014-02-25,1.66309
2014-02-24,1.66343
2014-02-21,1.66744
2014-02-20,1.66953
2014-02-19,1.6723
2014-02-18,1.67483
2014-02-17,1.67003
2014-02-14,1.65831
2014-02-13,1.64739
2014-02-12,1.6422
2014-02-11,1.64083
2014-02-10,1.63736
2014-02-07,1.63102
2014-02-06,1.63102
2014-02-05,1.63349
2014-02-04,1.64028
2014-02-03,1.6469
2014-01-31,1.65375
2014-01-30,1.65765
2014-01-29,1.6566
2014-01-28,1.65144
2014-01-27,1.65254
2014-01-24,1.65613
2014-01-23,1.64906
2014-01-22,1.64345
2014-01-21,1.64249
2014-01-20,1.63955
2014-01-17,1.63709
2014-01-16,1.64058
2014-01-15,1.64243
2014-01-14,1.64583
2014-01-13,1.6474
2014-01-10,1.64438
2014-01-09,1.64149
2014-01-08,1.6398
2014-01-07,1.64005
2014-01-06,1.64584
2014-01-03,1.65426
2014-01-02,1.65482
2014-01-01,1.65089
2013-12-31,1.64876
2013-12-30,1.6448
2013-12-27,1.6384
2013-12-26,1.63641
2013-12-25,1.63527
2013-12-24,1.63431
2013-12-23,1.63482
2013-12-20,1.63572
2013-12-19,1.63151
2013-12-18,1.6298
2013-12-17,1.63059
2013-12-16,1.63268
2013-12-13,1.63851
2013-12-12,1.64234
2013-12-11,1.64126
2013-12-10,1.63625
2013-12-09,1.63546
2013-12-06,1.63658
2013-12-05,1.63798
2013-12-04,1.63874
2013-12-03,1.63827
2013-12-02,1.63499
2013-11-29,1.62914
2013-11-28,1.62182
2013-11-27,1.61802
2013-11-26,1.62076
2013-11-25,1.61844
2013-11-22,1.612
2013-11-21,1.61221
2013-11-20,1.61096
2013-11-19,1.61167
