Date,CURRFX.NZDCAD.1
2015-03-07,0.934079
2015-03-06,0.939917
2015-03-05,0.944242
2015-03-04,0.942581
2015-03-03,0.943629
2015-03-02,0.94495
2015-03-01,0.94495
2015-02-28,0.942897
2015-02-27,0.940424
2015-02-26,0.939515
2015-02-25,0.943023
2015-02-24,0.94428
2015-02-23,0.94231
2015-02-22,0.94231
2015-02-21,0.940881
2015-02-20,0.938792
2015-02-19,0.934979
2015-02-18,0.934146
2015-02-17,0.931848
2015-02-16,0.929207
2015-02-15,0.929207
2015-02-14,0.928908
2015-02-13,0.929727
2015-02-12,0.930916
2015-02-11,0.925242
2015-02-10,0.92307
2015-02-09,0.921762
2015-02-08,0.921817
2015-02-07,0.922782
2015-02-06,0.922942
2015-02-05,0.91718
2015-02-04,0.915655
2015-02-03,0.923262
2015-02-02,0.922641
2015-02-01,0.922641
2015-01-31,0.918627
2015-01-30,0.920084
2015-01-29,0.926942
2015-01-28,0.926055
2015-01-27,0.925252
2015-01-26,0.925936
2015-01-25,0.926838
2015-01-24,0.929764
2015-01-23,0.930748
2015-01-22,0.927903
2015-01-21,0.928966
2015-01-20,0.932549
2015-01-19,0.933439
2015-01-18,0.934294
2015-01-17,0.932285
2015-01-16,0.926481
2015-01-15,0.926005
2015-01-14,0.927763
2015-01-13,0.928456
2015-01-12,0.928363
2015-01-11,0.928363
2015-01-10,0.9245
2015-01-09,0.920148
2015-01-08,0.915178
2015-01-07,0.9087
2015-01-06,0.905556
2015-01-05,0.907363
2015-01-04,0.906018
2015-01-03,0.904277
2015-01-02,0.906126
2015-01-01,0.907811
2014-12-31,0.906689
2014-12-30,0.903658
2014-12-29,0.901612
2014-12-28,0.901612
2014-12-27,0.899346
2014-12-26,0.898061
2014-12-25,0.897687
2014-12-24,0.89872
2014-12-23,0.899227
2014-12-22,0.899747
2014-12-21,0.899747
2014-12-20,0.899728
2014-12-19,0.899283
2014-12-18,0.902541
2014-12-17,0.902166
2014-12-16,0.899296
2014-12-15,0.900385
2014-12-14,0.900385
2014-12-13,0.899194
2014-12-12,0.891769
2014-12-11,0.881543
2014-12-10,0.878426
2014-12-09,0.878766
2014-12-08,0.882947
2014-12-07,0.882947
2014-12-06,0.883514
2014-12-05,0.883452
2014-12-04,0.887515
2014-12-03,0.892143
2014-12-02,0.89499
2014-12-01,0.89566
2014-11-30,0.894722
2014-11-29,0.891678
2014-11-28,0.886529
2014-11-27,0.882214
2014-11-26,0.883549
2014-11-25,0.886049
2014-11-24,0.885462
2014-11-23,0.886976
2014-11-22,0.889613
2014-11-21,0.890789
2014-11-20,0.894008
2014-11-19,0.896521
2014-11-18,0.895092
2014-11-17,0.893202
2014-11-16,0.893202
2014-11-15,0.893709
2014-11-14,0.891674
2014-11-13,0.886535
2014-11-12,0.882194
2014-11-11,0.879959
2014-11-10,0.878113
2014-11-09,0.878113
2014-11-08,0.879199
2014-11-07,0.88277
2014-11-06,0.885127
2014-11-05,0.879884
2014-11-04,0.876933
