Date,CURRFX.NZDCHF.1
2015-03-07,0.728116
2015-03-06,0.728428
2015-03-05,0.726163
2015-03-04,0.721711
2015-03-03,0.720444
2015-03-02,0.721362
2015-03-01,0.720036
2015-02-28,0.718198
2015-02-27,0.717297
2015-02-26,0.713559
2015-02-25,0.710747
2015-02-24,0.709397
2015-02-23,0.708867
2015-02-22,0.708867
2015-02-21,0.713316
2015-02-20,0.710215
2015-02-19,0.705202
2015-02-18,0.700405
2015-02-17,0.697038
2015-02-16,0.694081
2015-02-15,0.694081
2015-02-14,0.68964
2015-02-13,0.685924
2015-02-12,0.685948
2015-02-11,0.684787
2015-02-10,0.683093
2015-02-09,0.681964
2015-02-08,0.682497
2015-02-07,0.683201
2015-02-06,0.683009
2015-02-05,0.679085
2015-02-04,0.673436
2015-02-03,0.672128
2015-02-02,0.668661
2015-02-01,0.6693
2015-01-31,0.66934
2015-01-30,0.669753
2015-01-29,0.672704
2015-01-28,0.666787
2015-01-27,0.658134
2015-01-26,0.65522
2015-01-25,0.65522
2015-01-24,0.652771
2015-01-23,0.655156
2015-01-22,0.668022
2015-01-21,0.676895
2015-01-20,0.672777
2015-01-19,0.667237
2015-01-18,0.670229
2015-01-17,0.702936
2015-01-16,0.761478
2015-01-15,0.788144
2015-01-14,0.789891
2015-01-13,0.792962
2015-01-12,0.794991
2015-01-11,0.794991
2015-01-10,0.794665
2015-01-09,0.79001
2015-01-08,0.783118
2015-01-07,0.776544
2015-01-06,0.771706
2015-01-05,0.771804
2015-01-04,0.771804
2015-01-03,0.773409
2015-01-02,0.774697
2015-01-01,0.774074
2014-12-31,0.770843
2014-12-30,0.767404
2014-12-29,0.765521
2014-12-28,0.765521
2014-12-27,0.762927
2014-12-26,0.761741
2014-12-25,0.76168
2014-12-24,0.761126
2014-12-23,0.761576
2014-12-22,0.762564
2014-12-21,0.762421
2014-12-20,0.759581
2014-12-19,0.751878
2014-12-18,0.746761
2014-12-17,0.747767
2014-12-16,0.748831
2014-12-15,0.751056
2014-12-14,0.751056
2014-12-13,0.754275
2014-12-12,0.752232
2014-12-11,0.746989
2014-12-10,0.747752
2014-12-09,0.751685
2014-12-08,0.755656
2014-12-07,0.755656
2014-12-06,0.755656
2014-12-05,0.757335
2014-12-04,0.758517
2014-12-03,0.758365
2014-12-02,0.757437
2014-12-01,0.758054
2014-11-30,0.758054
2014-11-29,0.758054
2014-11-28,0.757463
2014-11-27,0.755385
2014-11-26,0.758998
2014-11-25,0.76419
2014-11-24,0.762558
2014-11-23,0.762558
2014-11-22,0.756663
2014-11-21,0.753146
2014-11-20,0.757794
2014-11-19,0.763012
2014-11-18,0.760884
2014-11-17,0.758609
2014-11-16,0.758609
2014-11-15,0.759715
2014-11-14,0.759829
2014-11-13,0.754969
2014-11-12,0.750987
2014-11-11,0.750056
2014-11-10,0.748397
2014-11-09,0.748397
2014-11-08,0.746884
2014-11-07,0.746057
2014-11-06,0.747203
2014-11-05,0.747322
2014-11-04,0.749139
2014-11-03,0.750485
2014-11-02,0.750485
2014-11-01,0.749594
2014-10-31,0.748498
2014-10-30,0.750443
2014-10-29,0.749304
2014-10-28,0.748024
2014-10-27,0.747524
2014-10-26,0.747524
2014-10-25,0.747666
2014-10-24,0.751595
2014-10-23,0.7556
2014-10-22,0.752932
2014-10-21,0.75074
2014-10-20,0.749551
2014-10-19,0.749551
2014-10-18,0.749551
2014-10-17,0.749497
2014-10-16,0.748927
2014-10-15,0.749479
2014-10-14,0.749151
2014-10-13,0.748531
2014-10-12,0.748531
2014-10-11,0.750566
2014-10-10,0.751411
2014-10-09,0.749595
2014-10-08,0.751281
2014-10-07,0.751138
2014-10-06,0.751517
2014-10-05,0.751517
2014-10-04,0.751424
2014-10-03,0.748739
2014-10-02,0.744384
2014-10-01,0.741619
2014-09-30,0.743462
2014-09-29,0.748953
2014-09-28,0.748953
2014-09-27,0.752028
2014-09-26,0.757404
2014-09-25,0.760157
2014-09-24,0.761937
2014-09-23,0.76449
2014-09-22,0.764003
2014-09-21,0.764003
2014-09-20,0.762485
2014-09-19,0.762609
2014-09-18,0.763471
2014-09-17,0.763003
2014-09-16,0.76163
2014-09-15,0.761992
2014-09-14,0.761992
2014-09-13,0.76495
2014-09-12,0.767868
2014-09-11,0.771002
2014-09-10,0.773222
2014-09-09,0.77476
2014-09-08,0.774794
2014-09-07,0.774794
2014-09-06,0.771385
2014-09-05,0.766347
2014-09-04,0.765242
2014-09-03,0.768217
2014-09-02,0.768997
2014-09-01,0.767908
2014-08-31,0.767635
2014-08-30,0.766783
2014-08-29,0.766528
2014-08-28,0.765271
2014-08-27,0.763937
2014-08-26,0.76631
2014-08-25,0.767679
2014-08-24,0.767679
2014-08-23,0.766187
2014-08-22,0.765647
2014-08-21,0.765647
2014-08-20,0.766842
2014-08-19,0.766967
2014-08-18,0.767074
2014-08-17,0.767074
2014-08-16,0.768682
2014-08-15,0.768116
2014-08-14,0.766189
2014-08-13,0.766374
2014-08-12,0.76668
2014-08-11,0.76616
2014-08-10,0.766521
2014-08-09,0.768141
2014-08-08,0.769113
2014-08-07,0.769811
2014-08-06,0.772106
2014-08-05,0.771338
2014-08-04,0.771121
2014-08-03,0.771121
2014-08-02,0.771609
2014-08-01,0.77176
2014-07-31,0.771583
2014-07-30,0.771975
2014-07-29,0.773419
2014-07-28,0.773863
2014-07-27,0.773863
2014-07-26,0.774181
2014-07-25,0.778558
2014-07-24,0.782394
2014-07-23,0.780898
2014-07-22,0.781025
2014-07-21,0.781025
2014-07-20,0.780068
2014-07-19,0.779702
2014-07-18,0.781188
2014-07-17,0.783153
2014-07-16,0.785587
2014-07-15,0.786019
2014-07-14,0.786424
2014-07-13,0.786424
2014-07-12,0.78655
2014-07-11,0.785906
2014-07-10,0.784973
2014-07-09,0.783196
2014-07-08,0.781746
2014-07-07,0.781538
2014-07-06,0.781636
2014-07-05,0.781237
2014-07-04,0.779741
2014-07-03,0.77823
2014-07-02,0.778016
2014-07-01,0.780208
2014-06-30,0.782618
2014-06-29,0.782618
2014-06-28,0.782764
2014-06-27,0.780568
2014-06-26,0.777536
2014-06-25,0.779317
2014-06-24,0.779791
2014-06-23,0.778555
2014-06-22,0.778555
2014-06-21,0.779213
2014-06-20,0.779683
2014-06-19,0.778922
2014-06-18,0.778989
2014-06-17,0.780217
2014-06-16,0.779777
2014-06-15,0.779777
2014-06-14,0.778779
2014-06-13,0.77526
2014-06-12,0.767483
2014-06-11,0.763281
2014-06-10,0.760738
2014-06-09,0.759519
2014-06-08,0.759519
2014-06-07,0.758325
2014-06-06,0.756517
2014-06-05,0.756438
2014-06-04,0.758971
2014-06-03,0.760046
2014-06-02,0.760783
2014-06-01,0.760783
2014-05-31,0.761337
2014-05-30,0.762506
2014-05-29,0.76499
2014-05-28,0.765606
2014-05-27,0.765295
2014-05-26,0.765753
2014-05-25,0.765753
2014-05-24,0.765402
2014-05-23,0.765402
2014-05-22,0.765384
2014-05-21,0.768187
2014-05-20,0.770164
2014-05-19,0.769956
2014-05-18,0.769956
2014-05-17,0.770366
2014-05-16,0.770955
2014-05-15,0.768947
2014-05-14,0.766418
2014-05-13,0.764397
2014-05-12,0.762855
2014-05-11,0.762855
2014-05-10,0.760689
2014-05-09,0.758971
2014-05-08,0.761278
2014-05-07,0.762708
2014-05-06,0.760708
2014-05-05,0.760513
2014-05-04,0.760513
2014-05-03,0.759237
2014-05-02,0.757447
2014-05-01,0.754868
2014-04-30,0.752722
2014-04-29,0.754546
2014-04-28,0.756058
2014-04-27,0.756058
2014-04-26,0.756856
2014-04-25,0.758645
2014-04-24,0.759316
2014-04-23,0.75902
2014-04-22,0.75771
2014-04-21,0.758118
2014-04-20,0.758118
2014-04-19,0.75787
2014-04-18,0.758031
2014-04-17,0.759257
2014-04-16,0.761741
2014-04-15,0.761387
2014-04-14,0.76057
2014-04-13,0.76057
2014-04-12,0.761608
2014-04-11,0.765732
2014-04-10,0.766503
2014-04-09,0.765922
2014-04-08,0.766368
2014-04-07,0.766304
2014-04-06,0.766304
2014-04-05,0.762098
2014-04-04,0.759137
2014-04-03,0.761652
2014-04-02,0.766558
2014-04-01,0.767576
2014-03-31,0.768768
2014-03-30,0.768768
2014-03-29,0.768197
2014-03-28,0.763745
2014-03-27,0.758251
2014-03-26,0.754617
2014-03-25,0.753989
2014-03-24,0.753849
2014-03-23,0.753849
2014-03-22,0.753948
2014-03-21,0.753163
2014-03-20,0.752045
2014-03-19,0.748982
2014-03-18,0.746412
2014-03-17,0.7455
2014-03-16,0.7455
2014-03-15,0.746653
2014-03-14,0.745275
2014-03-13,0.74334
2014-03-12,0.744179
2014-03-11,0.742888
2014-03-10,0.743953
2014-03-09,0.743953
2014-03-08,0.746343
2014-03-07,0.74742
2014-03-06,0.744038
2014-03-05,0.739383
2014-03-04,0.737177
2014-03-03,0.739757
2014-03-02,0.739757
2014-03-01,0.742685
2014-02-28,0.741425
2014-02-27,0.739574
2014-02-26,0.738506
2014-02-25,0.736023
2014-02-24,0.73514
2014-02-23,0.73609
2014-02-22,0.736906
2014-02-21,0.736657
2014-02-20,0.739293
2014-02-19,0.743447
2014-02-18,0.746133
2014-02-17,0.746539
2014-02-16,0.746386
2014-02-15,0.74618
2014-02-14,0.747674
2014-02-13,0.747555
2014-02-12,0.743875
2014-02-11,0.743528
2014-02-10,0.744075
2014-02-09,0.744075
2014-02-08,0.743328
2014-02-07,0.74335
2014-02-06,0.739726
2014-02-05,0.734526
2014-02-04,0.733431
2014-02-03,0.733467
2014-02-02,0.733467
2014-02-01,0.734427
2014-01-31,0.737579
2014-01-30,0.742249
2014-01-29,0.740021
2014-01-28,0.736391
2014-01-27,0.734836
2014-01-26,0.737375
2014-01-25,0.745258
2014-01-24,0.754111
2014-01-23,0.757816
2014-01-22,0.755683
2014-01-21,0.751463
2014-01-20,0.751679
2014-01-19,0.751679
2014-01-18,0.753431
2014-01-17,0.756138
2014-01-16,0.756573
2014-01-15,0.754315
2014-01-14,0.75114
2014-01-13,0.748792
2014-01-12,0.748792
2014-01-11,0.749002
2014-01-10,0.752276
2014-01-09,0.752425
2014-01-08,0.749788
2014-01-07,0.74891
2014-01-06,0.749062
2014-01-05,0.747143
2014-01-04,0.740403
2014-01-03,0.733704
2014-01-02,0.731708
2014-01-01,0.729475
2013-12-31,0.726707
2013-12-30,0.727012
2013-12-29,0.727012
2013-12-28,0.729559
2013-12-27,0.732596
2013-12-26,0.733431
2013-12-25,0.733467
2013-12-24,0.734609
2013-12-23,0.735017
2013-12-22,0.735017
2013-12-21,0.734668
2013-12-20,0.732772
2013-12-19,0.732279
2013-12-18,0.733549
2013-12-17,0.7345
2013-12-16,0.734479
2013-12-15,0.734479
2013-12-14,0.733487
2013-12-13,0.733848
2013-12-12,0.734988
2013-12-11,0.73809
2013-12-10,0.738764
2013-12-09,0.737863
2013-12-08,0.737863
2013-12-07,0.737283
2013-12-06,0.739706
2013-12-05,0.742505
2013-12-04,0.743803
2013-12-03,0.739979
2013-12-02,0.735773
2013-12-01,0.735701
2013-11-30,0.736644
2013-11-29,0.739634
2013-11-28,0.743427
2013-11-27,0.746913
2013-11-26,0.745172
2013-11-25,0.744313
2013-11-24,0.744313
2013-11-23,0.749341
2013-11-22,0.756246
2013-11-21,0.75972
2013-11-20,0.761668
2013-11-19,0.763583
2013-11-18,0.762269
2013-11-17,0.762269
2013-11-16,0.759687
2013-11-15,0.75686
2013-11-14,0.755635
2013-11-13,0.75799
2013-11-12,0.760394
2013-11-11,0.761196
2013-11-10,0.761196
2013-11-09,0.763409
2013-11-08,0.764344
2013-11-07,0.761307
2013-11-06,0.755655
2013-11-05,0.754708
2013-11-04,0.752924
2013-11-03,0.752924
2013-11-02,0.749069
2013-11-01,0.744527
2013-10-31,0.741968
2013-10-30,0.741714
2013-10-29,0.740842
2013-10-28,0.740137
2013-10-27,0.740137
2013-10-26,0.743788
2013-10-25,0.749456
2013-10-24,0.756567
2013-10-23,0.763807
2013-10-22,0.765764
2013-10-21,0.766259
2013-10-20,0.766259
2013-10-19,0.766335
2013-10-18,0.766707
2013-10-17,0.766707
2013-10-16,0.762558
2013-10-15,0.759286
2013-10-14,0.758253
2013-10-13,0.758253
2013-10-12,0.755615
