Date,CURRFX.NZDJPY.1
2015-03-07,89.8567
2015-03-06,90.4085
2015-03-05,90.4768
2015-03-04,90.2821
2015-03-03,90.3354
2015-03-02,90.3394
2015-03-01,90.3394
2015-02-28,90.1033
2015-02-27,89.8386
2015-02-26,89.3763
2015-02-25,89.2316
2015-02-24,89.5096
2015-02-23,89.5436
2015-02-22,89.534
2015-02-21,89.5329
2015-02-20,89.6387
2015-02-19,89.5913
2015-02-18,89.1407
2015-02-17,88.7937
2015-02-16,88.5444
2015-02-15,88.5444
2015-02-14,88.39
2015-02-13,88.4642
2015-02-12,88.4643
2015-02-11,87.9835
2015-02-10,87.7491
2015-02-09,87.5005
2015-02-08,87.5005
2015-02-07,87.0136
2015-02-06,86.727
2015-02-05,86.2765
2015-02-04,85.3664
2015-02-03,85.4183
2015-02-02,85.4199
2015-02-01,85.4199
2015-01-31,85.7685
2015-01-30,86.7271
2015-01-29,87.8585
2015-01-28,87.7895
2015-01-27,87.7471
2015-01-26,88.0725
2015-01-25,88.0725
2015-01-24,88.6832
2015-01-23,89.4057
2015-01-22,90.5873
2015-01-21,91.469
2015-01-20,91.469
2015-01-19,91.4256
2015-01-18,91.4256
2015-01-17,91.0739
2015-01-16,90.8062
2015-01-15,91.0045
2015-01-14,92.0095
2015-01-13,92.649
2015-01-12,93.0404
2015-01-11,93.0404
2015-01-10,93.2855
2015-01-09,92.918
2015-01-08,92.2235
2015-01-07,92.1343
2015-01-06,92.3919
2015-01-05,92.9299
2015-01-04,92.9299
2015-01-03,93.2579
2015-01-02,93.4832
2015-01-01,93.5982
2014-12-31,93.6651
2014-12-30,93.601
2014-12-29,93.353
2014-12-28,93.353
2014-12-27,93.1435
2014-12-26,93.0465
2014-12-25,93.0147
2014-12-24,92.8712
2014-12-23,92.6623
2014-12-22,92.6227
2014-12-21,92.6227
2014-12-20,92.3077
2014-12-19,91.3555
2014-12-18,90.8435
2014-12-17,91.3195
2014-12-16,92.0218
2014-12-15,92.4382
2014-12-14,92.4382
2014-12-13,92.5347
2014-12-12,92.2607
2014-12-11,91.8281
2014-12-10,92.3197
2014-12-09,93.1507
2014-12-08,93.6964
2014-12-07,93.5939
2014-12-06,93.2658
2014-12-05,92.9676
2014-12-04,93.0033
2014-12-03,93.1056
2014-12-02,93.0299
2014-12-01,92.985
2014-11-30,92.985
2014-11-29,92.7957
2014-11-28,92.5654
2014-11-27,92.2961
2014-11-26,92.5833
2014-11-25,92.9931
2014-11-24,92.8764
2014-11-23,92.8764
2014-11-22,92.8764
2014-11-21,92.6807
2014-11-20,92.5201
2014-11-19,92.4859
2014-11-18,92.1014
2014-11-17,91.7711
2014-11-16,91.7711
2014-11-15,91.3748
2014-11-14,90.9754
2014-11-13,90.2159
2014-11-12,89.3411
2014-11-11,88.9096
2014-11-10,88.7331
2014-11-09,88.7331
2014-11-08,88.5989
2014-11-07,88.6282
2014-11-06,88.4976
2014-11-05,87.9524
2014-11-04,87.6924
2014-11-03,87.2704
2014-11-02,87.2704
2014-11-01,86.2548
2014-10-31,85.3895
2014-10-30,85.5873
2014-10-29,85.218
2014-10-28,84.9726
2014-10-27,84.873
2014-10-26,84.873
2014-10-25,84.6238
2014-10-24,84.7516
2014-10-23,85.1982
2014-10-22,85.1492
2014-10-21,84.9406
2014-10-20,84.5904
2014-10-19,84.5904
2014-10-18,84.4529
2014-10-17,84.2416
2014-10-16,84.1411
2014-10-15,84.2944
2014-10-14,84.2803
2014-10-13,84.2978
2014-10-12,84.2978
2014-10-11,84.8608
2014-10-10,85.1127
2014-10-09,84.7819
2014-10-08,85.0574
2014-10-07,85.1463
2014-10-06,85.3219
2014-10-05,85.3219
2014-10-04,85.4576
2014-10-03,85.4196
2014-10-02,85.3816
2014-10-01,85.2251
2014-09-30,85.4855
2014-09-29,86.06
2014-09-28,86.06
2014-09-27,86.5205
2014-09-26,87.3115
2014-09-25,87.883
2014-09-24,88.2732
2014-09-23,88.595
2014-09-22,88.6412
2014-09-21,88.6412
2014-09-20,88.5142
2014-09-19,88.0375
2014-09-18,87.6848
2014-09-17,87.5222
2014-09-16,87.447
2014-09-15,87.5278
2014-09-14,87.5278
2014-09-13,87.5661
2014-09-12,87.6165
2014-09-11,87.7448
2014-09-10,87.6319
2014-09-09,87.4985
2014-09-08,87.4585
2014-09-07,87.4585
2014-09-06,87.3439
2014-09-05,87.3424
2014-09-04,87.3686
2014-09-03,87.3864
2014-09-02,87.1925
2014-09-01,87.0338
2014-08-31,87.0154
2014-08-30,86.9738
2014-08-29,86.9729
2014-08-28,86.8436
2014-08-27,86.753
2014-08-26,87.1013
2014-08-25,87.3412
2014-08-24,87.3412
2014-08-23,87.1785
2014-08-22,86.8957
2014-08-21,86.7265
2014-08-20,86.7925
2014-08-19,86.899
2014-08-18,86.9177
2014-08-17,86.9177
2014-08-16,86.9622
2014-08-15,86.7285
2014-08-14,86.3482
2014-08-13,86.311
2014-08-12,86.3961
2014-08-11,86.2916
2014-08-10,86.2916
2014-08-09,86.3654
2014-08-08,86.5608
2014-08-07,86.8218
2014-08-06,87.2919
2014-08-05,87.3405
2014-08-04,87.3405
2014-08-03,87.3405
2014-08-02,87.3483
2014-08-01,87.2213
2014-07-31,86.9778
2014-07-30,86.9503
2014-07-29,87.0545
2014-07-28,87.1331
2014-07-27,87.1331
2014-07-26,87.2287
2014-07-25,87.6148
2014-07-24,88.0501
2014-07-23,88.059
2014-07-22,88.1165
2014-07-21,88.0902
2014-07-20,88.0015
2014-07-19,88.0298
2014-07-18,88.392
2014-07-17,88.91
2014-07-16,89.3735
2014-07-15,89.3625
2014-07-14,89.2939
2014-07-13,89.2939
2014-07-12,89.3421
2014-07-11,89.432
2014-07-10,89.3722
2014-07-09,89.2171
2014-07-08,89.1777
2014-07-07,89.2178
2014-07-06,89.241
2014-07-05,89.29
2014-07-04,89.2352
2014-07-03,89.0286
2014-07-02,88.861
2014-07-01,88.8671
2014-06-30,89.0661
2014-06-29,89.0661
2014-06-28,89.0409
2014-06-27,88.9387
2014-06-26,88.6574
2014-06-25,88.8067
2014-06-24,88.8673
2014-06-23,88.7921
2014-06-22,88.7921
2014-06-21,88.7985
2014-06-20,88.7506
2014-06-19,88.5225
2014-06-18,88.3777
2014-06-17,88.4086
2014-06-16,88.3903
2014-06-15,88.3903
2014-06-14,88.3064
2014-06-13,87.9472
2014-06-12,87.2514
2014-06-11,87.1408
2014-06-10,87.1784
2014-06-09,87.1319
2014-06-08,87.1319
2014-06-07,86.9341
2014-06-06,86.5775
2014-06-05,86.4678
2014-06-04,86.5168
2014-06-03,86.4613
2014-06-02,86.3967
2014-06-01,86.3967
2014-05-31,86.3082
2014-05-30,86.4366
2014-05-29,86.9346
2014-05-28,87.1474
2014-05-27,87.1049
2014-05-26,87.1391
2014-05-25,87.1391
2014-05-24,87.1057
2014-05-23,86.9413
2014-05-22,86.8645
2014-05-21,87.3029
2014-05-20,87.5738
2014-05-19,87.6279
2014-05-18,87.6279
2014-05-17,87.8593
2014-05-16,88.1761
2014-05-15,88.2765
2014-05-14,88.1557
2014-05-13,87.858
2014-05-12,87.7379
2014-05-11,87.7379
2014-05-10,87.8996
2014-05-09,88.1419
2014-05-08,88.5242
2014-05-07,88.7277
2014-05-06,88.4897
2014-05-05,88.525
2014-05-04,88.525
2014-05-03,88.3367
2014-05-02,88.0072
2014-05-01,87.7054
2014-04-30,87.5623
2014-04-29,87.5858
2014-04-28,87.7739
2014-04-27,87.7739
2014-04-26,87.7739
2014-04-25,87.9947
2014-04-24,88.0728
2014-04-23,88.0487
2014-04-22,87.9091
2014-04-21,87.8821
2014-04-20,87.8821
2014-04-19,87.9046
2014-04-18,87.9524
2014-04-17,88.0116
2014-04-16,88.134
2014-04-15,88.214
2014-04-14,88.2229
2014-04-13,88.2229
2014-04-12,88.2891
2014-04-11,88.5918
2014-04-10,88.5953
2014-04-09,88.7021
2014-04-08,88.791
2014-04-07,88.8523
2014-04-06,88.8523
2014-04-05,88.813
2014-04-04,88.9062
2014-04-03,89.2845
2014-04-02,89.5057
2014-04-01,89.1851
2014-03-31,88.9705
2014-03-30,88.9705
2014-03-29,88.635
2014-03-28,88.1438
2014-03-27,87.7667
2014-03-26,87.4564
2014-03-25,87.3508
2014-03-24,87.3185
2014-03-23,87.3185
2014-03-22,87.3793
2014-03-21,87.4028
2014-03-20,87.3845
2014-03-19,87.1204
2014-03-18,86.7769
2014-03-17,86.6174
2014-03-16,86.6174
2014-03-15,87.0994
2014-03-14,87.4558
2014-03-13,87.244
2014-03-12,87.4548
2014-03-11,87.358
2014-03-10,87.4135
2014-03-09,87.4135
2014-03-08,87.1809
2014-03-07,86.4829
2014-03-06,85.7077
2014-03-05,85.1228
2014-03-04,85.0228
2014-03-03,85.4357
2014-03-02,85.4357
2014-03-01,85.4617
2014-02-28,85.2183
2014-02-27,85.2014
2014-02-26,85.1669
2014-02-25,84.931
2014-02-24,84.9241
2014-02-23,84.9241
2014-02-22,84.8341
2014-02-21,84.6881
2014-02-20,85.0488
2014-02-19,85.2142
2014-02-18,85.1564
2014-02-17,85.161
2014-02-16,85.161
2014-02-15,85.1483
2014-02-14,85.2146
2014-02-13,85.2661
2014-02-12,84.8694
2014-02-11,84.7355
2014-02-10,84.6701
2014-02-09,84.6701
2014-02-08,84.0799
2014-02-07,83.5403
2014-02-06,82.9401
2014-02-05,82.4893
2014-02-04,82.5509
2014-02-03,82.7683
2014-02-02,82.7683
2014-02-01,83.4429
2014-01-31,84.1957
2014-01-30,85.001
2014-01-29,84.7051
2014-01-28,84.281
2014-01-27,84.1136
2014-01-26,84.4642
2014-01-25,85.5662
2014-01-24,86.5715
2014-01-23,86.8306
2014-01-22,86.5293
2014-01-21,86.0197
2014-01-20,86.2746
2014-01-19,86.2746
2014-01-18,86.7056
2014-01-17,87.0997
2014-01-16,87.0369
2014-01-15,86.6174
2014-01-14,86.3605
2014-01-13,86.4961
2014-01-12,86.4609
2014-01-11,86.4721
2014-01-10,86.6693
2014-01-09,86.6952
2014-01-08,86.5625
2014-01-07,86.5625
2014-01-06,86.5531
2014-01-05,86.5531
2014-01-04,86.2176
2014-01-03,86.4158
2014-01-02,86.5825
2014-01-01,86.1797
2013-12-31,85.8346
2013-12-30,85.7039
2013-12-29,85.7039
2013-12-28,85.6268
2013-12-27,85.4515
2013-12-26,85.3752
2013-12-25,85.3423
2013-12-24,85.3264
2013-12-23,85.3237
2013-12-22,85.3732
2013-12-21,85.3745
2013-12-20,85.1507
2013-12-19,85.0323
2013-12-18,85.1056
2013-12-17,85.2171
2013-12-16,85.3077
2013-12-15,85.3077
2013-12-14,85.1436
2013-12-13,84.9464
2013-12-12,85.1066
2013-12-11,85.4812
2013-12-10,85.3345
2013-12-09,84.8019
2013-12-08,84.8019
2013-12-07,83.9338
2013-12-06,83.8223
2013-12-05,84.1453
2013-12-04,84.2705
2013-12-03,83.7132
2013-12-02,83.1788
2013-12-01,83.1788
2013-11-30,83.1959
2013-11-29,83.2099
2013-11-28,83.2001
2013-11-27,83.3514
2013-11-26,83.2289
2013-11-25,82.9375
