Date,CURRFX.NZDUSD.1
2015-03-06,0.75435
2015-03-05,0.75594
2015-03-04,0.753484
2015-03-03,0.754166
2015-03-02,0.755262
2015-02-27,0.755262
2015-02-26,0.751404
2015-02-25,0.749383
2015-02-24,0.752082
2015-02-23,0.752939
2015-02-20,0.753676
2015-02-19,0.752838
2015-02-18,0.751317
2015-02-17,0.748481
2015-02-16,0.742759
2015-02-13,0.738724
2015-02-12,0.740648
2015-02-11,0.740413
2015-02-10,0.738068
2015-02-09,0.736939
2015-02-06,0.738594
2015-02-05,0.734365
2015-02-04,0.727057
2015-02-03,0.727029
2015-02-02,0.727524
2015-01-30,0.735889
2015-01-29,0.744908
2015-01-28,0.743655
2015-01-27,0.743912
2015-01-26,0.748911
2015-01-23,0.757826
2015-01-22,0.766939
2015-01-21,0.774979
2015-01-20,0.77874
2015-01-19,0.7779
2015-01-16,0.775151
2015-01-15,0.773946
2015-01-14,0.777557
2015-01-13,0.781767
2015-01-12,0.781984
2015-01-09,0.777881
2015-01-08,0.774688
2015-01-07,0.771452
2015-01-06,0.768242
2015-01-05,0.773534
2015-01-02,0.780609
2015-01-01,0.781967
2014-12-31,0.779667
2014-12-30,0.777071
2014-12-29,0.77474
2014-12-26,0.77242
2014-12-25,0.772538
2014-12-24,0.773481
2014-12-23,0.774597
2014-12-22,0.774072
2014-12-19,0.773445
2014-12-18,0.77547
2014-12-17,0.776296
2014-12-16,0.776268
2014-12-15,0.778961
2014-12-12,0.777413
2014-12-11,0.769006
2014-12-10,0.766588
2014-12-09,0.767926
2014-12-08,0.77302
2014-12-05,0.776683
2014-12-04,0.780455
2014-12-03,0.784376
2014-12-02,0.78454
2014-12-01,0.786198
2014-11-28,0.786811
2014-11-27,0.783005
2014-11-26,0.784131
2014-11-25,0.788106
2014-11-24,0.787074
2014-11-21,0.785967
2014-11-20,0.789915
2014-11-19,0.793887
2014-11-18,0.792538
2014-11-17,0.790047
2014-11-14,0.787329
2014-11-13,0.781632
2014-11-12,0.776971
2014-11-11,0.776831
2014-11-10,0.773803
2014-11-07,0.773831
2014-11-06,0.776416
2014-11-05,0.775414
2014-11-04,0.776982
2014-11-03,0.779953
2014-10-31,0.785092
2014-10-30,0.791743
2014-10-29,0.789616
2014-10-28,0.786738
2014-10-27,0.785207
2014-10-24,0.788951
2014-10-23,0.796781
2014-10-22,0.796864
2014-10-21,0.793814
2014-10-20,0.793113
2014-10-17,0.792516
2014-10-16,0.787189
2014-10-15,0.78677
2014-10-14,0.784574
2014-10-13,0.785104
2014-10-10,0.787774
2014-10-09,0.782419
2014-10-08,0.781311
2014-10-07,0.777377
2014-10-06,0.779753
