Date,CURRFX.USDCAD.1
2015-03-06,1.24621
2015-03-05,1.24928
2015-03-04,1.25086
2015-03-03,1.25115
2015-03-02,1.24857
2015-02-27,1.24516
2015-02-26,1.25023
2015-02-25,1.25851
2015-02-24,1.2556
2015-02-23,1.25119
2015-02-20,1.24537
2015-02-19,1.2419
2015-02-18,1.24338
2015-02-17,1.24502
2015-02-16,1.24986
2015-02-13,1.25859
2015-02-12,1.25656
2015-02-11,1.25058
2015-02-10,1.25058
2015-02-09,1.25206
2015-02-06,1.2496
2015-02-05,1.24963
2015-02-04,1.25944
2015-02-03,1.27018
2015-02-02,1.26649
2015-01-30,1.25065
2015-01-29,1.24439
2015-01-28,1.24527
2015-01-27,1.24366
2015-01-26,1.23981
2015-01-23,1.22847
2015-01-22,1.20983
2015-01-21,1.19894
2015-01-20,1.1974
2015-01-19,1.19703
2015-01-16,1.19545
2015-01-15,1.19669
2015-01-14,1.19339
2015-01-13,1.18771
2015-01-12,1.18498
2015-01-09,1.18286
2015-01-08,1.18121
2015-01-07,1.17776
2015-01-06,1.17876
2015-01-05,1.17185
2015-01-02,1.16087
2015-01-01,1.16103
2014-12-31,1.16284
2014-12-30,1.16284
2014-12-29,1.16298
2014-12-26,1.16259
2014-12-25,1.16208
2014-12-24,1.16199
2014-12-23,1.1609
2014-12-22,1.16099
2014-12-19,1.16253
2014-12-18,1.16395
2014-12-17,1.16227
2014-12-16,1.15853
2014-12-15,1.15443
2014-12-12,1.14776
2014-12-11,1.14617
2014-12-10,1.14593
2014-12-09,1.14427
2014-12-08,1.14089
2014-12-05,1.13746
2014-12-04,1.13739
2014-12-03,1.13735
2014-12-02,1.14083
2014-12-01,1.1365
2014-11-28,1.12699
2014-11-27,1.12664
2014-11-26,1.12681
2014-11-25,1.12422
2014-11-24,1.12692
2014-11-21,1.13326
2014-11-20,1.13157
2014-11-19,1.12928
2014-11-18,1.12943
2014-11-17,1.13051
2014-11-14,1.13269
2014-11-13,1.13412
2014-11-12,1.13553
2014-11-11,1.13573
2014-11-10,1.13573
2014-11-07,1.14093
2014-11-06,1.14006
2014-11-05,1.13463
2014-11-04,1.12868
2014-11-03,1.12402
2014-10-31,1.11821
2014-10-30,1.11831
2014-10-29,1.12256
2014-10-28,1.12337
2014-10-27,1.12383
2014-10-24,1.12377
2014-10-23,1.12382
2014-10-22,1.12616
2014-10-21,1.12764
2014-10-20,1.12793
2014-10-17,1.12941
2014-10-16,1.12892
2014-10-15,1.12204
2014-10-14,1.11999
2014-10-13,1.11661
2014-10-10,1.11367
2014-10-09,1.11675
2014-10-08,1.11855
2014-10-07,1.12272
2014-10-06,1.12041
2014-10-03,1.11565
2014-10-02,1.11874
2014-10-01,1.11659
2014-09-30,1.11566
2014-09-29,1.11327
2014-09-26,1.10872
2014-09-25,1.10627
2014-09-24,1.10166
2014-09-23,1.0973
2014-09-22,1.09711
2014-09-19,1.09783
2014-09-18,1.09932
2014-09-17,1.10501
2014-09-16,1.1083
2014-09-15,1.10531
2014-09-12,1.09831
2014-09-11,1.09806
2014-09-10,1.09601
2014-09-09,1.0901
2014-09-08,1.08826
2014-09-05,1.08928
2014-09-04,1.09074
2014-09-03,1.08906
2014-09-02,1.0872
2014-09-01,1.08691
2014-08-29,1.08734
2014-08-28,1.09288
2014-08-27,1.09661
2014-08-26,1.0956
2014-08-25,1.09514
2014-08-22,1.09593
2014-08-21,1.09337
2014-08-20,1.09
2014-08-19,1.08912
2014-08-18,1.09032
2014-08-15,1.09145
2014-08-14,1.09278
2014-08-13,1.09446
2014-08-12,1.09642
2014-08-11,1.09535
2014-08-08,1.09339
2014-08-07,1.09455
2014-08-06,1.09277
2014-08-05,1.09196
2014-08-04,1.09124
2014-08-01,1.08927
2014-07-31,1.08525
2014-07-30,1.08156
2014-07-29,1.08113
2014-07-28,1.07841
2014-07-25,1.07346
2014-07-24,1.07353
2014-07-23,1.07402
2014-07-22,1.07371
2014-07-21,1.07376
2014-07-18,1.07487
2014-07-17,1.07498
2014-07-16,1.07334
2014-07-15,1.07321
2014-07-14,1.07037
2014-07-11,1.06619
2014-07-10,1.06734
2014-07-09,1.06729
2014-07-08,1.06562
2014-07-07,1.06545
2014-07-04,1.06527
2014-07-03,1.06514
2014-07-02,1.06661
2014-07-01,1.06709
2014-06-30,1.06832
2014-06-27,1.07213
2014-06-26,1.0735
2014-06-25,1.07323
2014-06-24,1.0744
2014-06-23,1.07826
2014-06-20,1.08412
2014-06-19,1.08619
2014-06-18,1.08574
2014-06-17,1.08574
2014-06-16,1.08587
2014-06-13,1.08707
2014-06-12,1.0895
2014-06-11,1.09127
2014-06-10,1.09255
2014-06-09,1.09343
2014-06-06,1.09366
2014-06-05,1.09217
2014-06-04,1.08924
2014-06-03,1.08613
2014-06-02,1.08512
2014-05-30,1.08591
2014-05-29,1.08578
