Date,CURRFX.USDCHF.1
2015-03-06,0.965684
2015-03-05,0.960944
2015-03-04,0.95789
2015-03-03,0.955293
2015-03-02,0.952402
2015-02-27,0.94975
2015-02-26,0.949585
2015-02-25,0.948507
2015-02-24,0.943321
2015-02-23,0.940481
2015-02-20,0.942489
2015-02-19,0.936723
2015-02-18,0.932221
2015-02-17,0.931339
2015-02-16,0.931317
2015-02-13,0.928545
2015-02-12,0.926235
2015-02-11,0.924865
2015-02-10,0.92546
2015-02-09,0.92588
2015-02-06,0.925252
2015-02-05,0.925252
2015-02-04,0.926299
2015-02-03,0.924813
2015-02-02,0.918511
2015-01-30,0.910478
2015-01-29,0.903034
2015-01-28,0.896381
2015-01-27,0.884761
2015-01-26,0.873173
2015-01-23,0.864524
2015-01-22,0.871189
2015-01-21,0.87365
2015-01-20,0.864033
2015-01-19,0.895827
2015-01-16,0.982901
2015-01-15,1.01851
2015-01-14,1.01598
2015-01-13,1.01446
2015-01-12,1.0154
2015-01-09,1.01559
2015-01-08,1.01093
2015-01-07,1.00685
2015-01-06,1.00454
2015-01-05,0.998848
2015-01-02,0.992428
2015-01-01,0.990009
2014-12-31,0.988714
2014-12-30,0.987476
2014-12-29,0.987166
2014-12-26,0.986269
2014-12-25,0.986069
2014-12-24,0.984084
2014-12-23,0.983234
2014-12-22,0.981371
2014-12-19,0.971998
2014-12-18,0.963104
2014-12-17,0.963374
2014-12-16,0.964712
2014-12-15,0.965042
2014-12-12,0.968229
2014-12-11,0.971385
2014-12-10,0.975377
2014-12-09,0.977454
2014-12-08,0.977454
2014-12-05,0.975094
2014-12-04,0.971888
2014-12-03,0.966961
2014-12-02,0.965539
2014-12-01,0.964327
2014-11-28,0.962771
2014-11-27,0.964632
2014-11-26,0.967795
2014-11-25,0.969657
2014-11-24,0.965204
2014-11-21,0.958152
2014-11-20,0.959576
2014-11-19,0.961136
2014-11-18,0.96014
2014-11-17,0.96146
2014-11-14,0.965135
2014-11-13,0.966063
2014-11-12,0.966695
2014-11-11,0.965538
2014-11-10,0.965844
2014-11-07,0.964096
2014-11-06,0.962389
2014-11-05,0.963754
2014-11-04,0.964262
2014-11-03,0.960424
2014-10-31,0.952853
2014-10-30,0.947851
2014-10-29,0.949077
2014-10-28,0.950817
2014-10-27,0.952643
2014-10-24,0.952605
2014-10-23,0.948396
2014-10-22,0.944816
2014-10-21,0.94566
2014-10-20,0.945044
2014-10-17,0.945918
2014-10-16,0.951431
2014-10-15,0.952612
2014-10-14,0.954898
2014-10-13,0.955015
2014-10-10,0.953863
2014-10-09,0.958168
2014-10-08,0.961894
2014-10-07,0.96623
2014-10-06,0.963157
2014-10-03,0.95565
2014-10-02,0.955502
2014-10-01,0.952874
2014-09-30,0.951438
2014-09-29,0.949832
2014-09-26,0.945242
2014-09-25,0.940489
2014-09-24,0.939182
2014-09-23,0.940279
2014-09-22,0.94001
2014-09-19,0.937041
2014-09-18,0.934255
2014-09-17,0.934327
2014-09-16,0.934396
2014-09-15,0.934484
2014-09-12,0.935637
2014-09-11,0.935065
2014-09-10,0.93437
2014-09-09,0.931914
2014-09-08,0.92817
2014-09-05,0.921189
2014-09-04,0.919258
2014-09-03,0.919601
2014-09-02,0.918816
2014-09-01,0.916923
2014-08-29,0.915137
2014-08-28,0.916081
2014-08-27,0.915772
2014-08-26,0.915122
2014-08-25,0.913484
2014-08-22,0.912128
2014-08-21,0.909508
2014-08-20,0.906505
2014-08-19,0.903865
2014-08-18,0.904151
2014-08-15,0.907138
2014-08-14,0.907848
2014-08-13,0.907402
2014-08-12,0.905908
2014-08-11,0.906488
2014-08-08,0.908691
2014-08-07,0.908972
2014-08-06,0.907625
2014-08-05,0.906146
2014-08-04,0.906792
2014-08-01,0.908514
2014-07-31,0.907008
2014-07-30,0.904904
2014-07-29,0.904593
2014-07-28,0.903941
2014-07-25,0.90161
2014-07-24,0.90161
2014-07-23,0.899418
2014-07-22,0.898253
2014-07-21,0.898281
2014-07-18,0.897663
2014-07-17,0.895857
2014-07-16,0.892705
2014-07-15,0.892018
2014-07-14,0.891983
2014-07-11,0.89199
2014-07-10,0.89289
2014-07-09,0.893784
2014-07-08,0.894326
2014-07-07,0.892891
2014-07-04,0.889908
2014-07-03,0.887933
2014-07-02,0.888062
2014-07-01,0.890178
2014-06-30,0.891824
2014-06-27,0.893693
2014-06-26,0.893693
2014-06-25,0.894658
2014-06-24,0.894993
2014-06-23,0.894684
2014-06-20,0.896
2014-06-19,0.898537
2014-06-18,0.898783
2014-06-17,0.899531
2014-06-16,0.899952
2014-06-13,0.899551
2014-06-12,0.899248
2014-06-11,0.89719
2014-06-10,0.894402
2014-06-09,0.894359
2014-06-06,0.896292
2014-06-05,0.897152
2014-06-04,0.897372
2014-06-03,0.89634
2014-06-02,0.896071
2014-05-30,0.897539
2014-05-29,0.896878
2014-05-28,0.895581
2014-05-27,0.895588
2014-05-26,0.895116
2014-05-23,0.893442
2014-05-22,0.892555
2014-05-21,0.892022
2014-05-20,0.892029
2014-05-19,0.892121
2014-05-16,0.890554
2014-05-15,0.88921
2014-05-14,0.888061
2014-05-13,0.886913
2014-05-12,0.882537
2014-05-09,0.875869
2014-05-08,0.875065
2014-05-07,0.876293
2014-05-06,0.877753
2014-05-05,0.878703
2014-05-02,0.880489
2014-05-01,0.881826
2014-04-30,0.880847
2014-04-29,0.880765
2014-04-28,0.882061
2014-04-25,0.882944
2014-04-24,0.883777
2014-04-23,0.884345
2014-04-22,0.883576
2014-04-21,0.882594
2014-04-18,0.880594
2014-04-17,0.87961
2014-04-16,0.87961
2014-04-15,0.877311
2014-04-14,0.876837
2014-04-11,0.879956
2014-04-10,0.884095
2014-04-09,0.887412
2014-04-08,0.891017
2014-04-07,0.890751
2014-04-04,0.886963
2014-04-03,0.884092
2014-04-02,0.884273
2014-04-01,0.886029
2014-03-31,0.886423
2014-03-28,0.885211
2014-03-27,0.883677
2014-03-26,0.882649
2014-03-25,0.883174
2014-03-24,0.882836
2014-03-21,0.879714
2014-03-20,0.874422
2014-03-19,0.873542
2014-03-18,0.873025
2014-03-17,0.872779
2014-03-14,0.874409
2014-03-13,0.877296
2014-03-12,0.878206
2014-03-11,0.877736
2014-03-10,0.880744
2014-03-07,0.886408
2014-03-06,0.886427
2014-03-05,0.883068
2014-03-04,0.880461
2014-03-03,0.883847
2014-02-28,0.889487
2014-02-27,0.888344
2014-02-26,0.887878
2014-02-25,0.887927
2014-02-24,0.88831
2014-02-21,0.888654
2014-02-20,0.888853
2014-02-19,0.890986
2014-02-18,0.89199
2014-02-17,0.893978
2014-02-14,0.897526
2014-02-13,0.898296
2014-02-12,0.896767
2014-02-11,0.897837
2014-02-10,0.899837
2014-02-07,0.903194
2014-02-06,0.903655
2014-02-05,0.903946
2014-02-04,0.905521
2014-02-03,0.903598
2014-01-31,0.898462
2014-01-30,0.897821
2014-01-29,0.896915
2014-01-28,0.89511
2014-01-27,0.898849
