Date,CURRFX.USDJPY.1
2015-03-06,119.843
2015-03-05,119.706
2015-03-04,119.826
2015-03-03,119.783
2015-03-02,119.397
2015-02-27,118.948
2015-02-26,118.945
2015-02-25,119.098
2015-02-24,119.016
2015-02-23,118.936
2015-02-20,118.95
2015-02-19,119.004
2015-02-18,118.66
2015-02-17,118.641
2015-02-16,119.13
2015-02-13,119.752
2015-02-12,119.431
2015-02-11,118.838
2015-02-10,118.889
2015-02-09,118.463
2015-02-06,117.419
2015-02-05,117.501
2015-02-04,117.423
2015-02-03,117.516
2015-02-02,117.677
2015-01-30,117.902
2015-01-29,117.944
2015-01-28,118.058
2015-01-27,117.946
2015-01-26,117.861
2015-01-23,117.966
2015-01-22,118.086
2015-01-21,117.932
2015-01-20,117.458
2015-01-19,117.447
2015-01-16,117.176
2015-01-15,117.579
2015-01-14,118.359
2015-01-13,118.521
2015-01-12,118.962
2015-01-09,119.42
2015-01-08,119.048
2015-01-07,119.429
2015-01-06,120.279
2015-01-05,120.277
2015-01-02,119.772
2015-01-01,119.719
2014-12-31,120.132
2014-12-30,120.443
2014-12-29,120.408
2014-12-26,120.467
2014-12-25,120.414
2014-12-24,120.083
2014-12-23,119.629
2014-12-22,119.209
2014-12-19,118.173
2014-12-18,117.147
2014-12-17,117.639
2014-12-16,118.574
2014-12-15,118.682
2014-12-12,118.715
2014-12-11,119.404
2014-12-10,120.432
2014-12-09,121.302
2014-12-08,120.879
2014-12-05,119.704
2014-12-04,119.2
2014-12-03,118.693
2014-12-02,118.583
2014-12-01,118.241
2014-11-28,117.639
2014-11-27,117.869
2014-11-26,118.056
2014-11-25,117.997
2014-11-24,118.003
2014-11-21,117.904
2014-11-20,117.137
2014-11-19,116.504
2014-11-18,116.231
2014-11-17,116.046
2014-11-14,115.567
2014-11-13,115.43
2014-11-12,115.001
2014-11-11,114.467
2014-11-10,114.647
2014-11-07,114.526
2014-11-06,113.966
2014-11-05,113.419
2014-11-04,112.854
2014-11-03,111.093
2014-10-31,108.739
2014-10-30,108.111
2014-10-29,107.936
2014-10-28,108.0
2014-10-27,107.957
2014-10-24,107.414
2014-10-23,106.932
2014-10-22,106.84
2014-10-21,106.993
2014-10-20,106.56
2014-10-17,106.32
2014-10-16,106.904
2014-10-15,107.147
2014-10-14,107.417
2014-10-13,107.757
2014-10-10,108.048
2014-10-09,108.38
2014-10-08,108.891
2014-10-07,109.52
2014-10-06,109.344
2014-10-03,109.025
2014-10-02,109.592
2014-10-01,109.495
2014-09-30,109.381
2014-09-29,109.202
2014-09-26,108.942
2014-09-25,108.735
2014-09-24,108.788
2014-09-23,108.973
2014-09-22,108.892
2014-09-19,108.207
2014-09-18,107.291
2014-09-17,107.173
2014-09-16,107.279
2014-09-15,107.182
2014-09-12,106.761
2014-09-11,106.41
2014-09-10,105.864
2014-09-09,105.238
2014-09-08,105.041
2014-09-05,104.994
2014-09-04,104.95
2014-09-03,104.611
2014-09-02,104.165
2014-09-01,103.961
2014-08-29,103.841
2014-08-28,104.014
2014-08-27,104.014
2014-08-26,104.032
2014-08-25,103.9
2014-08-22,103.602
2014-08-21,103.028
2014-08-20,102.596
2014-08-19,102.41
2014-08-18,102.402
2014-08-15,102.44
2014-08-14,102.323
2014-08-13,102.207
2014-08-12,102.09
2014-08-11,102.088
2014-08-08,102.282
2014-08-07,102.488
2014-08-06,102.611
2014-08-05,102.591
2014-08-04,102.697
2014-08-01,102.657
2014-07-31,102.231
2014-07-30,101.917
2014-07-29,101.824
2014-07-28,101.757
2014-07-25,101.566
2014-07-24,101.462
2014-07-23,101.418
2014-07-22,101.324
2014-07-21,101.385
2014-07-18,101.57
2014-07-17,101.674
2014-07-16,101.558
2014-07-15,101.416
2014-07-14,101.363
2014-07-11,101.495
2014-07-10,101.658
2014-07-09,101.815
2014-07-08,102.028
2014-07-07,102.046
2014-07-04,101.859
2014-07-03,101.577
2014-07-02,101.429
2014-07-01,101.395
2014-06-30,101.57
2014-06-27,101.785
2014-06-26,101.906
2014-06-25,101.946
2014-06-24,101.994
2014-06-23,102.004
2014-06-20,101.984
2014-06-19,102.108
2014-06-18,101.963
2014-06-17,101.93
2014-06-16,102.003
2014-06-13,102.036
2014-06-12,102.238
2014-06-11,102.429
2014-06-10,102.505
2014-06-09,102.502
2014-06-06,102.577
2014-06-05,102.558
2014-06-04,102.3
2014-06-03,101.961
2014-06-02,101.714
2014-05-30,101.745
2014-05-29,101.91
2014-05-28,101.945
2014-05-27,101.94
2014-05-26,101.832
2014-05-23,101.473
2014-05-22,101.298
2014-05-21,101.382
2014-05-20,101.422
2014-05-19,101.606
2014-05-16,101.856
2014-05-15,102.081
2014-05-14,102.141
2014-05-13,101.939
2014-05-12,101.815
2014-05-09,101.722
2014-05-08,101.738
2014-05-07,101.943
2014-05-06,102.118
2014-05-05,102.234
2014-05-02,102.313
2014-05-01,102.46
2014-04-30,102.462
2014-04-29,102.25
2014-04-28,102.261
2014-04-25,102.418
2014-04-24,102.51
2014-04-23,102.582
2014-04-22,102.512
2014-04-21,102.33
2014-04-18,102.178
2014-04-17,102.058
2014-04-16,101.767
2014-04-15,101.649
2014-04-14,101.651
2014-04-11,101.807
2014-04-10,102.172
2014-04-09,102.764
2014-04-08,103.226
2014-04-07,103.534
2014-04-04,103.863
2014-04-03,103.613
2014-04-02,103.244
2014-04-01,102.944
2014-03-31,102.558
2014-03-28,102.176
2014-03-27,102.272
2014-03-26,102.294
2014-03-25,102.31
2014-03-24,102.3
2014-03-21,102.084
2014-03-20,101.616
2014-03-19,101.606
2014-03-18,101.51
2014-03-17,101.768
