Date,LPPM.PLAT.1
2015-03-06,1177.0
2015-03-05,1182.0
2015-03-04,1180.0
2015-03-03,1186.0
2015-03-02,1182.0
2015-02-27,1173.0
2015-02-26,1189.0
2015-02-25,1171.0
2015-02-24,1158.0
2015-02-23,1158.0
2015-02-20,1157.0
2015-02-19,1180.0
2015-02-18,1174.0
2015-02-17,1196.0
2015-02-16,1211.0
2015-02-13,1200.0
2015-02-12,1202.0
2015-02-11,1208.0
2015-02-10,1217.0
2015-02-09,1225.0
2015-02-06,1255.0
2015-02-05,1238.0
2015-02-04,1236.0
2015-02-03,1237.0
2015-02-02,1226.0
2015-01-30,1230.0
2015-01-29,1243.0
2015-01-28,1263.0
2015-01-27,1257.0
2015-01-26,1251.0
2015-01-23,1277.0
2015-01-22,1277.0
2015-01-21,1281.0
2015-01-20,1268.0
2015-01-19,1265.0
2015-01-16,1257.0
2015-01-15,1237.0
2015-01-14,1230.0
2015-01-13,1243.0
2015-01-12,1234.0
2015-01-09,1221.0
2015-01-08,1219.0
2015-01-07,1221.0
2015-01-06,1214.0
2015-01-05,1210.0
2015-01-02,1208.0
2014-12-31,1210.0
2014-12-30,1207.0
2014-12-29,1216.0
2014-12-24,1190.0
2014-12-23,1188.0
2014-12-22,1199.0
2014-12-19,1199.0
2014-12-18,1202.0
2014-12-17,1201.0
2014-12-16,1216.0
2014-12-15,1220.0
2014-12-12,1239.0
2014-12-11,1238.0
2014-12-10,1250.0
2014-12-09,1232.0
2014-12-08,1232.0
2014-12-05,1236.0
2014-12-04,1236.0
2014-12-03,1224.0
2014-12-02,1219.0
2014-12-01,1198.0
2014-11-28,1214.0
2014-11-27,1221.0
2014-11-26,1221.0
2014-11-25,1217.0
2014-11-24,1220.0
2014-11-21,1216.0
2014-11-20,1198.0
2014-11-19,1206.0
2014-11-18,1206.0
2014-11-17,1205.0
2014-11-14,1193.0
2014-11-13,1202.0
2014-11-12,1202.0
2014-11-11,1196.0
2014-11-10,1211.0
2014-11-07,1195.0
2014-11-06,1210.0
2014-11-05,1200.0
2014-11-04,1225.0
2014-11-03,1237.0
2014-10-31,1232.0
2014-10-30,1253.0
2014-10-29,1270.0
2014-10-28,1258.0
2014-10-27,1256.0
2014-10-24,1254.0
2014-10-23,1260.0
2014-10-22,1273.0
2014-10-21,1273.0
2014-10-20,1268.0
2014-10-17,1258.0
2014-10-16,1254.0
2014-10-15,1251.0
2014-10-14,1272.0
2014-10-13,1264.0
2014-10-10,1265.0
2014-10-09,1284.0
2014-10-08,1277.0
2014-10-07,1264.0
2014-10-06,1217.0
2014-10-03,1247.0
2014-10-02,1279.0
2014-10-01,1274.0
2014-09-30,1307.0
2014-09-29,1303.0
2014-09-26,1314.0
2014-09-25,1304.0
2014-09-24,1335.0
2014-09-23,1343.0
2014-09-22,1331.0
2014-09-19,1347.0
2014-09-18,1350.0
2014-09-17,1366.0
2014-09-16,1369.0
2014-09-15,1371.0
2014-09-12,1364.0
2014-09-11,1377.0
2014-09-10,1385.0
2014-09-09,1395.0
2014-09-08,1410.0
2014-09-05,1405.0
2014-09-04,1412.0
2014-09-03,1406.0
2014-09-02,1418.0
2014-09-01,1424.0
2014-08-29,1424.0
2014-08-28,1425.0
2014-08-27,1421.0
2014-08-26,1422.0
2014-08-22,1423.0
2014-08-21,1424.0
2014-08-20,1432.0
2014-08-19,1447.0
2014-08-18,1454.0
2014-08-15,1460.0
2014-08-14,1472.0
2014-08-13,1470.0
2014-08-12,1471.0
2014-08-11,1470.0
2014-08-08,1481.0
2014-08-07,1466.0
2014-08-06,1455.0
2014-08-05,1463.0
2014-08-04,1467.0
2014-08-01,1461.0
2014-07-31,1476.0
2014-07-30,1483.0
2014-07-29,1488.0
2014-07-28,1485.0
2014-07-25,1471.0
2014-07-24,1472.0
2014-07-23,1485.0
2014-07-22,1484.0
2014-07-21,1492.0
2014-07-18,1489.0
2014-07-17,1492.0
2014-07-16,1481.0
2014-07-15,1496.0
2014-07-14,1498.0
2014-07-11,1507.0
2014-07-10,1511.0
2014-07-09,1499.0
2014-07-08,1493.0
2014-07-07,1498.0
2014-07-04,1500.0
2014-07-03,1506.0
2014-07-02,1509.0
2014-07-01,1486.0
2014-06-30,1481.0
2014-06-27,1474.0
2014-06-26,1460.0
2014-06-25,1458.0
2014-06-24,1465.0
2014-06-23,1448.0
2014-06-20,1462.0
2014-06-19,1455.0
2014-06-18,1447.0
2014-06-17,1431.0
2014-06-16,1436.0
2014-06-13,1447.0
2014-06-12,1468.0
2014-06-11,1476.0
2014-06-10,1462.0
2014-06-09,1452.0
2014-06-06,1453.0
2014-06-05,1429.0
2014-06-04,1421.0
2014-06-03,1436.0
2014-06-02,1440.0
2014-05-30,1457.0
2014-05-29,1452.0
2014-05-28,1462.0
2014-05-27,1473.0
2014-05-23,1484.0
2014-05-22,1477.0
2014-05-21,1479.0
2014-05-20,1469.0
2014-05-19,1479.0
2014-05-16,1461.0
2014-05-15,1473.5
2014-05-14,1466.0
2014-05-13,1443.0
2014-05-12,1431.0
2014-05-09,1431.0
2014-05-08,1437.0
2014-05-07,1452.0
2014-05-06,1448.0
2014-05-02,1424.0
2014-05-01,1417.0
2014-04-30,1421.0
2014-04-29,1414.0
2014-04-28,1428.0
2014-04-25,1412.0
2014-04-24,1400.0
2014-04-23,1404.0
2014-04-22,1410.0
2014-04-17,1435.0
2014-04-16,1439.0
2014-04-15,1449.0
2014-04-14,1464.0
2014-04-11,1456.0
2014-04-10,1449.0
2014-04-09,1439.0
2014-04-08,1437.0
2014-04-07,1434.0
2014-04-04,1440.0
2014-04-03,1439.0
2014-04-02,1429.0
2014-04-01,1424.0
2014-03-31,1422.0
2014-03-28,1404.0
2014-03-27,1406.0
2014-03-26,1421.5
2014-03-25,1433.0
2014-03-24,1433.0
2014-03-21,1437.0
2014-03-20,1438.0
2014-03-19,1458.0
2014-03-18,1457.0
2014-03-17,1475.0
2014-03-14,1474.0
2014-03-13,1475.0
2014-03-12,1458.5
2014-03-11,1481.0
2014-03-10,1468.0
2014-03-07,1481.0
2014-03-06,1475.0
2014-03-05,1464.0
2014-03-04,1450.0
2014-03-03,1452.0
2014-02-28,1444.0
2014-02-27,1427.0
2014-02-26,1439.0
2014-02-25,1433.0
2014-02-24,1429.0
2014-02-21,1419.0
2014-02-20,1413.0
2014-02-19,1418.0
2014-02-18,1422.0
2014-02-17,1425.0
2014-02-14,1422.0
2014-02-13,1395.0
2014-02-12,1392.0
2014-02-11,1391.0
2014-02-10,1389.0
2014-02-07,1385.0
2014-02-06,1379.0
2014-02-05,1382.0
2014-02-04,1381.0
2014-02-03,1386.0
2014-01-31,1383.0
2014-01-30,1397.0
2014-01-29,1405.0
2014-01-28,1420.0
