Trade Date,NASDAQOMX.NDX.1
2015-03-06,4399.23
2015-03-05,4452.06
2015-03-04,4445.36
2015-03-03,4458.78
2015-03-02,4483.05
2015-02-27,4440.67
2015-02-26,4462.27
2015-02-25,4440.59
2015-02-24,4451.03
2015-02-23,4449.49
2015-02-20,4443.05
2015-02-19,4411.86
2015-02-18,4390.91
2015-02-17,4385.34
2015-02-13,4384.03
2015-02-12,4347.97
2015-02-11,4297.28
2015-02-10,4281.15
2015-02-09,4216.09
2015-02-06,4228.68
2015-02-05,4256.18
2015-02-04,4221.2
2015-02-03,4229.15
2015-02-02,4188.59
2015-01-30,4148.43
2015-01-29,4181.35
2015-01-28,4140.38
2015-01-27,4165.5
2015-01-26,4275.72
2015-01-23,4278.14
2015-01-22,4270.36
2015-01-21,4192.09
2015-01-20,4171.21
2015-01-16,4142.14
2015-01-15,4089.65
2015-01-14,4145.84
2015-01-13,4166.2
2015-01-12,4169.97
2015-01-09,4213.28
2015-01-08,4240.55
2015-01-07,4160.0
2015-01-06,4110.83
2015-01-05,4160.96
2015-01-02,4230.24
2014-12-31,4236.28
2014-12-30,4282.35
2014-12-29,4312.64
2014-12-26,4314.09
2014-12-24,4283.1
2014-12-23,4279.3
2014-12-22,4293.67
2014-12-19,4281.78
2014-12-18,4267.77
2014-12-17,4165.1
2014-12-16,4089.6
2014-12-15,4157.41
2014-12-12,4199.28
2014-12-11,4246.48
2014-12-10,4224.87
2014-12-09,4294.67
2014-12-08,4278.34
2014-12-05,4311.57
2014-12-04,4311.93
2014-12-03,4312.93
2014-12-02,4305.96
2014-12-01,4287.81
2014-11-28,4337.78
2014-11-26,4317.99
2014-11-25,4288.23
2014-11-24,4284.32
2014-11-21,4251.32
2014-11-20,4242.09
2014-11-19,4222.66
2014-11-18,4242.19
2014-11-17,4213.79
2014-11-14,4224.99
2014-11-13,4213.49
2014-11-12,4195.4
2014-11-11,4187.16
2014-11-10,4175.95
2014-11-07,4160.5
2014-11-06,4164.08
2014-11-05,4153.27
2014-11-04,4156.23
2014-11-03,4169.28
2014-10-31,4158.21
2014-10-30,4100.64
2014-10-29,4090.55
2014-10-28,4106.63
2014-10-27,4046.02
2014-10-24,4042.02
2014-10-23,4012.27
2014-10-22,3949.59
2014-10-21,3971.39
2014-10-20,3870.08
2014-10-17,3815.47
2014-10-16,3765.28
2014-10-15,3785.97
2014-10-14,3810.45
2014-10-13,3808.0
2014-10-10,3870.85
2014-10-09,3969.32
2014-10-08,4041.12
2014-10-07,3958.59
2014-10-06,4016.27
2014-10-03,4027.31
2014-10-02,3985.87
2014-10-01,3984.74
2014-09-30,4049.44
2014-09-29,4047.18
2014-09-26,4053.72
2014-09-25,4007.82
2014-09-24,4094.31
2014-09-23,4051.57
2014-09-22,4061.23
2014-09-19,4100.09
2014-09-18,4103.08
2014-09-17,4073.57
2014-09-16,4067.27
2014-09-15,4029.89
2014-09-12,4069.23
2014-09-11,4092.65
2014-09-10,4094.97
2014-09-09,4061.88
2014-09-08,4095.46
2014-09-05,4089.92
2014-09-04,4066.13
2014-09-03,4070.96
2014-09-02,4095.81
2014-08-29,4082.56
2014-08-28,4066.27
2014-08-27,4073.18
2014-08-26,4071.67
2014-08-25,4067.48
2014-08-22,4052.75
2014-08-21,4047.03
2014-08-20,4040.7
2014-08-19,4040.13
2014-08-18,4020.5
2014-08-15,3987.51
2014-08-14,3969.11
2014-08-13,3949.2
2014-08-12,3905.22
2014-08-11,3910.46
2014-08-08,3888.09
2014-08-07,3857.94
2014-08-06,3874.27
2014-08-05,3874.94
2014-08-04,3908.77
2014-08-01,3879.67
2014-07-31,3892.5
2014-07-30,3976.07
2014-07-29,3959.03
2014-07-28,3967.24
2014-07-25,3965.16
2014-07-24,3983.19
2014-07-23,3986.19
2014-07-22,3961.62
2014-07-21,3934.14
2014-07-18,3939.89
2014-07-17,3878.01
2014-07-16,3932.33
2014-07-15,3914.45
2014-07-14,3929.46
2014-07-11,3904.58
2014-07-10,3880.04
2014-07-09,3892.91
2014-07-08,3864.07
2014-07-07,3910.71
2014-07-03,3923.01
2014-07-02,3899.27
2014-07-01,3894.33
2014-06-30,3849.48
2014-06-27,3844.44
2014-06-26,3826.91
2014-06-25,3827.33
2014-06-24,3799.53
2014-06-23,3805.31
2014-06-20,3802.64
2014-06-19,3800.8
2014-06-18,3804.61
2014-06-17,3781.32
2014-06-16,3779.93
