Date,OFDP.COPPER_6.3
2015-03-06,5826.25
2015-03-05,5855.75
2015-03-04,5881.5
2015-03-03,5854.5
2015-03-02,5895.5
2015-02-27,5880.25
2015-02-26,5935.25
2015-02-25,5804.75
2015-02-24,5712.5
2015-02-23,5656.75
2015-02-20,5706.5
2015-02-19,5719.5
2015-02-18,5689.5
2015-02-17,5665.25
2015-02-16,5711.5
2015-02-13,5730.5
2015-02-12,5694.75
2015-02-11,5645.25
2015-02-10,5590.5
2015-02-09,5665.5
2015-02-06,5691.5
2015-02-05,5594.75
2015-02-04,5707.5
2015-02-03,5692.5
2015-02-02,5535.25
2015-01-30,5502.5
2015-01-29,5390.25
2015-01-28,5485.25
2015-01-27,5556.0
2015-01-26,5489.5
2015-01-23,5580.75
2015-01-22,5741.5
2015-01-21,5630.25
2015-01-20,5760.25
2015-01-19,5670.5
2015-01-16,5657.5
2015-01-15,5718.5
2015-01-14,5626.0
2015-01-13,5914.5
2015-01-12,6130.5
2015-01-09,6150.75
2015-01-08,6230.25
2015-01-07,6169.0
2015-01-06,6190.5
2015-01-05,6215.5
2015-01-02,6307.0
2014-12-31,6358.5
2014-12-30,6327.5
2014-12-29,6331.0
2014-12-24,6360.5
2014-12-23,6362.5
2014-12-22,6426.25
2014-12-19,6445.25
2014-12-18,6350.0
2014-12-17,6305.5
2014-12-16,6387.5
2014-12-15,6557.5
2014-12-12,6526.0
2014-12-11,6471.25
2014-12-10,6475.75
2014-12-09,6400.5
2014-12-08,6465.25
2014-12-05,6535.5
2014-12-04,6490.5
2014-12-03,6450.75
2014-12-02,6454.75
2014-12-01,6384.5
2014-11-28,6515.25
2014-11-27,6621.25
2014-11-26,6648.5
2014-11-25,6695.5
2014-11-24,6730.75
2014-11-21,6789.75
2014-11-20,6687.0
2014-11-19,6714.5
2014-11-18,6683.75
2014-11-17,6751.5
2014-11-14,6692.5
2014-11-13,6755.25
2014-11-12,6752.25
2014-11-11,6687.75
2014-11-10,6735.25
2014-11-07,6720.25
2014-11-06,6680.75
2014-11-05,6645.75
2014-11-04,6705.25
2014-11-03,6800.5
2014-10-31,6835.0
2014-10-30,6784.75
2014-10-29,6854.5
2014-10-28,6859.25
2014-10-27,6800.25
2014-10-24,6759.25
2014-10-23,6718.0
2014-10-22,6730.25
2014-10-21,6659.0
2014-10-20,6614.75
2014-10-17,6628.75
2014-10-16,6629.5
2014-10-15,6780.75
2014-10-14,6780.25
2014-10-13,6801.0
2014-10-10,6696.5
2014-10-09,6766.75
2014-10-08,6754.75
2014-10-07,6714.75
2014-10-06,6712.25
2014-10-03,6662.5
2014-10-02,6693.25
2014-10-01,6754.75
2014-09-30,6735.5
2014-09-29,6735.25
2014-09-26,6770.5
2014-09-25,6765.5
2014-09-24,6749.75
2014-09-23,6796.75
2014-09-22,6781.5
2014-09-19,6868.0
2014-09-18,6919.0
2014-09-17,6958.25
2014-09-16,6895.25
2014-09-15,6849.5
2014-09-12,6855.75
2014-09-11,6828.75
2014-09-10,6897.25
2014-09-09,6936.75
2014-09-08,7040.25
2014-09-05,6972.5
2014-09-04,6966.75
2014-09-03,6926.0
2014-09-02,6965.25
2014-09-01,6966.25
2014-08-29,6994.5
2014-08-28,7032.5
2014-08-27,7050.5
2014-08-26,7095.5
2014-08-22,7087.75
2014-08-21,7002.75
2014-08-20,6921.5
2014-08-19,6934.25
2014-08-18,6909.75
2014-08-15,6852.25
2014-08-14,6886.25
2014-08-13,6925.25
2014-08-12,7025.25
2014-08-11,7010.25
2014-08-08,7019.5
2014-08-07,6980.25
2014-08-06,6994.5
2014-08-05,7100.25
2014-08-04,7103.0
2014-08-01,7077.75
2014-07-31,7135.25
2014-07-30,7089.5
2014-07-29,7115.75
2014-07-28,7131.0
2014-07-25,7183.25
2014-07-24,7150.5
2014-07-23,7062.5
2014-07-22,7060.25
2014-07-21,6989.25
2014-07-18,7026.25
2014-07-17,7030.25
2014-07-16,7111.5
2014-07-15,7102.25
2014-07-14,7154.25
2014-07-11,7150.5
2014-07-10,7109.5
2014-07-09,7172.75
2014-07-08,7154.75
2014-07-07,7120.25
2014-07-04,7158.5
2014-07-03,7120.75
2014-07-02,7049.0
2014-07-01,7014.75
2014-06-30,6954.5
2014-06-27,6975.5
2014-06-26,6936.25
2014-06-25,6890.25
2014-06-24,6898.25
2014-06-23,6900.5
2014-06-20,6777.25
2014-06-19,6730.25
2014-06-18,6738.75
2014-06-17,6710.75
2014-06-16,6734.75
2014-06-13,6671.25
2014-06-12,6724.75
2014-06-11,6689.25
2014-06-10,6695.25
2014-06-09,6667.25
2014-06-06,6660.25
2014-06-05,6799.75
2014-06-04,6834.75
2014-06-03,6929.5
2014-06-02,7002.75
2014-05-30,6995.25
2014-05-29,6969.0
2014-05-28,7032.5
2014-05-27,7017.5
2014-05-23,6990.5
2014-05-22,6945.25
2014-05-21,6840.75
2014-05-20,6922.25
2014-05-19,7008.5
2014-05-15,6948.75
2014-05-14,6976.25
2014-05-13,6884.25
2014-05-12,6928.0
2014-05-09,6769.0
2014-05-08,6690.25
2014-05-07,6687.75
2014-05-06,6739.5
2014-05-02,6698.5
2014-05-01,6670.25
2014-04-30,6723.5
2014-04-29,6769.0
2014-04-28,6781.75
2014-04-25,6785.25
2014-04-24,6730.5
2014-04-23,6642.5
2014-04-22,6628.25
2014-04-17,6630.75
2014-04-16,6599.5
2014-04-15,6627.5
2014-04-14,6644.75
2014-04-11,6685.5
2014-04-10,6637.25
2014-04-09,6630.25
2014-04-08,6651.5
2014-04-07,6610.25
2014-04-04,6676.75
2014-04-03,6605.75
2014-04-02,6712.5
2014-04-01,6631.75
