Date,YAHOO.INDEX_AORD.4
2015-03-06,5868.6
2015-03-05,5873.7
2015-03-04,5871.5
2015-03-03,5902.9
2015-03-02,5926.3
2015-02-27,5898.5
2015-02-26,5877.9
2015-02-25,5908.6
2015-02-24,5890.0
2015-02-23,5872.4
2015-02-20,5845.6
2015-02-19,5869.8
2015-02-18,5877.9
2015-02-17,5822.3
2015-02-16,5849.5
2015-02-13,5835.5
2015-02-12,5707.7
2015-02-11,5731.7
2015-02-10,5757.4
2015-02-09,5770.1
2015-02-06,5774.7
2015-02-05,5765.5
2015-02-04,5733.7
2015-02-03,5666.2
2015-02-02,5586.5
2015-01-30,5551.6
2015-01-29,5532.2
2015-01-28,5516.6
2015-01-27,5511.5
2015-01-26,5468.2
2015-01-23,5468.2
2015-01-22,5390.5
2015-01-21,5367.4
2015-01-20,5286.8
2015-01-19,5289.0
2015-01-16,5278.8
2015-01-15,5310.6
2015-01-14,5332.2
2015-01-13,5382.1
2015-01-12,5399.5
2015-01-09,5440.1
2015-01-08,5359.4
2015-01-07,5334.5
2015-01-06,5346.2
2015-01-05,5429.5
2015-01-02,5415.0
2014-12-31,5388.6
2014-12-30,5392.3
2014-12-29,5447.0
2014-12-24,5369.5
2014-12-23,5356.4
2014-12-22,5414.1
2014-12-19,5312.7
2014-12-18,5189.7
2014-12-17,5140.6
2014-12-16,5131.0
2014-12-15,5164.6
2014-12-12,5196.9
2014-12-11,5207.4
2014-12-10,5237.1
2014-12-09,5258.3
2014-12-08,5315.6
2014-12-05,5313.6
2014-12-04,5345.4
2014-12-03,5301.2
2014-12-02,5260.0
2014-12-01,5190.7
2014-11-28,5298.1
2014-11-27,5379.4
2014-11-26,5380.3
2014-11-25,5320.9
2014-11-24,5349.0
2014-11-21,5292.1
2014-11-20,5302.5
2014-11-19,5352.5
2014-11-18,5383.1
2014-11-17,5396.6
2014-11-14,5433.8
2014-11-13,5423.5
2014-11-12,5443.0
2014-11-11,5494.0
2014-11-10,5501.4
2014-11-07,5522.1
2014-11-06,5479.2
2014-11-05,5492.8
2014-11-04,5498.2
2014-11-03,5485.0
2014-10-31,5505.0
2014-10-30,5457.1
2014-10-29,5431.1
2014-10-28,5434.0
2014-10-27,5442.0
2014-10-24,5399.3
2014-10-23,5369.9
2014-10-22,5373.3
2014-10-21,5312.5
2014-10-20,5307.3
2014-10-17,5260.1
2014-10-16,5244.3
2014-10-15,5238.0
2014-10-14,5204.0
2014-10-13,5153.1
2014-10-10,5185.7
2014-10-09,5293.3
2014-10-08,5241.6
2014-10-07,5284.8
2014-10-06,5292.6
2014-10-03,5315.4
2014-10-02,5298.5
2014-10-01,5334.5
2014-09-30,5296.8
2014-09-29,5269.6
2014-09-26,5316.6
2014-09-25,5382.4
2014-09-24,5375.9
2014-09-23,5415.9
2014-09-22,5368.2
2014-09-19,5437.3
2014-09-18,5419.0
2014-09-17,5411.4
2014-09-16,5446.2
2014-09-15,5475.4
2014-09-12,5532.3
2014-09-11,5546.9
2014-09-10,5574.4
2014-09-09,5608.2
2014-09-08,5578.9
2014-09-05,5598.9
2014-09-04,5632.1
2014-09-03,5654.6
2014-09-02,5656.9
2014-09-01,5629.3
2014-08-29,5624.6
2014-08-28,5621.3
2014-08-27,5648.9
2014-08-26,5634.5
2014-08-25,5632.8
2014-08-22,5640.5
2014-08-21,5634.0
2014-08-20,5629.2
2014-08-19,5618.4
2014-08-18,5580.6
2014-08-15,5559.6
2014-08-14,5542.9
2014-08-13,5507.9
2014-08-12,5523.1
2014-08-11,5449.4
2014-08-08,5429.6
2014-08-07,5500.7
2014-08-06,5504.0
2014-08-05,5511.5
2014-08-04,5533.3
2014-08-01,5547.6
2014-07-31,5623.1
2014-07-30,5615.1
2014-07-29,5580.6
2014-07-28,5569.9
2014-07-25,5574.2
2014-07-24,5576.8
2014-07-23,5567.0
2014-07-22,5534.0
2014-07-21,5528.7
2014-07-18,5519.2
2014-07-17,5509.9
2014-07-16,5504.5
2014-07-15,5495.7
2014-07-14,5495.8
2014-07-11,5474.6
2014-07-10,5454.3
2014-07-09,5442.2
2014-07-08,5498.5
2014-07-07,5506.3
2014-07-04,5511.8
2014-07-03,5479.5
2014-07-02,5441.7
2014-07-01,5366.5
2014-06-30,5382.0
2014-06-27,5429.1
2014-06-26,5446.8
2014-06-25,5386.8
2014-06-24,5415.1
2014-06-23,5432.7
2014-06-20,5401.6
2014-06-19,5446.4
2014-06-18,5363.9
2014-06-17,5380.7
2014-06-16,5390.6
2014-06-13,5383.7
2014-06-12,5407.9
2014-06-11,5432.5
2014-06-10,5448.5
2014-06-06,5443.5
2014-06-05,5419.7
2014-06-04,5426.8
2014-06-03,5460.5
2014-06-02,5499.2
2014-05-30,5473.8
2014-05-29,5499.2
2014-05-28,5506.7
2014-05-27,5490.8
2014-05-26,5490.4
2014-05-23,5470.3
2014-05-22,5458.1
2014-05-21,5403.9
2014-05-20,5401.7
2014-05-19,5390.3
2014-05-16,5458.9
2014-05-15,5490.2
2014-05-14,5475.9
2014-05-13,5475.4
2014-05-12,5429.0
2014-05-09,5442.0
2014-05-08,5455.9
2014-05-07,5419.1
2014-05-06,5462.7
2014-05-05,5443.4
2014-05-02,5438.8
2014-05-01,5430.4
2014-04-30,5470.8
2014-04-29,5466.9
2014-04-28,5516.1
2014-04-24,5515.5
2014-04-23,5502.2
2014-04-22,5467.1
2014-04-17,5444.8
2014-04-16,5412.6
2014-04-15,5380.3
2014-04-14,5353.6
2014-04-11,5423.5
2014-04-10,5477.5
2014-04-09,5460.3
2014-04-08,5409.2
2014-04-07,5416.1
2014-04-04,5428.6
2014-04-03,5415.7
2014-04-02,5408.8
2014-04-01,5394.9
2014-03-31,5403.0
2014-03-28,5376.8
2014-03-27,5359.7
2014-03-26,5387.2
2014-03-25,5351.0
2014-03-24,5362.1
2014-03-21,5354.0
2014-03-20,5312.7
2014-03-19,5373.0
2014-03-18,5360.2
2014-03-17,5335.2
2014-03-14,5347.1
2014-03-13,5429.1
2014-03-12,5400.5
2014-03-11,5429.3
2014-03-10,5430.8
2014-03-07,5477.0
2014-03-06,5459.7
2014-03-05,5457.3
2014-03-04,5411.7
2014-03-03,5397.4
2014-02-28,5415.4
2014-02-27,5421.0
2014-02-26,5447.0
2014-02-25,5444.0
2014-02-24,5450.1
2014-02-21,5449.4
2014-02-20,5421.3
2014-02-19,5415.5
2014-02-18,5402.2
2014-02-17,5400.2
2014-02-14,5366.9
2014-02-13,5318.7
2014-02-12,5319.8
2014-02-11,5267.3
2014-02-10,5236.5
2014-02-07,5184.5
2014-02-06,5147.4
2014-02-05,5088.7
2014-02-04,5114.1
2014-02-03,5201.9
2014-01-31,5205.1
2014-01-30,5199.4
2014-01-29,5240.6
2014-01-28,5188.0
2014-01-24,5254.3
2014-01-23,5275.5
2014-01-22,5331.3
2014-01-21,5342.0
2014-01-20,5307.6
2014-01-17,5316.4
2014-01-16,5319.4
2014-01-15,5255.5
2014-01-14,5219.8
2014-01-13,5296.8
2014-01-10,5316.3
2014-01-09,5327.5
2014-01-08,5318.7
2014-01-07,5318.8
2014-01-06,5327.7
2014-01-03,5351.8
2014-01-02,5369.8
2013-12-31,5353.1
2013-12-30,5358.0
2013-12-27,5323.8
2013-12-24,5325.5
2013-12-23,5291.5
2013-12-20,5261.5
2013-12-19,5202.0
2013-12-18,5099.3
2013-12-17,5106.1
2013-12-16,5093.1
2013-12-13,5101.5
2013-12-12,5069.2
2013-12-11,5109.5
2013-12-10,5146.2
2013-12-09,5148.4
2013-12-06,5186.0
2013-12-05,5196.9
2013-12-04,5267.5
2013-12-03,5249.6
2013-12-02,5273.5
2013-11-29,5314.3
2013-11-28,5326.6
2013-11-27,5324.9
2013-11-26,5350.6
2013-11-25,5346.1
2013-11-22,5330.3
2013-11-21,5284.3
2013-11-20,5304.6
2013-11-19,5347.8
2013-11-18,5377.9
2013-11-15,5396.2
2013-11-14,5352.0
2013-11-13,5317.5
2013-11-12,5386.8
2013-11-11,5380.8
2013-11-08,5394.4
2013-11-07,5415.4
2013-11-06,5426.0
2013-11-05,5425.7
2013-11-04,5384.2
2013-11-01,5406.5
2013-10-31,5420.3
2013-10-30,5425.4
2013-10-29,5410.7
2013-10-28,5437.3
2013-10-25,5385.7
2013-10-24,5373.7
2013-10-23,5356.8
2013-10-22,5371.2
2013-10-21,5351.5
2013-10-18,5321.0
2013-10-17,5281.9
2013-10-16,5264.4
2013-10-15,5259.2
2013-10-14,5206.5
2013-10-11,5228.8
2013-10-10,5146.2
2013-10-09,5151.6
